x_coordinate,bin,address_line_2,city_council_district,site_type,community_district
1007052,3218178.0,,46,Main Site,318
978477,3145313.0,3RD FL,43,Main,310
1010752,2013953.0,,14,Main Site,205
1004095,2095219.0,,16,Main Site,204
996630,3180733.0,,48,Main Site,314
1018212,3343608.0,,42,Main Site,305
1006947,2091224.0,,17,Main,201
1014217,2015482.0,,11,Main Site,208
1014228,2005787.0,,17,Main Site,202
996076,3062100.0,,33,Main Site,301
1009559,2092074.0,,16,Main Site,203
1030366,2093877.0,,12,Main Site,212
983706,3339412.0,,38,Satellite,306
980049,3337343.0,,38,Main Site,307
1013068,2114693.0,,17,Main Site,202
1025446,2093501.0,,12,Main Site,211
1006360,3345504.0,2ND FL,46,Main,318
1025656,2041406.0,,18,Main Site,210
1001178,3031082.0,,36,Main Site,308
989465,3021748.0,,39,Main Site,306
1017094,2096396.0,,11,Main Site,207
977777,3145772.0,,43,Main Site,310
1022697,2096674.0,,18,Main Site,209
987361,3336072.0,,33,Affiliated,306
1023612,,,13,Main Site,211
989910,3245719.0,,47,Main Site,313
994740,3057638.0,,35,Main Site,302
984654,3018218.0,,38,Main Site,312
990230,3322179.0,,47,Main Site,313
983139,1001289.0,,1,Main Site,101
999320,3111409.0,,45,Main Site,317
1021015,2043661.0,,12,Corporate Office,212
1023048,2093415.0,,13,Affiliated,211
997700,3120877.0,,45,Main Site,314
997116,3064615.0,,33,Main Site,301
1027883,2093741.0,,12,Main Site,212
1016204,2017363.0,,11,Main Site,207
1021835,3326995.0,,42,Main Site,305
983553,3189617.0,,47,Main Site,313
987256,3337801.0,,39,Main Site,307
1012196,3229152.0,,42,Main Site,318
1005759,2002802.0,,16,Main Site,204
1022880,2088568.0,,13,Main Site,211
987239,3162352.0,,44,Main Site,311
1009921,2086312.0,,11,Main Site,208
983809,3321762.0,,47,Main Site,313
1014646,2010507.0,2ND FL,17,Main,203
1009329,2091284.0,,8,Main Site,201
1005791,2091115.0,,8,Satellite,201
1006023,3331006.0,,45,Main Site,318
992942,3170160.0,,40,Main Site,314
1011075,3328126.0,,41,Main Site,316
1031368,2097469.0,,12,Main Site,210
1010349,3325326.0,,41,Satellite,316
1009475,3348344.0,,41,Affiliated,316
1000903,3038418.0,,41,Main Site,309
1000675,3338434.0,,34,Main Site,301
1011469,2009713.0,,16,Main Site,203
1006461,3076253.0,,34,Main,304
1014443,3235056.0,,46,Main Site,318
1009559,2092074.0,,16,Satellite,203
994516,3174033.0,,44,Main Site,312
1015209,2012652.0,,15,Main Site,206
992596,3178594.0,,47,Main Site,315
1031537,2097466.0,,12,Main Site,210
1005776,2002944.0,,16,Main Site,204
999205,3327972.0,,34,Main Site,301
989910,3196559.0,,47,Affiliated,313
1011376,3328133.0,,42,Main Site,316
1005842,3325173.0,,41,Affiliated,303
1002373,3341752.0,,36,Main Site,303
1009819,2114666.0,,8,Main Site,201
1004727,2129115.0,,8,Main Site,201
1031616,2046141.0,,13,Main Site,210
999926,3344974.0,,34,Main Site,301
1043964,2082432.0,,13,Main Site,210
985604,3001825.0,,33,Main Site,302
1006461,3071908.0,,34,Corporate Office,304
1015673,3348859.0,,42,Main Site,305
984055,3139989.0,,44,Main Site,312
984799,3141065.0,,44,Main Site,312
999839,3071447.0,,34,Main Site,301
1009893,3080766.0,,37,Affiliated,316
1005759,2002802.0,,16,Main Site,204
997343,3333076.0,,33,Main Site,301
983991,3162717.0,,43,Main Site,311
1006461,3076253.0,,34,Main Site,304
996993,3245719.0,,48,Main,315
995663,3120264.0,,40,Main Site,314
1033478,2095160.0,,12,Main Site,210
1015145,3324011.0,,42,Main Site,305
1001613,3239888.0,,46,Main Site,318
1021015,2087299.0,1st Fl.,12,Main,212
1000922,3327829.0,,34,Main Site,301
973098,3322532.0,,43,Main Site,310
983706,3339412.0,,38,Main Site,306
1014646,2114693.0,Suite 401,17,Corporate Office,203
1032327,2097558.0,,13,Main Site,210
1025446,2093501.0,,12,Main Site,211
1000344,3032045.0,,35,Main Site,308
1010349,3325326.0,,41,Affiliated,316
1007042,2128429.0,,8,Main Site,201
1011423,2005015.0,,17,Main Site,203
1006947,2091224.0,,17,Main Site,201
1000683,3324728.0,,36,Affiliated,303
1024732,2069882.0,,11,Main Site,212
1013022,2092394.0,,15,Main Site,205
1021068,2127010.0,,18,Main Site,209
999676,3053461.0,,36,Main Site,303
1032115,2080423.0,,13,Main Site,210
1005791,2091115.0,,8,Affiliated,201
1017657,3343606.0,,42,Main Site,305
1010654,2007599.0,,15,Main Site,205
995295,3321304.0,,34,Main Site,301
1010556,3327015.0,,41,Affiliated,316
990339,,,35,Main Site,302
1018428,3092631.0,,37,Main Site,305
988903,3000937.0,,33,Main Site,302
1021145,2093401.0,,13,Main Site,211
985251,3004823.0,,39,Main Site,306
993946,3178703.0,,47,Main Site,315
991952,3397113.0,,44,Main Site,315
1018523,2092909.0,,18,Main Site,209
1013068,2114693.0,Ste 401,17,Main,202
981518,3324372.0,,38,Main Site,307
1009768,3413856.0,,42,Main Site,316
1021015,2087299.0,,12,Main Site,212
999930,3344974.0,,34,Main Site,301
1001197,3106612.0,,41,Main Site,309
1031537,2097466.0,,12,Main Site,210
992343,3196580.0,,48,Main Site,313
983256,1001672.0,2nd Floor,1,Main,101
997849,3350437.0,,36,Affiliated,303
989157,3257034.0,,35,Satellite,302
978477,3002244.0,,43,Corporate Office,310
992121,3177186.0,,44,Main Site,315
996407,3060997.0,,33,Main Site,301
1007568,2083247.0,,11,Main Site,208
1026263,2092673.0,,18,Main Site,209
989307,3325909.0,,35,Affiliated,302
994573,3176314.0,,44,Main Site,315
1000675,3338434.0,,34,Satellite,301
998340,3000000.0,,40,Main Site,309
1017016,2013061.0,,15,Main Site,206
981950,1001399.0,Ste. 1111,1,Main,101
990873,3399809.0,,35,Main Site,302
1019480,3337041.0,,42,Affiliated,305
993558,3178919.0,,45,Affiliated,314
1002086,3387594.0,,34,Main Site,304
1016570,3324292.0,#1F,42,Satellite,305
1003623,3044658.0,,36,Affiliated,303
1006893,3074237.0,,37,Main Site,304
1010529,3326549.0,,41,Main Site,316
1002195,3045125.0,,36,Main Site,303
996536,3208316.0,,45,Main Site,314
992284,3170453.0,,44,Main Site,312
1013714,2005752.0,,17,Main Site,202
1020279,2092638.0,,18,Affiliated,209
1007131,3076116.0,,37,Main Site,304
1009759,2091979.0,,17,Main Site,201
995856,3116881.0,3RD FL,40,Main,314
999372,3069039.0,,34,Main Site,301
988201,3000350.0,Ste 302,33,Main,302
977777,3145772.0,,43,Main Site,310
1006757,3076429.0,,34,Affiliated,304
997806,3199766.0,,48,Main Site,315
994050,3118688.0,,40,Main Site,314
1026263,2092673.0,,18,Satellite,209
1022697,2096674.0,,18,Affiliated,209
1006405,2000933.0,,17,Main Site,201
995055,3245130.0,,48,Main,313
987009,3328617.0,,44,Main Site,312
983647,3343065.0,,38,Main Site,312
984113,3189511.0,,47,Main Site,313
997379,3030302.0,,36,Main Site,308
1023848,2096653.0,,18,Main Site,209
986517,3002702.0,,33,Main Site,302
1026130,2060739.0,,12,Main Site,212
998456,3050417.0,,36,Main Site,303
1031200,2074861.0,,13,Satellite,210
1007947,3080727.0,,41,Affiliated,316
1007276,3339097.0,,41,Affiliated,316
982177,1001116.0,,1,Main office,101
983139,1001289.0,,1,Main,101
1014136,2128766.0,,17,Main Site,206
1020452,2101742.0,,15,Main Site,211
1031200,2095160.0,RM 34,13,Main,210
993020,3320735.0,,47,Main Site,313
994314,3059905.0,,33,Main Site,301
988704,3336056.0,,33,Main Site,306
1004808,2003301.0,,16,Main Site,204
996993,3245719.0,,48,Main,315
1046080,3002244.0,,27,Corporate Office,412
1014646,2010507.0,,17,Main Site,203
983553,3189617.0,,47,Main Site,313
1009724,1082782.0,,10,Main Site,208
985003,3161485.0,,47,Main Site,311
980707,3013917.0,,38,Main Site,307
1000684,3344554.0,,46,Main Site,315
990470,3172161.0,,44,Main Site,311
