streetname,month,boro_id,postcode,bbl
AUDUBON AVENUE,9,1,10033.0,1021320026.0
PURDY STREET,2,2,10462.0,2039480022.0
111 STREET,1,4,11418.0,4093170010.0
EAST 142 STREET,3,2,10454.0,2022680016.0
EAST 94 STREET,10,3,11212.0,3045970060.0
EAST 85 STREET,11,3,11236.0,3079890049.0
EAST 134 STREET,12,2,10451.0,2023190098.0
EAST 221 STREET,9,2,10467.0,2046680076.0
GLEBE AVENUE,3,2,10462.0,2039720017.0
74 STREET,5,3,11209.0,3059190059.0
POLHEMAS AVENUE,9,4,11433.0,4102430086.0
COLLEGE AVENUE,10,2,10456.0,2027830025.0
BEACH 114 STREET,4,4,11694.0,4161870019.0
BRYANT AVENUE,5,2,10460.0,2030000010.0
VAN SICLEN AVENUE,3,3,11207.0,3039320036.0
FAILE STREET,3,2,10474.0,2027660134.0
BERGEN AVENUE,10,3,11234.0,3083430068.0
119 AVENUE,9,4,11412.0,4126070035.0
TELLER AVENUE,3,2,10456.0,2024310012.0
GRAND AVENUE,10,2,10453.0,2032060060.0
JAMAICA AVENUE,11,4,11418.0,4091870033.0
ROGERS AVENUE,12,3,11226.0,3052130046.0
GLEASON AVENUE,11,2,10472.0,2037610002.0
GLEASON AVENUE,11,2,10472.0,2038020014.0
WARING AVENUE,3,2,10467.0,2044240004.0
GRAND CONCOURSE,9,2,10452.0,2024640023.0
EAST 31 STREET,8,3,11210.0,3075940065.0
SPOFFORD AVENUE,4,2,10474.0,2027630107.0
LINCOLN AVENUE,3,3,11208.0,3042370026.0
CEDAR AVENUE,1,2,10453.0,2028810006.0
ARTHUR AVENUE,12,2,10458.0,2030650068.0
HARRINGTON AVENUE,9,2,10461.0,2053730014.0
HINSDALE STREET,12,3,11207.0,3038340031.0
WEST 116 STREET,2,1,10026.0,1018310053.0
EAST 63 STREET,3,3,11234.0,3086460042.0
EAST 18 STREET,6,3,11226.0,3050790045.0
WELLER LANE,10,4,11422.0,4136590010.0
