longitude,employee_witnessed_an_nypd,ct2020
-73.947112,0,222.0
-73.789051,0,964.0
-74.076212,0,21.0
-73.994248,0,63.0
-73.94354,0,507.0
-73.988713,0,50.0
-73.976313,0,354.0
-73.914561,0,299.0
-73.895099,0,37504.0
,0,
-73.93526,0,242.0
-73.932552,0,425.0
-73.988713,0,50.0
-73.914561,0,299.0
-73.97898,0,12901.0
-73.93526,0,242.0
-74.076212,0,21.0
-73.932552,0,425.0
-73.789051,0,964.0
-73.927579,0,51.0
-73.789051,0,964.0
,0,
,0,
-73.988713,0,50.0
-73.968809,0,199.0
-73.982816,0,39.0
-73.968809,0,199.0
-73.988713,0,50.0
-73.796703,0,460.0
-73.994248,0,63.0
-73.968809,0,199.0
-74.076212,0,21.0
-73.988713,0,50.0
-73.984444,0,37.0
-73.789051,0,964.0
-73.987502,0,352.0
-73.982816,0,39.0
-73.988713,0,50.0
-73.988713,0,50.0
-73.987502,0,352.0
-73.984444,0,37.0
-74.076212,0,21.0
-73.895099,0,37504.0
-73.976313,0,354.0
-73.789051,0,964.0
-73.895099,0,37504.0
-73.918421,0,219.0
-73.988713,0,50.0
-73.918421,0,219.0
-73.988713,0,50.0
-73.988713,0,50.0
-73.796703,0,460.0
-73.986015,0,13.0
-73.918421,0,219.0
,0,
-73.994248,0,63.0
-73.789051,0,964.0
-73.994248,0,63.0
,0,
-73.927579,0,51.0
,0,
-73.984444,0,37.0
-73.796703,0,460.0
,0,
-73.914561,0,299.0
-73.988713,0,50.0
-73.893053,0,39901.0
-73.927579,5,51.0
-73.789051,0,964.0
-73.789051,0,964.0
-73.918421,0,219.0
-73.796703,0,460.0
-73.984444,0,37.0
-73.988713,0,50.0
-73.93526,0,242.0
-73.871091,0,1196.0
-73.988713,0,50.0
-73.796703,0,460.0
-73.984444,0,37.0
,0,
-73.914561,0,299.0
-73.986015,0,13.0
,0,
-73.987502,0,352.0
-73.796703,0,460.0
-73.932552,0,425.0
,0,
-73.914561,0,299.0
-73.947112,0,222.0
-73.927579,0,51.0
-73.893053,2,39901.0
-73.895099,5,37504.0
-73.93526,0,242.0
-73.796703,4,460.0
-73.988713,0,50.0
-73.988713,0,50.0
-73.994248,0,63.0
-73.93526,0,242.0
-73.988713,0,50.0
-73.982816,0,39.0
,0,
-73.982816,0,39.0
-73.914561,0,299.0
-73.976313,0,354.0
-73.988713,0,50.0
-73.893053,0,39901.0
-73.796703,0,460.0
-73.871091,0,1196.0
-73.871091,0,1196.0
-73.932552,0,425.0
-73.984444,0,37.0
-73.914561,0,299.0
-73.918421,0,219.0
,0,
-73.93526,0,242.0
-73.982816,0,39.0
-73.994248,0,63.0
-73.871091,0,1196.0
-73.994248,0,63.0
-73.918421,0,219.0
-73.932552,0,425.0
-73.987502,0,352.0
,0,
,0,
-73.895099,4,37504.0
-74.076212,0,21.0
,0,
,0,
-73.947112,0,222.0
-73.914561,0,299.0
-73.796703,0,460.0
-73.918421,0,219.0
-73.994248,0,63.0
,0,
-73.986015,0,13.0
-73.932552,0,425.0
-73.895099,0,37504.0
-73.93526,0,242.0
-73.914561,0,299.0
-74.076212,0,21.0
,0,
-73.871091,0,1196.0
-73.789051,0,964.0
-73.968809,0,199.0
-73.895099,0,37504.0
-73.932552,0,425.0
-73.93526,0,242.0
-73.984444,0,37.0
,0,
-73.976313,0,354.0
-73.932552,0,425.0
-74.076212,0,21.0
-73.871091,0,1196.0
-73.987502,0,352.0
-73.893053,0,39901.0
-73.93526,0,242.0
-73.796703,0,460.0
-73.893053,0,39901.0
-73.927579,0,51.0
-73.947112,0,222.0
-73.968809,0,199.0
-73.97898,0,12901.0
-73.984444,0,37.0
-73.895099,0,37504.0
-73.994248,0,63.0
-73.918421,0,219.0
-73.968809,0,199.0
-73.988713,0,50.0
-73.976313,0,354.0
-73.984444,0,37.0
,0,
-73.987502,0,352.0
-73.94354,0,507.0
-73.988713,0,50.0
-73.97898,0,12901.0
,0,
-73.93526,0,242.0
-74.076212,0,21.0
-73.914561,0,299.0
-73.984444,0,37.0
-73.789051,0,964.0
-73.988713,0,50.0
-73.986015,0,13.0
-73.994248,0,63.0
-73.932552,0,425.0
-74.076212,2,21.0
-73.895099,0,37504.0
-73.918421,0,219.0
-73.895099,0,37504.0
-73.994248,0,63.0
-73.932552,0,425.0
,0,
-73.947112,0,222.0
-73.986015,0,13.0
-73.871091,0,1196.0
,0,
-74.076212,0,21.0
-73.914561,0,299.0
-73.914561,0,299.0
-73.918421,0,219.0
