location,community_board,employee_witnessed_nypd_2
132-140 W 125TH ST,110.0,0
219 BEACH 59 ST,414.0,0
201-209 BAY STREET,501.0,0
8-12 W 14 ST,102.0,0
30 THORNTON ST,301.0,0
109 E 16 ST,105.0,0
2857-2865 W 8TH ST,313.0,0
4055 10TH AVENUE,112.0,0
1910-1916 MONTEREY AVE,206.0,0
1 HONEYWELL ST,,0
2322 3RD AVE.,111.0,0
2 George Street,304.0,0
109 E 16 ST,105.0,0
4055 10TH AVENUE,112.0,0
35 4TH AVE,306.0,0
2322 3RD AVE.,111.0,0
201-209 BAY STREET,501.0,0
2 George Street,304.0,0
219 BEACH 59 ST,414.0,0
300 CANAL PL,201.0,0
219 BEACH 59 ST,414.0,0
888 -890-894 Garrison Ave.,,0
888 -890-894 Garrison Ave.,,0
109 E 16 ST,105.0,0
495-505 CLERMONT AVE,302.0,0
275-285 BERGEN ST,302.0,0
495-505 CLERMONT AVE,302.0,0
109 E 16 ST,105.0,0
165-08 88TH AVE.,412.0,0
8-12 W 14 ST,102.0,0
495-505 CLERMONT AVE,302.0,0
201-209 BAY STREET,501.0,0
109 E 16 ST,105.0,0
240-52 LIVINGSTON ST,302.0,0
219 BEACH 59 ST,414.0,0
3030-3050 W 21 ST,313.0,0
275-285 BERGEN ST,302.0,0
109 E 16 ST,105.0,0
109 E 16 ST,105.0,0
3030-3050 W 21 ST,313.0,0
240-52 LIVINGSTON ST,302.0,0
201-209 BAY STREET,501.0,0
1910-1916 MONTEREY AVE,206.0,0
2857-2865 W 8TH ST,313.0,0
219 BEACH 59 ST,414.0,0
1910-1916 MONTEREY AVE,206.0,0
1365 JEROME AVE,204.0,0
109 E 16 ST,105.0,0
1365 JEROME AVE,204.0,0
109 E 16 ST,105.0,0
109 E 16 ST,105.0,0
165-08 88TH AVE.,412.0,0
25 CHAPEL ST,302.0,0
1365 JEROME AVE,204.0,0
1 HONEYWELL ST,,0
8-12 W 14 ST,102.0,0
219 BEACH 59 ST,414.0,0
8-12 W 14 ST,102.0,0
1 HONEYWELL ST,,0
300 CANAL PL,201.0,0
1 HONEYWELL ST,,0
240-52 LIVINGSTON ST,302.0,0
165-08 88TH AVE.,412.0,0
1 HONEYWELL ST,,0
4055 10TH AVENUE,112.0,0
109 E 16 ST,105.0,0
2551 BAINBRIDGE AVE,207.0,0
300 CANAL PL,201.0,0
219 BEACH 59 ST,414.0,0
219 BEACH 59 ST,414.0,0
1365 JEROME AVE,204.0,0
165-08 88TH AVE.,412.0,0
240-52 LIVINGSTON ST,302.0,0
109 E 16 ST,105.0,0
2322 3RD AVE.,111.0,0
404 PINE ST,305.0,0
109 E 16 ST,105.0,0
165-08 88TH AVE.,412.0,0
240-52 LIVINGSTON ST,302.0,0
1 HONEYWELL ST,,0
4055 10TH AVENUE,112.0,0
25 CHAPEL ST,302.0,0
888 -890-894 Garrison Ave.,,0
3030-3050 W 21 ST,313.0,0
165-08 88TH AVE.,412.0,0
2 George Street,304.0,0
1 HONEYWELL ST,,0
4055 10TH AVENUE,112.0,0
132-140 W 125TH ST,110.0,0
300 CANAL PL,201.0,0
2551 BAINBRIDGE AVE,207.0,0
1910-1916 MONTEREY AVE,206.0,0
2322 3RD AVE.,111.0,0
165-08 88TH AVE.,412.0,0
109 E 16 ST,105.0,0
109 E 16 ST,105.0,0
8-12 W 14 ST,102.0,0
2322 3RD AVE.,111.0,0
109 E 16 ST,105.0,0
275-285 BERGEN ST,302.0,0
1 HONEYWELL ST,,0
275-285 BERGEN ST,302.0,0
4055 10TH AVENUE,112.0,0
2857-2865 W 8TH ST,313.0,0
109 E 16 ST,105.0,0
2551 BAINBRIDGE AVE,207.0,0
165-08 88TH AVE.,412.0,0
404 PINE ST,305.0,0
404 PINE ST,305.0,0
2 George Street,304.0,0
240-52 LIVINGSTON ST,302.0,0
4055 10TH AVENUE,112.0,0
1365 JEROME AVE,204.0,0
1 HONEYWELL ST,,0
2322 3RD AVE.,111.0,0
275-285 BERGEN ST,302.0,0
8-12 W 14 ST,102.0,0
404 PINE ST,305.0,0
8-12 W 14 ST,102.0,0
1365 JEROME AVE,204.0,0
2 George Street,304.0,0
3030-3050 W 21 ST,313.0,0
888 -890-894 Garrison Ave.,,0
1 HONEYWELL ST,,0
1910-1916 MONTEREY AVE,206.0,0
201-209 BAY STREET,501.0,0
888 -890-894 Garrison Ave.,,0
1 HONEYWELL ST,,0
132-140 W 125TH ST,110.0,0
4055 10TH AVENUE,112.0,0
165-08 88TH AVE.,412.0,0
1365 JEROME AVE,204.0,0
8-12 W 14 ST,102.0,0
1 HONEYWELL ST,,0
25 CHAPEL ST,302.0,0
2 George Street,304.0,0
1910-1916 MONTEREY AVE,206.0,0
2322 3RD AVE.,111.0,0
4055 10TH AVENUE,112.0,0
201-209 BAY STREET,501.0,0
888 -890-894 Garrison Ave.,,0
404 PINE ST,305.0,0
219 BEACH 59 ST,414.0,0
495-505 CLERMONT AVE,302.0,0
1910-1916 MONTEREY AVE,206.0,0
2 George Street,304.0,0
2322 3RD AVE.,111.0,0
240-52 LIVINGSTON ST,302.0,0
888 -890-894 Garrison Ave.,,0
2857-2865 W 8TH ST,313.0,0
2 George Street,304.0,0
201-209 BAY STREET,501.0,0
404 PINE ST,305.0,0
3030-3050 W 21 ST,313.0,0
2551 BAINBRIDGE AVE,207.0,0
2322 3RD AVE.,111.0,0
165-08 88TH AVE.,412.0,0
2551 BAINBRIDGE AVE,207.0,0
300 CANAL PL,201.0,0
132-140 W 125TH ST,110.0,0
495-505 CLERMONT AVE,302.0,0
35 4TH AVE,306.0,0
240-52 LIVINGSTON ST,302.0,0
1910-1916 MONTEREY AVE,206.0,0
8-12 W 14 ST,102.0,0
1365 JEROME AVE,204.0,0
495-505 CLERMONT AVE,302.0,0
109 E 16 ST,105.0,0
2857-2865 W 8TH ST,313.0,0
240-52 LIVINGSTON ST,302.0,0
1 HONEYWELL ST,,0
3030-3050 W 21 ST,313.0,0
30 THORNTON ST,301.0,0
109 E 16 ST,105.0,0
35 4TH AVE,306.0,0
888 -890-894 Garrison Ave.,,0
2322 3RD AVE.,111.0,0
201-209 BAY STREET,501.0,0
4055 10TH AVENUE,112.0,0
240-52 LIVINGSTON ST,302.0,0
219 BEACH 59 ST,414.0,0
109 E 16 ST,105.0,0
25 CHAPEL ST,302.0,0
8-12 W 14 ST,102.0,0
2 George Street,304.0,0
201-209 BAY STREET,501.0,0
1910-1916 MONTEREY AVE,206.0,0
1365 JEROME AVE,204.0,0
1910-1916 MONTEREY AVE,206.0,0
8-12 W 14 ST,102.0,0
2 George Street,304.0,0
1 HONEYWELL ST,,0
132-140 W 125TH ST,110.0,0
25 CHAPEL ST,302.0,0
404 PINE ST,305.0,0
1 HONEYWELL ST,,0
201-209 BAY STREET,501.0,0
4055 10TH AVENUE,112.0,0
4055 10TH AVENUE,112.0,0
1365 JEROME AVE,204.0,0
