employee_witnessed_nypd_3,nta2020,borough
0,MN1001,Manhattan
0,QN1402,Queens
0,SI0102,Staten Island
0,MN0202,Manhattan
0,BK0103,Brooklyn
0,MN0602,Manhattan
0,BK1302,Brooklyn
0,MN1203,Manhattan
0,BX0602,Bronx
0,,Queens
0,MN1102,Manhattan
0,BK0401,Brooklyn
0,MN0602,Manhattan
0,MN1203,Manhattan
0,BK0602,Brooklyn
0,MN1102,Manhattan
0,SI0102,Staten Island
0,BK0401,Brooklyn
0,QN1402,Queens
0,BX0101,Bronx
0,QN1402,Queens
0,,Bronx
0,,Bronx
0,MN0602,Manhattan
0,BK0204,Brooklyn
0,BK0202,Brooklyn
0,BK0204,Brooklyn
0,MN0602,Manhattan
0,QN1201,Queens
0,MN0202,Manhattan
0,BK0204,Brooklyn
0,SI0102,Staten Island
0,MN0602,Manhattan
0,BK0202,Brooklyn
0,QN1402,Queens
0,BK1302,Brooklyn
0,BK0202,Brooklyn
0,MN0602,Manhattan
0,MN0602,Manhattan
0,BK1302,Brooklyn
0,BK0202,Brooklyn
0,SI0102,Staten Island
0,BX0602,Bronx
0,BK1302,Brooklyn
0,QN1402,Queens
0,BX0602,Bronx
0,BX0403,Bronx
0,MN0602,Manhattan
0,BX0403,Bronx
0,MN0602,Manhattan
0,MN0602,Manhattan
0,QN1201,Queens
0,BK0202,Brooklyn
0,BX0403,Bronx
0,,Queens
0,MN0202,Manhattan
0,QN1402,Queens
0,MN0202,Manhattan
0,,Queens
0,BX0101,Bronx
0,,Queens
0,BK0202,Brooklyn
0,QN1201,Queens
0,,Queens
0,MN1203,Manhattan
0,MN0602,Manhattan
0,BX0701,Bronx
0,BX0101,Bronx
0,QN1402,Queens
0,QN1402,Queens
0,BX0403,Bronx
0,QN1201,Queens
0,BK0202,Brooklyn
0,MN0602,Manhattan
0,MN1102,Manhattan
0,BK0505,Brooklyn
0,MN0602,Manhattan
0,QN1201,Queens
0,BK0202,Brooklyn
0,,Queens
0,MN1203,Manhattan
0,BK0202,Brooklyn
0,,Bronx
0,BK1302,Brooklyn
0,QN1201,Queens
0,BK0401,Brooklyn
0,,Queens
0,MN1203,Manhattan
0,MN1001,Manhattan
0,BX0101,Bronx
0,BX0701,Bronx
0,BX0602,Bronx
0,MN1102,Manhattan
0,QN1201,Queens
0,MN0602,Manhattan
0,MN0602,Manhattan
0,MN0202,Manhattan
0,MN1102,Manhattan
0,MN0602,Manhattan
0,BK0202,Brooklyn
0,,Queens
0,BK0202,Brooklyn
0,MN1203,Manhattan
0,BK1302,Brooklyn
0,MN0602,Manhattan
0,BX0701,Bronx
0,QN1201,Queens
0,BK0505,Brooklyn
0,BK0505,Brooklyn
0,BK0401,Brooklyn
0,BK0202,Brooklyn
0,MN1203,Manhattan
0,BX0403,Bronx
0,,Queens
0,MN1102,Manhattan
0,BK0202,Brooklyn
0,MN0202,Manhattan
0,BK0505,Brooklyn
0,MN0202,Manhattan
0,BX0403,Bronx
0,BK0401,Brooklyn
0,BK1302,Brooklyn
0,,Bronx
0,,Queens
0,BX0602,Bronx
0,SI0102,Staten Island
0,,Bronx
0,,Queens
0,MN1001,Manhattan
0,MN1203,Manhattan
0,QN1201,Queens
0,BX0403,Bronx
0,MN0202,Manhattan
0,,Queens
0,BK0202,Brooklyn
0,BK0401,Brooklyn
0,BX0602,Bronx
0,MN1102,Manhattan
0,MN1203,Manhattan
0,SI0102,Staten Island
0,,Bronx
0,BK0505,Brooklyn
0,QN1402,Queens
0,BK0204,Brooklyn
0,BX0602,Bronx
0,BK0401,Brooklyn
0,MN1102,Manhattan
0,BK0202,Brooklyn
0,,Bronx
0,BK1302,Brooklyn
0,BK0401,Brooklyn
0,SI0102,Staten Island
0,BK0505,Brooklyn
0,BK1302,Brooklyn
0,BX0701,Bronx
0,MN1102,Manhattan
0,QN1201,Queens
0,BX0701,Bronx
0,BX0101,Bronx
0,MN1001,Manhattan
0,BK0204,Brooklyn
0,BK0602,Brooklyn
0,BK0202,Brooklyn
0,BX0602,Bronx
0,MN0202,Manhattan
0,BX0403,Bronx
0,BK0204,Brooklyn
0,MN0602,Manhattan
0,BK1302,Brooklyn
0,BK0202,Brooklyn
0,,Queens
0,BK1302,Brooklyn
0,BK0103,Brooklyn
0,MN0602,Manhattan
0,BK0602,Brooklyn
0,,Bronx
0,MN1102,Manhattan
0,SI0102,Staten Island
0,MN1203,Manhattan
0,BK0202,Brooklyn
0,QN1402,Queens
0,MN0602,Manhattan
0,BK0202,Brooklyn
0,MN0202,Manhattan
0,BK0401,Brooklyn
0,SI0102,Staten Island
0,BX0602,Bronx
0,BX0403,Bronx
0,BX0602,Bronx
0,MN0202,Manhattan
0,BK0401,Brooklyn
0,,Queens
0,MN1001,Manhattan
0,BK0202,Brooklyn
0,BK0505,Brooklyn
0,,Queens
0,SI0102,Staten Island
0,MN1203,Manhattan
0,MN1203,Manhattan
0,BX0403,Bronx
