agency,fiscal_year
DOI,2019
DCP,2019
NYPD,2019
DOT,2019
DOB,2019
DOT,2019
DHS,2019
NYCEM,2019
CCRB,2019
DEP,2019
DHS,2019
DOC,2019
DYCD,2019
DPR,2019
DEP,2019
DCLA,2019
DYCD,2019
DEP,2019
DOP,2019
NYCEM,2019
DOT,2019
ACS,2019
DoITT,2019
DOB,2019
DFTA,2019
DOP,2019
DCLA,2019
BIC,2019
DPR,2019
SBS,2019
DOI,2019
HPD,2019
DCAS,2019
ACS,2019
DCLA,2019
DOHMH,2019
DPR,2019
DORIS,2019
DDC,2019
CCHR,2019
DoITT,2019
FDNY,2019
Law,2019
DOI,2019
LPC,2019
DEP,2019
DSNY,2019
DCA,2019
Law,2019
DOF,2019
HPD,2019
DoITT,2019
DSNY,2019
DOHMH,2019
DORIS,2019
DPR,2019
MOCJ,2019
OATH,2019
CCRB,2019
HPD,2019
BIC,2019
ACS,2019
Law,2019
MOCJ,2019
DOP,2019
DHS,2019
FDNY,2019
HPD,2019
DCLA,2019
DEP,2019
DFTA,2019
LPC,2019
NYPD,2019
ACS,2019
OATH,2019
DORIS,2019
DEP,2019
DCAS,2019
DOF,2019
DOHMH,2019
DHS,2019
DOF,2019
DOB,2019
HRA,2019
CCHR,2019
DOHMH,2019
HRA,2019
DORIS,2019
BIC,2019
FDNY,2019
DOC,2019
DOC,2019
DFTA,2019
DOB,2019
DOI,2019
DOT,2019
OATH,2019
DPR,2019
DCLA,2019
DYCD,2019
DCA,2019
CCHR,2019
CCRB,2019
DCAS,2019
DDC,2019
NYPD,2019
HPD,2019
DCA,2019
NYCEM,2019
NYCEM,2019
CCHR,2019
LPC,2019
DCP,2019
DYCD,2019
DCP,2019
DYCD,2019
ACS,2019
Law,2019
DDC,2019
NYCEM,2019
CCHR,2019
DPR,2019
DOP,2019
BIC,2019
LPC,2019
DSNY,2019
OATH,2019
DoITT,2019
BIC,2019
SBS,2019
CCRB,2019
DOI,2019
Law,2019
DCP,2019
DCAS,2019
DCLA,2019
OATH,2019
DOP,2019
MOCJ,2019
DSNY,2019
DOF,2019
MOCJ,2019
DDC,2019
ACS,2019
CCRB,2019
DOI,2019
NYPD,2019
DoITT,2019
DOC,2019
DOF,2019
DYCD,2019
MOCJ,2019
DDC,2019
DOT,2019
DOT,2019
DOB,2019
FDNY,2019
LPC,2019
DCP,2019
NYPD,2019
OATH,2019
CCHR,2019
DCAS,2019
HPD,2019
DCA,2019
HRA,2019
MOCJ,2019
Law,2019
BIC,2019
DDC,2019
DFTA,2019
DCA,2019
DFTA,2019
DOF,2019
HRA,2019
DOHMH,2019
DOP,2019
DOC,2019
DOC,2019
FDNY,2019
NYCEM,2019
NYPD,2019
DCA,2019
HRA,2019
DORIS,2019
FDNY,2019
DCP,2019
CCRB,2019
DFTA,2019
DoITT,2019
DSNY,2019
DOHMH,2019
LPC,2019
DHS,2019
DORIS,2019
DSNY,2019
HRA,2019
DCAS,2019
DOB,2019
DHS,2019
