projectdwid,projectid,intendeduseappraisalamount,isnominal,iscreditfacility
41248,60327,,No,
52965,64415,,No,
19551,48729,6320000.0,No,
53259,64745,,No,
22863,54360,6120000.0,No,
19639,44319,,No,
18748,50959,,No,
21408,52737,,No,
49172,63974,0.0,Yes,
41365,60425,3000000.0,No,
42592,61931,0.0,Yes,
48860,63808,,No,
18602,44369,0.0,Yes,
54378,65315,2990000.0,No,
48235,63209,0.0,Yes,
21316,52122,9940000.0,No,
21458,52758,,No,
19347,48128,12180000.0,No,
18621,48937,0.0,Yes,
35388,58908,,No,
40213,59388,,No,
42809,62109,0.0,Yes,
19887,51582,0.0,Yes,
20303,51867,0.0,Yes,
19570,48132,,No,
18620,48735,,No,
48782,63763,49000000.0,No,
42290,61678,,No,
35118,58625,0.0,Yes,
21441,52827,,No,
19004,50157,2055000.0,No,
40695,59843,,No,
19065,48973,790000.0,No,
20333,51950,,No,
47237,63122,,No,
22651,54909,0.0,Yes,
21177,52733,28020000.0,No,
18593,48726,0.0,Yes,
18846,48996,3635000.0,No,
55461,65582,0.0,Yes,
21456,53017,8270000.0,No,
54852,65360,,No,
19170,51123,0.0,Yes,
35141,58661,,No,
55198,65467,3670000.0,No,
18851,49147,390000.0,No,
56045,66225,9573532.0,No,
21333,52888,,No,
18612,48772,,No,
21270,52735,,No,
19437,48877,6600000.0,No,
18732,50568,,No,Yes
19283,44288,,No,
19215,44340,1115456.0,No,
19487,44223,6270000.0,No,
39935,59031,,No,
18485,49517,,No,
19588,48768,,No,
21193,53461,0.0,Yes,
18512,44350,0.0,Yes,
40973,60031,2615000.0,No,
35243,58780,0.0,Yes,
22656,54954,0.0,Yes,
19254,44324,0.0,Yes,
18523,48254,,No,
54966,65373,14675000.0,No,
53058,64543,7930000.0,No,
