projectdwid,highestbestappraisalamount,asisappraisalamount,hpdpbvhapyear1amount,acquisitionprice
19421,2548000.0,256687.0,,5.0
23230,,,2466648.0,1000000.0
54961,16232000.0,12000000.0,,
46703,,1532000.0,,2.0
19466,,,30366.05,
19259,1255000.0,1255000.0,,1.0
19546,0.0,0.0,,1.0
18787,2900000.0,2650000.0,,1.0
19390,7047000.0,7047000.0,,4.0
55138,11840000.0,300000.0,,3.0
22681,443000.0,460000.0,,24.0
19380,10280000.0,4310000.0,,3.0
55359,,8500000.0,1259209.16,
19278,1900000.0,1900000.0,,1.0
21411,6950000.0,6950000.0,,1.0
41744,,,1813050.06,
18455,,,,
53182,7990000.0,,,496859.0
19430,8500000.0,13400000.0,,1.0
48658,,,1725626.83,
19304,22000000.0,,,1.0
48750,36400000.0,36400000.0,,1.0
48779,2720000.0,1890000.0,,1.0
19229,700000.0,700000.0,,1.0
21143,,,97949.4,
53004,,4200000.0,,
19416,6116463.0,6116463.0,,252816.0
18532,6500000.0,6500000.0,,1750000.0
21009,0.0,0.0,,
42810,140000000.0,140000000.0,,68000000.0
21289,77320000.0,77320000.0,,17140000.0
35052,5128000.0,5128000.0,,15.0
19051,3880000.0,1990000.0,,1.0
53968,,17500000.0,,
19294,63500000.0,,,9251897.0
35353,,1060000.0,,
42509,14850000.0,7550000.0,,7.0
22762,,,0.0,
49204,67500000.0,,,3.0
54026,,265200000.0,,
19420,,2155000.0,,1.0
55974,,,1790572.5,
19417,8960000.0,8960000.0,,3.0
19271,3430000.0,3430000.0,,1.0
49027,2500000.0,,2473499.35,1.0
37604,,,100080.0,
19593,2470000.0,2470000.0,188064.0,7.0
18545,0.0,790000.0,,2.0
19112,1100000.0,1120000.0,,1.0
18604,,2380000.0,,4.0
52921,,14920000.0,,
19235,1864000.0,0.0,,
53356,,,1656076.05,
40027,,,0.0,
52909,19400000.0,,,12.0
42222,,0.0,,
49079,58000000.0,13000000.0,,1.0
42258,,1860000.0,,
18594,0.0,27959193.0,,1.0
41143,,,9809.6,
19358,3000000.0,1645000.0,,5.0
19334,,4640000.0,,6.0
19520,1730000.0,1730000.0,,6.0
55830,,,3122465.76,
48352,,1440000.0,,
18772,1380000.0,0.0,,3.0
19607,,,109632.0,
