totalunits,bedroomsize,lowinitiallegalrent
5,3-BR,1825.0
6,STUDIO,
6,3-BR,
12,3-BR,
19,2-BR,1584.0
3,3-BR,0.0
10,1-BR,1870.0
3,1-BR,349.0
3,3-BR,1200.0
72,1-BR,
1,2-BR,
4,STUDIO,
1,3-BR,
1,5-BR,2350.0
15,STUDIO,
3,2-BR,524.0
29,1-BR,
9,1-BR,
26,2-BR,1123.0
30,2-BR,1584.0
1,1-BR,0.0
4,1-BR,395.0
1,2-BR,491.0
1,1-BR,294.0
4,2-BR,
4,3-BR,
1,3-BR,
1,2-BR,501.0
4,3-BR,1825.0
4,2-BR,1800.0
5,4-BR,484.0
12,2-BR,
3,2-BR,
2,2-BR,312.0
1,STUDIO,
12,STUDIO,1150.0
1,3-BR,
22,1-BR,1336.0
1,2-BR,
7,3-BR,
1,STUDIO,
170,1-BR,
2,2-BR,
1,3-BR,551.0
1,5-BR,2350.0
3,2-BR,
5,5-BR,430.0
2,1-BR,
9,1-BR,
1,5-BR,2350.0
2,3-BR,1825.0
2,2-BR,318.0
1,1-BR,
5,2-BR,
3,4-BR,2100.0
2,4-BR,
1,2-BR,
6,1-BR,
1,STUDIO,1531.0
14,1-BR,
7,2-BR,541.0
1,3-BR,403.0
3,1-BR,445.0
3,3-BR,
6,3-BR,1825.0
1,1-BR,1597.0
2,3-BR,
2,3-BR,
119,STUDIO,1817.0
1,3-BR,1825.0
1,2-BR,524.0
1,3-BR,
114,2-BR,
4,4-BR,2100.0
25,2-BR,1584.0
308,1-BR,
24,STUDIO,
14,2-BR,
3,1-BR,249.0
1,2-BR,
1,2-BR,1554.0
2,STUDIO,413.0
1,2-BR,
5,2-BR,
20,1-BR,1336.0
1,1-BR,
31,1-BR,1336.0
339,1-BR,
12,3-BR,1825.0
5,STUDIO,
5,2-BR,
7,1-BR,445.0
3,STUDIO,
3,STUDIO,408.0
5,3-BR,
1,2-BR,
31,STUDIO,
18,1-BR,
2,1-BR,
15,STUDIO,1150.0
16,1-BR,
5,STUDIO,
1,STUDIO,368.0
4,2-BR,
3,1-BR,1280.0
11,STUDIO,867.0
12,1-BR,
26,1-BR,480.0
1,1-BR,
5,1-BR,
1,STUDIO,
6,STUDIO,
4,2-BR,541.0
21,2-BR,1584.0
2,2-BR,312.0
3,STUDIO,
6,3-BR,349.0
3,1-BR,
3,1-BR,437.0
1,2-BR,469.0
3,2-BR,286.0
2,4-BR,2100.0
1,2-BR,412.0
10,STUDIO,
27,2-BR,
12,3-BR,669.0
2,5-BR,2350.0
4,1-BR,
6,2-BR,1526.0
4,1-BR,
1,2-BR,1554.0
4,STUDIO,
21,2-BR,
17,2-BR,
14,2-BR,
1,3-BR,209.0
20,STUDIO,446.0
6,2-BR,482.0
6,3-BR,
1,1-BR,
3,1-BR,
3,2-BR,482.0
1,STUDIO,
3,1-BR,445.0
7,3-BR,1825.0
1,2-BR,
1,2-BR,
4,2-BR,1597.0
7,3-BR,
1,3-BR,312.0
6,2-BR,0.0
4,2-BR,541.0
2,1-BR,933.0
1,1-BR,1411.0
28,STUDIO,
1,2-BR,
1,STUDIO,
2,4-BR,
2,3-BR,0.0
4,1-BR,
101,2-BR,
23,2-BR,586.0
16,1-BR,931.0
11,1-BR,
1,2-BR,476.0
2,1-BR,396.0
21,3-BR,
4,3-BR,2312.0
3,2-BR,541.0
1,3-BR,359.0
1,3-BR,618.0
18,STUDIO,
3,2-BR,
3,STUDIO,368.0
3,2-BR,1584.0
5,1-BR,445.0
6,3-BR,1825.0
4,1-BR,
3,2-BR,1658.0
2,3-BR,1849.0
2,STUDIO,
1,3-BR,618.0
2,STUDIO,
1,1-BR,
1,3-BR,
3,3-BR,2056.0
1,2-BR,
1,1-BR,0.0
1,1-BR,0.0
2,3-BR,551.0
61,1-BR,
22,1-BR,
1,2-BR,
2,2-BR,
1,1-BR,370.0
22,1-BR,
4,1-BR,249.0
1,3-BR,1292.0
171,1-BR,
3,STUDIO,
