measurement_type,goal,valuedate,geovalue
Currency,Achieve cost efficiencies in construction.,2019-11-01T00:00:00.000,
Number,Ensure businesses comply with NYC’s Consumer Protection Law and related laws.,2023-01-01T00:00:00.000,
Percentage,Ensure a competitive and diverse candidate pool for City employment opportunities.,2025-08-01T00:00:00.000,
Number,,2018-07-01T00:00:00.000,406.0
Percentage,Promptly respond to medical emergencies.,2019-06-01T00:00:00.000,
Number,,2020-02-01T00:00:00.000,305.0
Number,,2021-10-01T00:00:00.000,502.0
Number,,2016-12-01T00:00:00.000,109.0
Number,,2024-06-01T00:00:00.000,304.0
Number,,2024-01-01T00:00:00.000,206.0
Number,,2020-06-01T00:00:00.000,402.0
Number,,2021-11-01T00:00:00.000,411.0
Number,,2020-06-01T00:00:00.000,109.0
Number,Complete projects on time and within budget.,2017-03-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2022-12-01T00:00:00.000,403.0
Number,,2016-05-01T00:00:00.000,102.0
Number,Improve efficiency of waste handling.,2016-02-01T00:00:00.000,107.0
Number,,2018-03-01T00:00:00.000,405.0
Number,Increase the percentage of waste recycled.,2016-07-01T00:00:00.000,210.0
Number,,2024-03-01T00:00:00.000,309.0
Number,,2017-09-01T00:00:00.000,110.0
Number,Improve efficiency of waste handling.,2021-12-01T00:00:00.000,101.0
Number,,2022-03-01T00:00:00.000,210.0
Number,,2020-06-01T00:00:00.000,104.0
Number,,2018-03-01T00:00:00.000,308.0
Number,Promptly respond to fires and other emergencies.,2025-07-01T00:00:00.000,211.0
Number,,2018-12-01T00:00:00.000,317.0
Number,,2019-10-01T00:00:00.000,308.0
Percentage,Advance projects and programs that foster inclusive innovation and economic growth.,2020-11-01T00:00:00.000,
Number,Reduce the incidence of quality-of-life violations.,2019-01-01T00:00:00.000,
Number,Investigate complaints in a timely manner.,2025-07-01T00:00:00.000,111.0
Number,,2022-07-01T00:00:00.000,111.0
Number,,2021-08-01T00:00:00.000,402.0
Number,,2016-09-01T00:00:00.000,316.0
Number,Increase the percentage of waste recycled.,2025-02-01T00:00:00.000,205.0
Number,,2020-09-01T00:00:00.000,104.0
Number,Improve efficiency of waste handling.,2016-10-01T00:00:00.000,110.0
Number,Increase the percentage of waste recycled.,2020-05-01T00:00:00.000,303.0
Number,,2024-08-01T00:00:00.000,205.0
Number,Increase the percentage of waste recycled.,2020-01-01T00:00:00.000,304.0
Number,Reduce the adverse health consequences of substance use.,2025-07-01T00:00:00.000,104.0
Number,Customer Service Indicators,2018-02-01T00:00:00.000,
Number,Investigate complaints in a timely manner.,2025-07-01T00:00:00.000,208.0
Number,Improve efficiency of waste handling.,2022-06-01T00:00:00.000,406.0
Number,,2021-02-01T00:00:00.000,302.0
Number,Ensure businesses comply with NYC’s Consumer Protection Law and related laws.,2016-11-01T00:00:00.000,
Number,VZ S1G1 Reduce traffic fatalities.,2025-07-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2020-01-01T00:00:00.000,412.0
Number,,2021-09-01T00:00:00.000,102.0
Number,,2017-02-01T00:00:00.000,212.0
Number,Customer Service Indicators,2019-02-01T00:00:00.000,
Number,,2023-09-01T00:00:00.000,402.0
Number,,2022-04-01T00:00:00.000,208.0
Number,Reduce the incidence of crime.,2025-07-01T00:00:00.000,46.0
Number,Increase the percentage of waste recycled.,2019-07-01T00:00:00.000,409.0
Number,Provide access to cash assistance benefits for all eligible children and adults.,2021-09-01T00:00:00.000,
Number,,2020-07-01T00:00:00.000,501.0
Number,,2021-10-01T00:00:00.000,403.0
Number,,2020-12-01T00:00:00.000,209.0
Number,"Cultivate dynamic, resilient, livable communities throughout the five boroughs.",2019-11-01T00:00:00.000,
Number,,2022-06-01T00:00:00.000,402.0
Number,Improve efficiency of waste handling.,2019-08-01T00:00:00.000,110.0
Number,Reduce the energy-related carbon footprint of City buildings.,2021-06-01T00:00:00.000,
Number,,2022-12-01T00:00:00.000,407.0
Number,Increase the percentage of waste recycled.,2021-08-01T00:00:00.000,212.0
Number,Increase the percentage of waste recycled.,2022-06-01T00:00:00.000,406.0
Number,Reduce the incidence of crime.,2025-08-01T00:00:00.000,50.0
Number,Increase the percentage of waste recycled.,2018-12-01T00:00:00.000,408.0
Number,,2023-05-01T00:00:00.000,
TimeSpan,Respond to police emergencies quickly.,2025-07-01T00:00:00.000,9.0
Currency,,2019-02-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2021-05-01T00:00:00.000,501.0
Number,,2015-11-01T00:00:00.000,103.0
Number,,2017-02-01T00:00:00.000,
Number,,2023-12-01T00:00:00.000,404.0
Number,,2022-05-01T00:00:00.000,303.0
Number,,2015-09-01T00:00:00.000,201.0
Number,Increase the quantity of affordable housing in New York City.,2022-07-01T00:00:00.000,
Number,,2020-05-01T00:00:00.000,
Number,Increase accessibility of for-hire transportation service.,2017-03-01T00:00:00.000,
Number,,2019-04-01T00:00:00.000,106.0
Number,,2024-03-01T00:00:00.000,313.0
Number,Increase the percentage of waste recycled.,2015-11-01T00:00:00.000,318.0
Number,Increase the percentage of waste recycled.,2020-08-01T00:00:00.000,105.0
Number,Provide an overall quality park experience.,2025-07-01T00:00:00.000,
Number,Produce the number of new school seats authorized by the Department of Education’s Five-Year Capital Plan.,2025-08-01T00:00:00.000,
Percentage,Customer Service SLA,2019-03-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2023-06-01T00:00:00.000,305.0
Number,,2019-06-01T00:00:00.000,111.0
Number,Provide access to Medicaid public health insurance coverage for all eligible children and adults.,2025-08-01T00:00:00.000,401.0
Number,,2021-06-01T00:00:00.000,308.0
Number,Improve efficiency of waste handling.,2019-05-01T00:00:00.000,309.0
Number,,2015-10-01T00:00:00.000,503.0
Percentage,Increase the number of capital improvement projects completed on schedule and within budget.,2017-10-01T00:00:00.000,
Number,,2015-12-01T00:00:00.000,315.0
Number,Improve efficiency of waste handling.,2025-08-01T00:00:00.000,111.0
Number,,2023-12-01T00:00:00.000,309.0
Number,Improve academic achievement.,2016-10-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2020-01-01T00:00:00.000,503.0
Number,Ensure businesses comply with NYC’s Consumer Protection Law and related laws.,2022-12-01T00:00:00.000,
Number,,2020-02-01T00:00:00.000,108.0
Number,Improve efficiency of waste handling.,2021-04-01T00:00:00.000,409.0
Number,,2021-07-01T00:00:00.000,402.0
Number,Ensure safe and reliable transportation to and from school.,2025-07-01T00:00:00.000,
Number,Reduce the incidence of crime.,2025-08-01T00:00:00.000,10.0
Number,,2023-11-01T00:00:00.000,208.0
Number,,2018-12-01T00:00:00.000,204.0
Number,Engage runaway and homeless youth and young adults in services that connect them with family or independent living opportunities.,2025-07-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2024-01-01T00:00:00.000,211.0
Number,,2021-06-01T00:00:00.000,412.0
Number,,2020-06-01T00:00:00.000,401.0
Number,Ensure businesses comply with NYC’s Consumer Protection Law and related laws.,2017-01-01T00:00:00.000,
Number,Produce timely and accurate pre-sentence investigations.,2017-10-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2021-07-01T00:00:00.000,501.0
Number,,2023-01-01T00:00:00.000,207.0
Number,Improve efficiency of waste handling.,2017-03-01T00:00:00.000,101.0
Number,,2016-11-01T00:00:00.000,411.0
Number,Agency-wide Management indicators,2016-06-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2021-11-01T00:00:00.000,105.0
Number,Ensure access to quality services for infants and toddlers in communities of need and achieve maximum capacity.,2025-07-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2019-12-01T00:00:00.000,318.0
Number,Service 2 Indicators,2025-08-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2023-06-01T00:00:00.000,304.0
Number,,2019-05-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2018-04-01T00:00:00.000,208.0
Number,"Increase community awareness of the NYCHRL through workshops, campaigns, hearings, and outreach aimed at the general public, employers, small businesses, and housing providers",2022-12-01T00:00:00.000,
Number,Provide individuals in custody with timely access to health services.,2021-12-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2020-02-01T00:00:00.000,105.0
Number,Respond to consumer complaints and mediate with businesses to achieve fair and timely outcomes.,2025-07-01T00:00:00.000,402.0
Number,,2023-05-01T00:00:00.000,112.0
Number,,2024-04-01T00:00:00.000,312.0
Number,,2019-12-01T00:00:00.000,303.0
Number,,2020-11-01T00:00:00.000,106.0
Number,,2020-01-01T00:00:00.000,312.0
Number,"Accessible, affordable, and high-quality child care",2015-07-01T00:00:00.000,
Number,Ensure that all parks and playgrounds are clean and in good condition.,2021-12-01T00:00:00.000,
Number,,2020-08-01T00:00:00.000,409.0
Number,Agency-wide Management indicators,2021-12-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2018-05-01T00:00:00.000,317.0
Number,Customer Service Indicators,2022-02-01T00:00:00.000,
Percentage,Help residents with low and moderate incomes achieve financial stability.,2018-11-01T00:00:00.000,
Number,,2021-07-01T00:00:00.000,209.0
Number,,2017-06-01T00:00:00.000,306.0
Number,Reduce the adverse health consequences of substance use.,2025-08-01T00:00:00.000,316.0
Number,Increase the percentage of waste recycled.,2024-08-01T00:00:00.000,106.0
Number,,2022-12-01T00:00:00.000,202.0
Number,,2016-03-01T00:00:00.000,304.0
Number,Increase the percentage of waste recycled.,2015-12-01T00:00:00.000,408.0
Number,,2025-01-01T00:00:00.000,207.0
Percentage,Expand access to care.,2015-11-01T00:00:00.000,
Number,Improve academic achievement.,2024-02-01T00:00:00.000,
Number,"Improve safety for pedestrians, motorists, ferry, and bike riders.",2025-07-01T00:00:00.000,
Number,,2016-11-01T00:00:00.000,305.0
Number,Meet timeliness standards for in-house trade shop construction and repair work.,2025-08-01T00:00:00.000,
Currency,Advance projects and programs that foster inclusive innovation and economic growth.,2017-05-01T00:00:00.000,
Number,"Accessible, affordable, and high-quality child care",2016-06-01T00:00:00.000,
Number,,2024-05-01T00:00:00.000,210.0
Number,,2016-05-01T00:00:00.000,205.0
Number,,2021-09-01T00:00:00.000,104.0
Number,Reduce the incidence of crime.,2025-07-01T00:00:00.000,34.0
Percentage,,2024-02-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2021-02-01T00:00:00.000,103.0
Number,,2019-05-01T00:00:00.000,305.0
Number,,2018-12-01T00:00:00.000,210.0
Number,,2017-12-01T00:00:00.000,209.0
Number,Increase the percentage of waste recycled.,2023-09-01T00:00:00.000,106.0
Number,Complete projects on time and within budget.,2015-10-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2022-09-01T00:00:00.000,503.0
Number,,2017-10-01T00:00:00.000,102.0
Number,Increase the percentage of waste recycled.,2018-11-01T00:00:00.000,206.0
Number,"Accessible, affordable, and high-quality child care",2019-06-01T00:00:00.000,
Number,Increase the percentage of waste recycled.,2015-08-01T00:00:00.000,202.0
Number,,2019-02-01T00:00:00.000,106.0
Number,Provide access to Supplemental Nutrition Assistance Program benefits for all eligible children and adults.,2025-08-01T00:00:00.000,306.0
Number,,2020-12-01T00:00:00.000,405.0
Number,Reduce the adverse health consequences of substance use.,2025-08-01T00:00:00.000,407.0
Number,Improve efficiency of waste handling.,2017-08-01T00:00:00.000,405.0
Number,,2020-10-01T00:00:00.000,410.0
Number,Increase the percentage of waste recycled.,2018-10-01T00:00:00.000,103.0
Number,Increase street and sidewalk cleanliness.,2023-01-01T00:00:00.000,
Number,Improve efficiency of waste handling.,2022-07-01T00:00:00.000,101.0
Number,Improve efficiency of waste handling.,2023-10-01T00:00:00.000,108.0
Number,,2017-09-01T00:00:00.000,404.0
Percentage,Ensure that all parks and playgrounds are clean and in good condition.,2025-08-01T00:00:00.000,401.0
Number,,2019-07-01T00:00:00.000,305.0
Number,Improve efficiency of waste handling.,2017-03-01T00:00:00.000,110.0
Number,,2017-10-01T00:00:00.000,
Number,Provide access to Supplemental Nutrition Assistance Program benefits for all eligible children and adults.,2025-08-01T00:00:00.000,414.0
Number,Facilitate appropriate work on landmark buildings through technical assistance and timely issuance of permits.,2025-07-01T00:00:00.000,
Number,,2021-11-01T00:00:00.000,406.0
Number,,2016-01-01T00:00:00.000,502.0
Number,,2022-04-01T00:00:00.000,105.0
Number,"Accessible, affordable, and high-quality child care",2022-07-01T00:00:00.000,
Number,,2015-11-01T00:00:00.000,101.0
Number,,2024-03-01T00:00:00.000,306.0
Number,,2022-01-01T00:00:00.000,414.0
Percentage,,2015-09-01T00:00:00.000,
Number,Ensure businesses comply with NYC’s Consumer Protection Law and related laws.,2020-02-01T00:00:00.000,
Number,,2016-10-01T00:00:00.000,205.0
Number,,2016-02-01T00:00:00.000,111.0
