id,survey_instance_id,create_dt,question
121986,3281,2019-02-19T00:00:00.000,What NYC agency did you apply for services with today?
66842,1955,2019-01-11T00:00:00.000,What ancestries or heritages do you identify with?
89457,90003132,2019-01-23T00:00:00.000,What other languages do you speak?
79689,90002387,2019-01-23T00:00:00.000,What other languages do you speak?
35541,90001169,2018-12-18T00:00:00.000,How would you describe your gender?
31670,90000857,2018-12-18T00:00:00.000,How would you describe your gender?
36686,90001263,2018-12-18T00:00:00.000,What ancestries or heritages do you identify with?
67543,2000,2019-01-11T00:00:00.000,What ancestries or heritages do you identify with?
91807,90003313,2019-01-23T00:00:00.000,What ancestries or heritages do you identify with?
89347,90003123,2019-01-23T00:00:00.000,What other languages do you speak?
120870,90005122,2019-02-19T00:00:00.000,What is the language you speak most at home?
112038,90004488,2019-02-07T00:00:00.000,What other languages do you speak?
128957,3588,2019-03-08T00:00:00.000,What sex were you given at birth?
120934,3117,2019-02-19T00:00:00.000,What service did you apply for?
248842,90012405,2019-11-21T00:00:00.000,What service did you apply for?
98702,90003444,2019-02-07T00:00:00.000,What service did you apply for?
236453,10889,2019-11-21T00:00:00.000,What sex were you given at birth?
30341,90000749,2018-12-18T00:00:00.000,What other languages do you speak?
102326,90003730,2019-02-07T00:00:00.000,What is the language you speak most at home?
73927,90001934,2019-01-23T00:00:00.000,What other languages do you speak?
90457,90003207,2019-01-23T00:00:00.000,What is the language you speak most at home?
77041,90002179,2019-01-23T00:00:00.000,How would you describe your gender?
61438,1566,2019-01-11T00:00:00.000,What other languages do you speak?
114981,90004716,2019-02-07T00:00:00.000,How would you describe your gender?
38709,90001422,2018-12-18T00:00:00.000,What service did you apply for?
39924,90001516,2018-12-18T00:00:00.000,What races or ethnicities do you identify with?
127934,3432,2019-03-08T00:00:00.000,What service did you apply for?
110268,90004348,2019-02-07T00:00:00.000,What sex were you given at birth?
34377,90001079,2018-12-18T00:00:00.000,What races or ethnicities do you identify with?
126736,90005653,2019-02-19T00:00:00.000,What is the language you speak most at home?
106486,90004050,2019-02-07T00:00:00.000,What races or ethnicities do you identify with?
263400,90013909,2019-11-21T00:00:00.000,What races or ethnicities do you identify with?
89232,90003115,2019-01-23T00:00:00.000,Do you want to answer the questions?
86483,90002903,2019-01-23T00:00:00.000,How would you describe your gender?
23456,90000205,2018-12-18T00:00:00.000,What other languages do you speak?
243958,11968,2019-11-21T00:00:00.000,What ancestries or heritages do you identify with?
118957,90005023,2019-02-07T00:00:00.000,What other languages do you speak?
24451,90000288,2018-12-18T00:00:00.000,Do you want to answer the questions?
6746,3,2018-11-15T00:00:00.000,What sex were you given at birth?
266025,90014174,2019-11-21T00:00:00.000,What other languages do you speak?
254340,90012975,2019-11-21T00:00:00.000,What other languages do you speak?
78510,90002293,2019-01-23T00:00:00.000,What is the language you speak most at home?
101319,90003641,2019-02-07T00:00:00.000,Do you want to answer the questions?
110296,90004350,2019-02-07T00:00:00.000,How well do you speak English?
125701,90005555,2019-02-19T00:00:00.000,Are you intersex?
98265,90003412,2019-02-07T00:00:00.000,What ancestries or heritages do you identify with?
72923,90001857,2019-01-23T00:00:00.000,Do you want to answer the questions?
66376,1920,2019-01-11T00:00:00.000,How well do you speak English?
238918,11246,2019-11-21T00:00:00.000,What service did you apply for?
82080,90002569,2019-01-23T00:00:00.000,What service did you apply for?
79911,90002404,2019-01-23T00:00:00.000,What is the language you speak most at home?
122251,90005245,2019-02-19T00:00:00.000,Do you want to answer the questions?
78820,90002319,2019-01-23T00:00:00.000,What service did you apply for?
65085,1826,2019-01-11T00:00:00.000,What other languages do you speak?
70394,2200,2019-01-11T00:00:00.000,What sex were you given at birth?
94302,2555,2019-02-07T00:00:00.000,Has anyone in your household served Write in:
120237,3024,2019-02-19T00:00:00.000,What other languages do you speak?
104047,90003867,2019-02-07T00:00:00.000,What service did you apply for?
68577,2073,2019-01-11T00:00:00.000,What NYC agency did you apply for services with today?
86266,90002887,2019-01-23T00:00:00.000,What is the language you speak most at home?
115035,90004720,2019-02-07T00:00:00.000,What service did you apply for?
41700,90001652,2018-12-18T00:00:00.000,What is the language you speak most at home?
68339,2057,2019-01-11T00:00:00.000,What service did you apply for?
70423,2203,2019-01-11T00:00:00.000,What ancestries or heritages do you identify with?
83009,90002639,2019-01-23T00:00:00.000,What other languages do you speak?
259553,90013513,2019-11-21T00:00:00.000,Do you want to answer the questions?
107481,90004128,2019-02-07T00:00:00.000,Do you want to answer the questions?
