survey_instance_id,survey_status,answer,survey_language,data_source,survey_number,dt_submitted
2075,Complete,Female,English,OnLine,50003666,2018-11-20T00:00:00.000
90013649,Complete,Female,Chinese,Paper,121,2019-11-21T00:00:00.000
2438,Complete,Hispanic or Latino,English,OnLine,50003666,2019-01-22T00:00:00.000
90014471,Complete,None,Russian,Paper,116,2019-11-21T00:00:00.000
90000250,Complete,Senior Center,English,Paper,27,
1773,Complete,French,English,OnLine,50003666,2018-10-27T00:00:00.000
90005683,Complete,African American,English,Paper,76,2019-02-19T00:00:00.000
1598,Complete,American,English,OnLine,50003666,2018-10-16T00:00:00.000
90013529,Complete,Chinese,Chinese,Paper,119,2019-09-09T00:00:00.000
90002279,Complete,Puerto Rican,Spanish,Paper,54,2018-12-17T00:00:00.000
90014325,Complete,Arabic,English,Paper,119,2019-09-06T00:00:00.000
3558,Complete,HRA - Human Resources Administration / Social Services,Spanish,OnLine,50003666,2019-02-26T00:00:00.000
90001996,Complete,Female,English,Paper,52,2019-01-23T00:00:00.000
1989,Complete,Heterosexual (straight),English,OnLine,50003666,2018-11-20T00:00:00.000
90001118,Complete,Senior Center,Spanish,Paper,28,
90013999,Complete,Fluently/Very well,English,Paper,119,2005-07-01T00:00:00.000
90000059,Complete,Fluently/Very well,English,Paper,21,
3550,Complete,No,English,OnLine,50003666,2019-02-25T00:00:00.000
90005397,Complete,Not well,Spanish,Paper,73,2019-02-19T00:00:00.000
12061,Complete,African American,English,OnLine,50003666,2019-11-18T00:00:00.000
90003054,Complete,Female,English,Paper,54,2019-01-23T00:00:00.000
2303,Complete,Public school,English,OnLine,50003666,2018-12-11T00:00:00.000
90002246,Complete,Public school,English,Paper,50,2018-11-27T00:00:00.000
90004367,Complete,none,English,Paper,63,2019-01-08T00:00:00.000
90005165,Complete,English,Spanish,Paper,73,2019-01-24T00:00:00.000
90002728,Complete,Yes,Spanish,Paper,54,2019-01-23T00:00:00.000
90001636,Complete,Female,English,Paper,26,
370485,Complete,No,English,OnLine,50003666,2025-01-30T00:00:00.000
1526,Complete,Yes,English,OnLine,50003666,2018-10-13T00:00:00.000
1698,Complete,Well,English,OnLine,50003666,2018-10-19T00:00:00.000
2023,Complete,Female,English,OnLine,50003666,2018-11-20T00:00:00.000
90004529,Complete,No,English,Paper,58,2019-02-07T00:00:00.000
11913,Complete,African American,English,OnLine,50003666,2019-11-13T00:00:00.000
90014504,Complete,Senior Center,English,Paper,109,2019-03-27T00:00:00.000
90001462,Complete,Not well,English,Paper,19,
90003747,Complete,Hispanic or Latino,Spanish,Paper,63,2018-12-20T00:00:00.000
90000239,Complete,No,English,Paper,24,
90002500,Complete,Yes,Spanish,Paper,51,2018-12-06T00:00:00.000
90003053,Complete,Male,English,Paper,53,2018-11-01T00:00:00.000
90003318,Complete,African American,English,Paper,55,2019-01-23T00:00:00.000
11839,Complete,HRA - Human Resources Administration / Social Services,English,OnLine,50003666,2019-11-12T00:00:00.000
90004872,Complete,Yes,English,Paper,64,2018-11-09T00:00:00.000
90004285,Complete,Female,English,Paper,61,2019-02-07T00:00:00.000
2401,Complete,Female,English,OnLine,50003666,2019-01-21T00:00:00.000
90001896,Complete,Female,Chinese,Paper,54,2019-01-23T00:00:00.000
4266,Complete,HRA - Human Resources Administration / Social Services,English,OnLine,50003666,2019-03-21T00:00:00.000
90003027,Complete,No,English,Paper,53,2019-01-23T00:00:00.000
3398,Complete,No,English,OnLine,50003666,2019-02-20T00:00:00.000
90012241,Complete,Hispanic or Latino,Spanish,Paper,122,2019-09-07T00:00:00.000
90001922,Complete,Asian Pacific Islander,English,Paper,50,2019-01-23T00:00:00.000
11070,Complete,HRA - Human Resources Administration / Social Services,English,OnLine,50003666,2019-10-22T00:00:00.000
90005647,Complete,Female,Spanish,Paper,76,2004-01-03T00:00:00.000
90002935,Complete,Yes,Spanish,Paper,52,1925-10-07T00:00:00.000
12130,Complete,Fluently/Very well,English,OnLine,50003666,2019-11-20T00:00:00.000
90003980,Complete,Fluently/Very well,English,Paper,62,2002-11-15T00:00:00.000
1621,Complete,English,English,OnLine,50003666,2018-10-18T00:00:00.000
90003649,Complete,Public school,Spanish,Paper,63,2018-12-18T00:00:00.000
90004187,Complete,Native American,English,Paper,61,2019-02-07T00:00:00.000
2220,Complete,Yes,English,OnLine,50003666,2018-12-11T00:00:00.000
90002716,Complete,Male,English,Paper,54,2018-10-04T00:00:00.000
90001458,Complete,English,Chinese,Paper,21,
90003461,Complete,Hispanic or Latino,English,Paper,58,2019-02-07T00:00:00.000
1872,Complete,Female,English,OnLine,50003666,2018-11-08T00:00:00.000
90012309,Complete,Spanish,Spanish,Paper,116,2019-08-27T00:00:00.000
90000351,Complete,English,Russian,Paper,26,
45,Complete,English,English,Paper,16,
