opt_code,total_field_trips
24071,69
16688,26
2821,20
31049,49
11160,18
19706,1
9311,125
23684,11
16243,22
14182,21
15758,4
26044,4
13453,445
2358,3
8363,7
19663,11
28733,3
13616,14
24802,3
31448,3
30212,51
20074,1
22240,32
12595,64
27261,7
13536,2
31025,571
10492,22
2584,2
31661,16
30502,5
31057,77
17025,41
13056,26
27804,3
31013,94
18285,19
31039,69
10003,21
6373,33
12632,25
25240,8
15559,1
12051,27
6006,2
17241,42
6178,94
4433,5
14125,18
31699,9
12072,8
27097,46
21733,3
6324,9
2174,20
10561,1
6152,13
10569,2
10015,48
5148,6
3862,10
21153,41
17221,35
28599,24
30444,20
21097,72
9611,3
