total_passengers,school_year
220,2024-2025
46,2024-2025
736,2024-2025
171,2024-2025
155,2024-2025
299,2024-2025
675,2024-2025
4096,2024-2025
93,2024-2025
552,2024-2025
454,2024-2025
679,2024-2025
1758,2024-2025
117,2024-2025
911,2024-2025
420,2024-2025
284,2024-2025
259,2024-2025
343,2024-2025
2248,2024-2025
142,2024-2025
1875,2024-2025
415,2024-2025
187,2024-2025
184,2024-2025
1334,2024-2025
803,2024-2025
2,2024-2025
4070,2024-2025
2826,2024-2025
2720,2024-2025
9,2024-2025
680,2024-2025
2679,2024-2025
1027,2024-2025
1576,2024-2025
77,2024-2025
36,2024-2025
858,2024-2025
1874,2024-2025
132,2024-2025
330,2024-2025
2037,2024-2025
105,2024-2025
403,2024-2025
672,2024-2025
1331,2024-2025
412,2024-2025
3455,2024-2025
997,2024-2025
4066,2024-2025
1172,2024-2025
2796,2024-2025
2430,2024-2025
55,2024-2025
197,2024-2025
319,2024-2025
1915,2024-2025
4465,2024-2025
85,2024-2025
1088,2024-2025
922,2024-2025
16,2024-2025
488,2024-2025
810,2024-2025
825,2024-2025
