dbn,school_name,link_to_school_s_virtual,link_to_school_s_myschools
30Q235,Academy for New Americans  (30Q235),{'url': 'https://sites.google.com/schools.nyc.gov/is235q/is235q-virtual-open-house-tour'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18983'}
11X144,J.H.S. 144 Michelangelo  (11X144),{'url': 'https://sites.google.com/jhs144.com/jhs144msadmissionssite/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/14946'}
02M177,Yorkville East Middle School  (02M177),{'url': 'http://www.ms177.org/admission.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/14800'}
15K088,J.H.S. 088 Peter Rouget  (15K088),{'url': 'https://ms88virtual.org/#prospective'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18650'}
02M407,Institute for Collaborative Education  (02M407),{'url': 'http://www.iceschoolnyc.org/admissions-information'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17331'}
10X228,Jonas Bronck Academy  (10X228),{'url': 'http://www.jonasbronckacademy.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17170'}
10X141,Riverdale / Kingsbridge Academy  (10X141),{'url': 'https://www.rka141.org/ms-and-hs-applications.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16627'}
25Q237,I.S. 237  (25Q237),{'url': 'https://rcis237.org/i-s-237-open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19509'}
20K201,J.H.S. 201 The Dyker Heights  (20K201),{'url': 'https://www.is201k.org/openhouse'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19508'}
03M334,The Anderson School  (03M334),{'url': 'https://www.ps334school.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19374'}
21K239,Mark Twain I.S. 239 for the Gifted & Talented  (21K239),{'url': 'https://twain239.com/apps/pages/index.jsp?uREC_ID=372440&type=d'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19315'}
20K259,J.H.S. 259 William Mckinley  (20K259),{'url': 'https://www.mckinley259.org/open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18244'}
02M255,M.S. 255 Salk School of Science  (02M255),{'url': 'https://www.salkschool.org/apps/video/watch.jsp?v=10081235'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17229'}
18K285,I.S. 285 Meyer Levin  (18K285),{'url': 'https://www.youtube.com/watch?v=HfdiOBy-K-4&feature=youtu.be'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15422'}
14K582,M.S. 582  (14K582),{'url': 'https://bit.ly/3miD1OT'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17715'}
20K229,P.S. 229 Dyker  (20K229),{'url': 'http://www.229k.org/virtual-open-house.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17037'}
20K187,The Christa McAuliffe School\I.S. 187  (20K187),{'url': 'https://sites.google.com/is187nyc.com/open-house/open-home'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18616'}
13K113,M.S. 113 Ronald Edmonds Learning Center  (13K113),{'url': 'https://www.relc113bk.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15838'}
02M289,Hudson River Middle School  (02M289),{'url': 'http://www.is289.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16349'}
19K452,Frederick Douglass Academy VIII Middle School  (19K452),{'url': 'http://ms-452-19k452-frederick-douglass-academy-viii-middle-school.echalksites.com/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/14872'}
16K057,J.H.S. 057 Whitelaw Reid Academy of Arts and Business  (16K057),{'url': 'https://www.ms57.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15833'}
20K030,P.S./I.S. 30 Mary White Ovington  (20K030),{'url': 'https://www.themarywhiteovingtonschool.org/middle-school-admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16051'}
02M297,M.S. 297 (75 Morton) (02M297),{'url': 'https://www.75morton.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15349'}
02M312,New York City Lab Middle School for Collaborative Studies  (02M312),{'url': 'https://www.labmiddleschool.com/apps/pages/index.jsp?uREC_ID=185510&type=d'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/14944'}
27Q323,Scholars' Academy  (27Q323),{'url': 'https://www.scholarsnyc.com/admissions/ms'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16867'}
25Q285,World Journalism Preparatory: A College Board School  (25Q285),{'url': 'https://www.wjps.org/middle_school_admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/15166'}
19K404,Academy for Young Writers  (19K404),{'url': 'http://young-writers.squarespace.com/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18606'}
03M421,West Prep Academy  (03M421),{'url': 'https://www.ms421.org/how-to-apply'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18603'}
30Q111,P.S. 111 Jacob Blackwell  (30Q111),{'url': 'https://www.ps111q.org/apps/news/show_news.jsp?REC_ID=685951&id=0'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18310'}
13K351,The Urban Assembly Unison School  (13K351),{'url': 'https://www.uaunisonschool.org/prospective-family-2'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16929'}
02M413,School of the Future Middle and High School  (02M413),{'url': 'https://www.sof.edu/admissions/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16214'}
23K671,Mott Hall Bridges Academy  (23K671),{'url': 'https://www.mhbabrooklyn.com/virtual-open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19603'}
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School  (09X218),{'url': 'http://psis218.org/admissions.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19519'}
