zip_codes,date
"Parts of 11004, 11005, 11040, 11360, 11361, 11362, 11363, 11364, and 11426",August 2nd
"Parts of 10464, 10465, and 10475","July 1st, 2nd & 6th"
"Parts of 11354, 11356, 11357, 11358, 11359, and 11360",August 6th
"Parts of 10451, 10452, 10454, 10455, 10456, 10459, and 10474.",August 31st
Parts of 11691 and 11692,September 5th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",July 8th & 9th
"Parts of 11355, 11367, 11368, 11374, and 11375",September 3rd
"Parts of 11101, 11104, 11373, 11374, 11375, 11378, 11378, 11385, 11415, 11418, 11432, and 11435",September 17th
"Parts of 11203, 11204, 11215, 11218, 11219, 11220, 11225, 11226, 11232, and 11238",September 19th
"Parts of 11411, 11412, 11413, 11422, 11429, and 1143",August 29th*
"Parts of 11101, 11104, 11373, 11374, 11375, 11377, 11378, 11379, 11385, 11415, 11418, 11419, 11421, 11432, and 11435",August 12th
"Parts of 11004, 11005, 11040, 11362, 11364, 11365, 11366, 11423, 11426, 11427, and 11432",August 20th
"Parts of 10451, 10455, 10456, 10457, 10459, 10460, 10472, 10473, and 10474",September 20th
"Parts of 10464, 10465, and 10475",August 6th & 10th
"Parts of 10304, 10305, 10306, and 10308",August 16th
"Parts of 10464, 10465, and 10475",June 21st &22nd
Parts of 11691 and 11692,September 5th
"Parts of 10464, 10465, and 10475",July 17th -19th
Parts of 10304 and 10314,August 10th
"Parts of 10304, 10305, and 10306",August 19th
"Parts of 10461, 10462, 10465, and 10473",July 26th
"Parts of 11361, 11364, 11365, 11366, 11423, 11427, and 11432",September 7th
"Parts of 11207, 11229, 11234, 11236 and 11239",August 6th & 10th
"Parts of 11354, 11355, 11356, 11357,11362, 11363, 11365, 11413, 11422, 11691, and 11692",June 19th & 20th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692","July 1st, 2nd & 6th"
"Parts of 10019, 10023, 10024, 10025, 10026, 10027, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10037, 10039, 10040, 10069, and 10115",September 15th
"Parts of 11004, 11357, 11360, 11361, 11362, 11363, 11364, and 11426",September 19th
"Parts of 11207, 11229, 11234, 11236 and 11239",
"Parts of 11355, 11358, 11365, 11367, and 11368",August 15th
"Parts of 10301, 10302, 10310, and 10314",July 24th
"Parts of 10461, 10462, 10465, & 10473",September 18th*
"Parts of 11373, 11374, 11375, 11378, 11379, 11385, 11415, 11418, and 11421",August 18th
"Parts of 11691, 11692, 11693, and 11694",August 29th
"Parts of 11203, 11204, 11213, 11215, 11218, 11219, 11220, 11225, 11226, and 11232",September 7th
"Parts of 10464, 10465, and 10475",June 19th & 20th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",August 2nd & 3rd
"Parts of 11357, 11358, 11360, 11361, 11362, 11363, 11364, and 11426",August 1st*
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",
Parts of 10308 and 10312,August 25th
"Parts of 11101, 11103, 11105, 11369, 11370, and 11377",August 1st*
"Parts of (Queens) 11101, 11104, 11377, 11378, 11385, 11414, 11416, 11417, 11420, 11421, 11430, and (Brooklyn) 11206, 11207, 11208, 11211, 11212, 11221, 11222, 11233, 11237",August 22nd*
"Parts of 10451, 10454, 10455, 10456, 10459, 10461, 10462, 10464, 10465, 10469, 10473, 10474, and, 10475",September 15th
"Parts of 11207, 11229, 11234, 11236 and 11239",June 21st &22nd
"Parts of 10307, 10309, 10312, and 10314",August 1st
"Parts of 10464, 10466, 10467, 10469, and 10475",August 17th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",July 18th & 19th
"Parts of 10308, 10312",August 30th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",June 21st &22nd
"Parts of 10451, 10454, 10455, 10456, 10457, 10458, 10459, 10460, 10472, 10473, 10474",August 23rd
"Parts of 10463, 10467, 10470, and 10471",August 24th
"Parts of 11364, 11365, 11366, 11423, 11432, and 11427",August 19th
"Parts of 10464, 10465, and 10475",
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",August 6th & 10th
"Parts of 10461, 10462, 10465, 10472, & 10473",July 18th*
"Parts of 11357, 11358, 11360, and 11361",July 26th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10313, and 10314",August 16th & 17th
"Parts of 11207, 11229, 11234, 11236 and 11239",
"Parts of 11355, 11358, 11365, and 11368",July 15th
"Parts of 11204, 11209, 11214, 11219, 11223, 11224, 11228, 11229, and 11235",August 23rd
"Parts of 11412, 11413, 11422, 11434, and 11436",September 8th
"Parts of 10303, 10305, 10306, 10308, 10309, 10311, 10312, 10313, and 10314",June 20th- 21st & 24th
"Parts of 10302, 10303, 10310, and 10314",August 12th
"Parts of 11206, 11211, 11221, 11222, 11237, and 11249",September 13th
"Parts of 11101, 11102, 11103, 11104, 11105, 11369, 11370, 11371, and 11377",August 17th
"Parts of 11207, 11229, 11234, 11236 and 11239",July 17th -19th
"Parts of 11354, 11355, 11356, 11357,11362, 11363, 11365, 11413, 11422, 11691, and 11692",August 16th & 17th
"Parts of 10023, 10024, 10025, 10026, 10027, 10031, 10032, 10035",August 30th
"Parts of 11354, 11355, 11356, 11357,11361, 11362, 11363,11364, 11365, 11413, 11422, 11430, 11691, and 11692",
"Parts of 11204, 11214, 11219, 11220, and 11228",August 9th*
