chg_law_cd,latitude,y_coord_cd,:@computed_region_f5dn_yrer
VTL,40.714457,199579,36.0
VTL,40.764898,217951,23.0
NYCTRR,40.6306,169019,60.0
VTL,40.693831,192104,46.0
VTL,40.695855,192847,46.0
VTL,40.675076,185225,14.0
VTL,40.68039,187165,69.0
VTL,40.722932,202697,40.0
VTL,40.633962,170246,10.0
VTL,40.761246,216708,26.0
VTL,40.584224,152180,51.0
VTL,40.507754,124349,15.0
VTL,40.715038,199784,70.0
VTL,40.767242,218804,12.0
NYCTRR,40.749869,212504,65.0
VTL,40.713372,199184,36.0
VTL,40.845222,247243,59.0
VTL,40.844416,246936,34.0
VTL,40.667229,182439,41.0
VTL,40.594871,156008,32.0
VTL,40.704435,195936,54.0
VTL,40.751545,213111,65.0
VTL,40.655275,178011,9.0
VTL,40.79156,227665,20.0
VTL,40.69037,190805,69.0
VTL,40.719397,201397,54.0
VTL,40.60981,161456,5.0
VTL,40.633803,170207,5.0
VTL,40.681137,187436,69.0
VTL,40.689631,190536,69.0
NYCTRR,40.72592,203766,54.0
VTL,40.761246,216708,26.0
VTL,40.72657,204024,67.0
VTL,40.746035,211084,53.0
VTL,40.633962,170246,10.0
NYCTRR,40.731949,205975,40.0
VTL,40.828103,241027,43.0
VTL,40.731949,205975,40.0
VTL,40.831421,242195,50.0
VTL,40.70841,197407,38.0
VTL,40.621217,165609,5.0
VTL,40.740037,208961,25.0
VTL,40.829423,241475,34.0
VTL,40.665489,181829,63.0
VTL,40.68039,187165,69.0
VTL,40.759348,215938,39.0
VTL,40.826771,240525,58.0
NYCTRR,40.713989,199411,36.0
VTL,40.638865,172030,10.0
VTL,40.768022,219169,26.0
VTL,40.61324,162702,5.0
VTL,40.672379,184315,41.0
VTL,40.675076,185225,14.0
VTL,40.666842,182295,41.0
VTL,40.758991,215841,22.0
VTL,40.696131,192896,68.0
VTL,40.71042,198133,54.0
VTL,40.866761,255072,47.0
VTL,40.678365,186500,41.0
NYCTRR,40.697561,193451,46.0
NYCTRR,40.697561,193451,46.0
VTL,40.886666,262365,44.0
VTL,40.694687,192382,42.0
VTL,40.534267,133962,15.0
VTL,40.74258,209815,12.0
VTL,40.749788,212445,11.0
VTL,40.668628,182951,41.0
VTL,40.631302,169277,10.0
VTL,40.887446,262622,24.0
VTL,40.750718,212815,65.0
VTL,40.764898,217951,23.0
VTL,40.758468,215686,26.0
NYCTRR,40.704875,196137,25.0
VTL,40.692129,191481,46.0
VTL,40.633962,170246,10.0
VTL,40.668416,182811,55.0
VTL,40.75224,213338,12.0
VTL,40.633962,170246,10.0
VTL,40.756319,214868,22.0
VTL,40.692129,191481,46.0
VTL,40.679889,186984,69.0
VTL,40.623252,166355,4.0
VTL,40.652789,177115,61.0
VTL,40.692129,191481,46.0
VTL,40.758291,215586,22.0
VTL,40.807554,233501,49.0
VTL,40.679592,186877,69.0
VTL,40.682404,187992,41.0
VTL,40.84468,247023,47.0
VTL,40.767242,218804,12.0
VTL,40.609927,161503,5.0
NYCTRR,40.663232,180917,17.0
VTL,40.545434,138025,15.0
VTL,40.749465,212355,65.0
VTL,40.68039,187165,69.0
VTL,40.667522,182549,41.0
