:@computed_region_efsh_h5xi,:@computed_region_92fq_4b7q,veh_category,:@computed_region_sbqj_enih
17613.0,30.0,CAR/SUV,56.0
12419.0,51.0,TRUCK/BUS,11.0
13513.0,18.0,CAR/SUV,43.0
24014.0,28.0,CAR/SUV,60.0
24015.0,46.0,CAR/SUV,60.0
17617.0,27.0,MCL,50.0
17618.0,49.0,CAR/SUV,51.0
14786.0,28.0,CAR/SUV,70.0
18180.0,7.0,CAR/SUV,41.0
14196.0,20.0,CAR/SUV,69.0
20531.0,41.0,CAR/SUV,58.0
10696.0,9.0,CAR/SUV,77.0
11723.0,32.0,CAR/SUV,2.0
12081.0,10.0,ZZZ,10.0
14510.0,21.0,BIKE,73.0
17213.0,30.0,CAR/SUV,56.0
11271.0,22.0,CAR/SUV,32.0
10935.0,22.0,CAR/SUV,25.0
24669.0,46.0,CAR/SUV,71.0
13512.0,15.0,CAR/SUV,36.0
15310.0,34.0,CAR/SUV,62.0
14783.0,21.0,CAR/SUV,73.0
13515.0,7.0,CAR/SUV,45.0
12422.0,19.0,CAR/SUV,15.0
18181.0,17.0,MCL,52.0
15309.0,34.0,MCL,62.0
13825.0,8.0,TRUCK/BUS,38.0
13827.0,8.0,CAR/SUV,42.0
17618.0,49.0,CAR/SUV,51.0
18181.0,17.0,CAR/SUV,52.0
14788.0,34.0,CAR/SUV,62.0
14196.0,20.0,CAR/SUV,69.0
14786.0,24.0,CAR/SUV,68.0
16858.0,33.0,CAR/SUV,66.0
18180.0,7.0,CAR/SUV,41.0
14785.0,28.0,CAR/SUV,70.0
11274.0,12.0,CAR/SUV,28.0
14785.0,28.0,MCL,70.0
10930.0,42.0,CAR/SUV,27.0
24014.0,34.0,CAR/SUV,60.0
13825.0,26.0,CAR/SUV,38.0
14507.0,16.0,CAR/SUV,65.0
10937.0,43.0,CAR/SUV,25.0
15313.0,47.0,CAR/SUV,63.0
17618.0,49.0,CAR/SUV,51.0
16860.0,4.0,CAR/SUV,72.0
11611.0,31.0,MCL,26.0
13828.0,30.0,CAR/SUV,56.0
18180.0,7.0,CAR/SUV,41.0
14196.0,20.0,CAR/SUV,69.0
13825.0,8.0,CAR/SUV,38.0
24669.0,46.0,MCL,71.0
17617.0,27.0,CAR/SUV,50.0
24669.0,46.0,CAR/SUV,71.0
13832.0,3.0,TRUCK/BUS,67.0
16865.0,38.0,CAR/SUV,54.0
15310.0,34.0,CAR/SUV,62.0
13092.0,39.0,CAR/SUV,22.0
24669.0,46.0,CAR/SUV,71.0
24017.0,34.0,CAR/SUV,60.0
24017.0,34.0,CAR/SUV,60.0
11273.0,12.0,CAR/SUV,28.0
18181.0,37.0,EBIKE,53.0
10699.0,9.0,CAR/SUV,77.0
12074.0,10.0,CAR/SUV,7.0
11722.0,51.0,TRUCK/BUS,8.0
24669.0,46.0,BIKE,71.0
17621.0,7.0,CAR/SUV,41.0
11608.0,40.0,CAR/SUV,30.0
14510.0,21.0,MCL,73.0
12419.0,51.0,TRUCK/BUS,11.0
14196.0,20.0,CAR/SUV,69.0
24670.0,24.0,MCL,65.0
24014.0,46.0,CAR/SUV,60.0
18180.0,7.0,CAR/SUV,41.0
17614.0,17.0,CAR/SUV,46.0
11722.0,10.0,CAR/SUV,6.0
18180.0,7.0,CAR/SUV,41.0
14190.0,3.0,CAR/SUV,67.0
24014.0,46.0,CAR/SUV,60.0
17615.0,49.0,CAR/SUV,51.0
10691.0,13.0,CAR/SUV,74.0
13827.0,17.0,CAR/SUV,40.0
24014.0,46.0,CAR/SUV,60.0
13832.0,3.0,CAR/SUV,67.0
10932.0,35.0,CAR/SUV,23.0
17615.0,49.0,CAR/SUV,52.0
15313.0,6.0,CAR/SUV,71.0
13090.0,39.0,CAR/SUV,21.0
12081.0,10.0,CAR/SUV,10.0
13825.0,8.0,CAR/SUV,38.0
16866.0,17.0,CAR/SUV,44.0
10695.0,9.0,CAR/SUV,76.0
14510.0,21.0,CAR/SUV,73.0
17618.0,49.0,CAR/SUV,51.0
24669.0,46.0,CAR/SUV,71.0
11723.0,32.0,CAR/SUV,2.0
20531.0,41.0,CAR/SUV,58.0
12081.0,10.0,CAR/SUV,10.0
24014.0,34.0,CAR/SUV,60.0
13516.0,37.0,CAR/SUV,46.0
15310.0,34.0,MCL,62.0
13832.0,3.0,CAR/SUV,67.0
10696.0,9.0,CAR/SUV,77.0
13516.0,17.0,CAR/SUV,46.0
10691.0,13.0,CAR/SUV,74.0
13825.0,8.0,CAR/SUV,38.0
17617.0,27.0,TRUCK/BUS,50.0
20529.0,47.0,CAR/SUV,59.0
16858.0,33.0,MCL,72.0
10936.0,22.0,CAR/SUV,31.0
10696.0,9.0,CAR/SUV,77.0
24669.0,46.0,CAR/SUV,71.0
17614.0,25.0,CAR/SUV,46.0
13516.0,37.0,CAR/SUV,46.0
17213.0,49.0,CAR/SUV,52.0
17617.0,27.0,MCL,50.0
14510.0,21.0,MCL,73.0
18180.0,7.0,CAR/SUV,41.0
17618.0,49.0,CAR/SUV,51.0
14783.0,21.0,CAR/SUV,73.0
14784.0,21.0,CAR/SUV,68.0
20531.0,41.0,BIKE,58.0
11608.0,40.0,CAR/SUV,30.0
24335.0,,MCL,
13516.0,37.0,CAR/SUV,46.0
16858.0,33.0,CAR/SUV,72.0
14195.0,20.0,CAR/SUV,67.0
18180.0,7.0,CAR/SUV,45.0
13509.0,48.0,CAR/SUV,44.0
,19.0,CAR/SUV,12.0
13832.0,3.0,MCL,67.0
17621.0,18.0,CAR/SUV,39.0
11611.0,31.0,MCL,26.0
18180.0,7.0,CAR/SUV,41.0
18180.0,7.0,CAR/SUV,41.0
24670.0,24.0,CAR/SUV,61.0
15310.0,34.0,CAR/SUV,62.0
17213.0,49.0,CAR/SUV,52.0
,22.0,CAR/SUV,32.0
11608.0,40.0,CAR/SUV,30.0
12073.0,50.0,CAR/SUV,7.0
13514.0,7.0,CAR/SUV,48.0
24012.0,41.0,TRUCK/BUS,60.0
13092.0,39.0,CAR/SUV,22.0
14190.0,3.0,CAR/SUV,67.0
24338.0,6.0,CAR/SUV,63.0
13513.0,18.0,CAR/SUV,43.0
13513.0,15.0,CAR/SUV,36.0
17621.0,7.0,CAR/SUV,41.0
24018.0,47.0,CAR/SUV,63.0
13513.0,18.0,CAR/SUV,43.0
13825.0,8.0,CAR/SUV,36.0
14783.0,21.0,CAR/SUV,73.0
24018.0,47.0,CAR/SUV,63.0
18181.0,17.0,CAR/SUV,52.0
13825.0,8.0,CAR/SUV,38.0
13829.0,48.0,CAR/SUV,49.0
24340.0,24.0,CAR/SUV,65.0
13825.0,8.0,CAR/SUV,38.0
24670.0,24.0,CAR/SUV,61.0
24339.0,46.0,CAR/SUV,71.0
15310.0,34.0,MCL,62.0
15310.0,34.0,CAR/SUV,62.0
14190.0,3.0,CAR/SUV,67.0
24335.0,16.0,CAR/SUV,63.0
17212.0,48.0,MCL,55.0
13091.0,39.0,CAR/SUV,22.0
12075.0,32.0,CAR/SUV,3.0
11274.0,12.0,CAR/SUV,28.0
10691.0,13.0,CAR/SUV,74.0
14190.0,3.0,CAR/SUV,67.0
15310.0,34.0,CAR/SUV,62.0
15310.0,34.0,MCL,62.0
24340.0,24.0,CAR/SUV,65.0
12419.0,51.0,TRUCK/BUS,11.0
16858.0,33.0,ESCOOTER,72.0
11608.0,40.0,CAR/SUV,30.0
17615.0,17.0,MCL,44.0
,19.0,CAR/SUV,13.0
13090.0,23.0,CAR/SUV,21.0
24339.0,46.0,CAR/SUV,71.0
12426.0,35.0,CAR/SUV,14.0
14510.0,21.0,MCL,73.0
17217.0,26.0,CAR/SUV,43.0
24340.0,24.0,CAR/SUV,65.0
12344.0,2.0,CAR/SUV,28.0
24669.0,46.0,CAR/SUV,71.0
10099.0,1.0,MCL,11.0
13825.0,26.0,CAR/SUV,38.0
18180.0,7.0,CAR/SUV,41.0
12427.0,36.0,CAR/SUV,20.0
17213.0,30.0,BIKE,56.0
16098.0,16.0,CAR/SUV,63.0
10931.0,29.0,CAR/SUV,29.0
24669.0,47.0,CAR/SUV,63.0
11273.0,12.0,CAR/SUV,28.0
17214.0,37.0,CAR/SUV,53.0
13509.0,48.0,MCL,44.0
17618.0,49.0,CAR/SUV,51.0
