inspectors_from_dohmh_present,summonses_issed_by_dob
2.0,0.0
2.0,0.0
0.0,0.0
2.0,0.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,0.0
2.0,1.0
2.0,0.0
2.0,0.0
2.0,1.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
3.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
,
2.0,0.0
3.0,0.0
2.0,1.0
2.0,0.0
2.0,0.0
2.0,
2.0,1.0
2.0,0.0
0.0,0.0
2.0,0.0
2.0,
2.0,
2.0,0.0
3.0,1.0
2.0,0.0
2.0,0.0
2.0,2.0
0.0,0.0
2.0,1.0
2.0,
0.0,0.0
2.0,1.0
2.0,1.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,
2.0,1.0
2.0,2.0
2.0,
2.0,2.0
