name_alphabetized,acronym,operational_status
Get Stuff Built Advisory Board,,Active
Domestic Violence Fatality Review Committee,FRC,Active
"Climate and Environmental Justice, Mayor's Office of",MOCEJ,Active
Randall's Island Park Alliance,RIPA,Active
"Ballet, New York City",,Active
Cyber Command,,Active
"Cultural Affairs, Department of",DCLA,Active
"Special Projects and Community Events, Mayor's Office of",MOSPCE,Active
"Correction, Board of",BOC,Active
"Veterans' Services, Department of",DVS,Active
Sheriff,,Active
"Emergency Management, New York City",NYCEM,Active
"District Attorney's Office, Queens",,Active
Housing Development Corporation,NYC HDC,Active
"Children's Museum, Brooklyn",BCM,Active
"Urban Agriculture, Mayor's Office of",MOUA,Active
"Borough President, Queens",,Active
Campaign Finance Board,CFB,Active
"Chief Medical Examiner, Office of the",OCME,Active
Juvenile Justice Advisory Board,,Active
"Special Narcotics Prosecutor, Office of the",,Active
"Small Business Services, Department of",SBS,Active
Brooklyn Navy Yard Development Corporation,BNYDC,Active
"Borough President, Brooklyn",,Active
"Administration and Chief of Staff, Deputy Mayor for",,Active
Senior Advisory Council,,Active
"Risk Management and Compliance, Mayor's Office of",MORMC,Active
Jamaica Center for Arts and Learning,JCAL,Active
City Planning Commission,CPC,Active
NYC311,311,Active
Wave Hill,,Active
"Taxi and Limousine Commission, New York City",TLC,Active
"Tourism + Conventions, New York City",,Active
Youth Board,,Active
"Public Administrator, Kings County",KCPA,Active
"City Clerk, Office of the",,Active
Civilian Complaint Review Board,CCRB,Active
"Elections, Board of",BOE,Active
"Pensions and Investments, Mayor's Office of",MOPI,Active
Snug Harbor Cultural Center and Botanical Garden,,Active
"Health, Board of",,Active
NYC HER Future,,Active
Forest Park Trust,,Active
Cultural Institutions Retirement System,CIRS,Active
"District Attorney's Office, Staten Island",,Active
Weeksville Heritage Center,,Active
"Young Men's Initiative, New York City",YMI,Active
"Children's Cabinet, New York City",,Active
"Historical Society, Staten Island",,Active
"Food Policy, Mayor's Office of",MOFP,Active
"Housing Authority Board, New York City",,Active
"Cultural Resources, Trust for",TCR,Active
"Press Office, Mayor's",,Active
Pay Equity Cabinet,,Active
"Innovation and Emerging Markets, Mayor's Office of",,Active
Voter Assistance Advisory Committee,VAAC,Active
Tax Appeals Tribunal,,Active
"Capital Project Development, Office of",,Active
"Botanical Garden, New York",NYBG,Active
"Museum of the Arts, Bronx",,Active
"Housing Authority, New York City",NYCHA,Active
"Operations, Mayor's Office of",OPS,Active
"Racial Equity, Commission on",CORE,Active
"Public Schools, New York City",NYCPS,Active
"Design and Construction, Department of",DDC,Active
Jazz at Lincoln Center,,Active
"Asylum Seeker Operations, Office of",OASO,Active
"Administrative Services, Mayor's Office of",,Active
Panel on Educational Policy,PEP,Active
MWBE Advisory Board,,Active
Flushing Council on Culture and the Arts / Flushing Town Hall,,Active
"Nightlife, Office of",ONL,Active
"Governors Island, Trust for",,Active
Metropolitan Transportation Authority,MTA,Active
"Modern Art, Museum of",MoMA,Active
"Standards and Appeals, Board of",BSA,Active
Workforce Development Council,,Active
"Hall of Science, New York",NYSCI,Active
"Records and Information Services, Department of",DORIS,Active
"Judiciary, Mayor's Advisory Committee on the",MACJ,Active
City Commission on Human Rights,CCHR,Active
New York City Center,,Active
"Community Mental Health, Mayor's Office of",OCMH,Active
Chief Climate Officer,,Active
"Sanitation, New York City Department of Sanitation",DSNY,Active
"Social Services, Department of",DSS,Active
Fund for Public Schools,,Active
"Public Housing Preservation Trust, New York City",,Active
Tobacco Settlement Asset Securitization Corporation,TSASC,Active
Human Resources Administration,HRA,Active
HIV/AIDS Services Advisory Board,HASA,Active
"Public Administrator, Bronx County",,Active
"Prevent Gun Violence, Mayor's Office to",Executive Director,Active
Community Services Board,CSB,Active
Land Development Corporation,NYCLDC,Active
Community Action Board at the NYC Department of Youth and Community Development,CAB,Active
"Loft Board, New York City",LOFT,Active
"Procurement Lobbying, Advisory Council on",ACPL,Active
"Communications, Director of",,Active
"Equity and Racial Justice, Mayor's Office of",MOERJ,Active
"Buildings, Department of",DOB,Active
Charter Revision Commission,,Active
"Police Pension Fund, New York City",PPF,Active
Convention Center Development Corporation,CCDC,Active
"International Affairs, Mayor's Office for",IA,Active
"Civic Engagement, Mayor's Office of",,Active
Educational Construction Fund,ECF,Active
"New York City School District, Special Commissioner of Investigation for the",SCI,Active
"Housing, Economic Development and Workforce, Deputy Mayor for",DMEWD,Active
"Strategic Initiatives, Deputy Mayor for",DMSI,Active
Studio Museum in Harlem,,Active
"Citywide Administrative Services, Department of",DCAS,Active
"Municipal Water Finance Authority, New York City",NYW,Active
"Health and Human Services, Deputy Mayor for",DMHHS,Active
"Faith-Based and Community Partnerships, Mayor's Office of",OFCP,Active
"Housing Preservation and Development, Department of",HPD,Active
"Public Administrator, Richmond County",,Active
"Media and Research Analysis, Mayor's Office of",,Active
"Contract Services, Mayor's Office of",MOCS,Active
"Botanical Garden, Queens",QBG,Active
"Animal Welfare, Mayor's Office of",MOAW,Active
"School Bus Umbrella Services, Inc., New York City",,Active
"Child Care and Early Childhood Education, Mayor's Office for",OCCECE,Active
"Special Enforcement, Mayor's Office of",OSE,Active
Borough Boards,,Active
National September 11 Memorial and Museum,,Active
"Municipal Services Assessment, Mayor's Office of",MSA,Active
Wildlife Conservation Society,WCS,Active
"Correction, Department of",DOC,Active
"Public Safety, Deputy Mayor for",DMPS,Active
"Utility Consumer Advocate, Mayor's Office of the",,Active
"Economic Opportunity, Mayor's Office for",NYC OPPORTUNITY,Active
Mayor's Fund to Advance New York City,,Active
"Policy and Planning, Mayor's Office of",,Active
"Museum, Staten Island",,Active
"Jewish Heritage, Museum of",,Active
Sales Tax Asset Receivable Corporation,STAR,Active
Equal Employment Practices Commission,EEPC,Active
"Probation, Department of",DOP,Active
"Mayor, Office of the",OM,Active
"Creative Communications, Office of",,Active
"Information Privacy, Office of",OIP,Active
Unity Project,UP,Active
"Transportation, New York City Department of",NYC DOT,Active
"Operations, Deputy Mayor for",DMOPS,Active
Veterans Advisory Board,VAB,Active
"Borough President, Manhattan",,Active
"Health and Mental Hygiene, Department of",DOHMH,Active
BuildNYC,,Active
Fire Department of the City of New York,FDNY,Active
Office Conversion Accelerator,,Active
Community Boards,CB,Active
"Historical Society, Bronx County",,Active
Perelman Performing Arts Center,PACNYC,Active
"Intergovernmental Affairs, Office of",MOIGA,Active
"Housing Recovery Operations, Mayor's Office of",HRO,Active
Independent Budget Office,IBO,Active
"Archives, Reference and Research Advisory Board",ARRAB,Active
"Youth Employment, Mayor's Office of",MOYE,Active
"Environmental Protection, Department of",DEP,Active
"Children's Services, Administration for",ACS,Active
Fire Department Pension Fund and Related Funds,,Active
"Speechwriting, Mayor's Office of",,Active
"Children's Museum, Staten Island",,Active
First Deputy Mayor,FDM,Active
"Labor Relations, Office of",OLR,Active
Carnegie Hall,,Active
Business Integrity Commission,BIC,Active
"Community Affairs Unit, Mayor's",CAU,Active
"Communications, Deputy Mayor for",,Active
"Administrative Trials and Hearings, Office of",OATH,Active
"Citywide Event Coordination and Management, Mayor's Office of",CECM,Active
Chief Counsel to the Mayor and City Hall,,Active
Civil Service Commission,CSC,Active
"Payroll Administration, Office of",OPA,Active
"Theatre in the Park, Queens",,Active
"Advance Team, Mayor's",,Active
"Correspondence, Mayor's Office of",,Active
PS 1 Contemporary Art Center,MOMA PS1,Active
"Strategic Partnerships, Mayor's Office of",OSP,Active
"Homeless Services, Department of",DHS,Active
Nonprofit Advisory Council,,Active
"Scheduling and Executive Operations, Office of",,Active
School Construction Authority,SCA,Active
"Public Realm, Office of the",,Active
Prospect Park Alliance,,Active
"Minority and Women-Owned Business Enterprises, Mayor's Office of",MWBE,Active
"Talent and Workforce Development, Mayor's Office of",NYC Talent,Active
Lincoln Center Theater,LCT,Active
"Investigation, Department of",DOI,Active
"End Domestic and Gender-Based Violence, Mayor's Office to",ENDGBV,Active
Chief Efficiency Officer,,Active
"Media and Entertainment, Mayor's Office of",MOME,Active
"Finance, Department of",DOF,Active
"Districting Commission, New York City",,Active
"Employees' Retirement System, New York City",NYCERS,Active
Teachers' Retirement System of City of New York,TRS,Active
"Combat Police Corruption, Commission to",CCPC,Active
Green Economy Advisory Council,,Active
"Actuary, New York City Office of the",NYCOA,Active
