address,bin,block,building_class_category,year_built,building_class_at_time_of
2170 EAST 9TH   STREET,3193157.0,7135,03  THREE FAMILY DWELLINGS,1925,C0
91 BAINBRIDGE STREET,3047466.0,1680,02  TWO FAMILY DWELLINGS,1899,B3
37-38 103RD STREET,4520357.0,1768,12  CONDOS - WALKUP APARTMENTS,2004,R2
486 5 AVENUE,3022891.0,1022,22  STORE BUILDINGS,1920,K4
"1332 METROPOLITAN AVENUE, 7C",2028895.0,3931,10  COOPS - ELEVATOR APARTMENTS,1962,D4
"2021 84TH STREET, 3-G",3165243.0,6329,10  COOPS - ELEVATOR APARTMENTS,1963,D4
514 EAST 51 STREET,3103775.0,4722,02  TWO FAMILY DWELLINGS,1940,B1
3815-3817 BEACH 38TH STREET,3189348.0,7032,03  THREE FAMILY DWELLINGS,1928,C0
2140 EAST 13TH STREET,3199448.0,7345,03  THREE FAMILY DWELLINGS,1970,C0
"251 EAST 51 STREET, 5JK",1038472.0,1325,10  COOPS - ELEVATOR APARTMENTS,1960,D4
353 STATE STREET,3397826.0,171,02  TWO FAMILY DWELLINGS,2013,B1
330 WYTHE AVENUE,3062888.0,2403,13  CONDOS - ELEVATOR APARTMENTS,1914,R4
102 WEST 57TH STREET,1089420.0,1009,26  OTHER HOTELS,2007,H3
N/A HARING STREET,,7336,05  TAX CLASS 1 VACANT LAND,0,V0
305 2 AVENUE,1069344.0,898,13  CONDOS - ELEVATOR APARTMENTS,0,R4
3049 BUHRE AVENUE,2046602.0,4196,21  OFFICE BUILDINGS,1925,O5
1039 66TH STREET,3142198.0,5751,02  TWO FAMILY DWELLINGS,1930,B1
"340 HAVEN AVENUE, 3N",1079979.0,2177,10  COOPS - ELEVATOR APARTMENTS,1951,D4
3060 WESTCHESTER AVENUE,2046603.0,4196,35  INDOOR PUBLIC AND CULTURAL FACILITIES,1937,P9
1126 BAY RIDGE PARKWAY,3159872.0,6220,01  ONE FAMILY DWELLINGS,1920,A9
2140 HOLLAND AVENUE,2049411.0,4320,22  STORE BUILDINGS,1932,K1
"2080 BARNES AVENUE, 6B",2048829.0,4293,10  COOPS - ELEVATOR APARTMENTS,1951,D4
2969-2979 THIRD AVENUE,2001382.0,2375,22  STORE BUILDINGS,1928,K2
275 AVENUE S,3178336.0,6678,02  TWO FAMILY DWELLINGS,1955,B1
1710 EAST 8TH   STREET,3177490.0,6664,02  TWO FAMILY DWELLINGS,1920,B3
400 EAST 54TH   STREET,1076281.0,1365,13  CONDOS - ELEVATOR APARTMENTS,1972,R4
140 WEST 12TH,,607,13  CONDOS - ELEVATOR APARTMENTS,2013,R4
5120 19TH   AVENUE,3129736.0,5468,13  CONDOS - ELEVATOR APARTMENTS,1931,R4
710 SHEPHERD AVENUE,3097127.0,4316,02  TWO FAMILY DWELLINGS,1930,B1
969 64TH   STREET,3141715.0,5736,07  RENTALS - WALKUP APARTMENTS,1931,C1
1718 STUART STREET,3183729.0,6815,01  ONE FAMILY DWELLINGS,1950,A5
1427 WATERLOO PLACE,4300072.0,15699,02  TWO FAMILY DWELLINGS,1955,B2
1335 AVENUE OF THE AMERIC,,1006,45  CONDO HOTELS,1963,RH
