phone,friday,condoms_male,additionalinfo,tuesday,facilityname-service_category
7185791863,9:00 AM - 5:00 AM,True,Find free safer sex products at this clinical facility.Last Updated: 9/25/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,"Gotham Health, Belvis-Free Safer Sex Products"
212-229-2988,11:00 AM - 8:00 PM,True,Find free safer sex products inside a dispenser located near the entrance at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,11:00 AM - 8:00 PM,Royal Ink Gallery-Free Safer Sex Products
917-747-0466,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,J Cleaner's-Free Safer Sex Products
8458010133,10:00 AM - 6:00 PM,True,Find free safer sex products at this community-based organization/non-profit.Last Updated: 9/24/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,10:00 AM - 6:00 PM,Etelworks Inc.-Free Safer Sex Products
7182991100 Ext,9:00 AM - 5:00 PM,True,Find free safer sex products at this clinical facility.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,Claremont Family Health Center-Free Safer Sex Products
718-803-1188,9:00 AM - 7:30 PM,True,Find free safer sex products inside a fishbowl located back of the store counter at this location.Last Updated: 7/7/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 7:30 PM,Horizon Pharmacy III-Free Safer Sex Products
(718) 940-2200,9:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located in the back near the restroom at this social service. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,Haitian American Community Coalition-Free Safer Sex Products
718-340-3603,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Crossfit Queens-Free Safer Sex Products
212-690-5202,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Frederick Community Pharmacy-Free Safer Sex Products
212-678-9722,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Lenox Pharmacy-Free Safer Sex Products
929-252-4613,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located in the waiting room at this community center. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,HASA Center #43  Kingsbridge Ctr-Free Safer Sex Products
646-753-4553,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Los Mismos de Atlixco-Free Safer Sex Products
646-598-4375,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located in the front at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Barbershop Shave & Cut-Free Safer Sex Products
646-998-3453,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Silvia Beauty Salon-Free Safer Sex Products
718-731-0055,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Almiana Unisex Corp.-Free Safer Sex Products
347-355-6992,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Diamond Cuts VIP Barber Shop-Free Safer Sex Products
718-292-2088,9:30 AM - 6:00 PM,True,Find free safer sex products at this location.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:30 AM - 6:00 PM,Boca Pharmacy-Free Safer Sex Products
718-565-8600,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,EZ Pawn (95)-Free Safer Sex Products
718-513-6533,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Nahel Beauty Salon-Free Safer Sex Products
212-243-4987,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,New London Pharmacy-Free Safer Sex Products
718-665-1823,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Mary Beauty Salon-Free Safer Sex Products
917-294-8359,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Tamara'S Beauty Bar-Free Safer Sex Products
212-928-9641,5:00 PM - 4:00 AM,True,Find free safer sex products inside a fishbowl located in the front near the entrance at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,5:00 PM - 4:00 AM,Icon-Free Safer Sex Products
347-284-4997,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Celebrities Beauty Center-Free Safer Sex Products
347-678-4138,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,EL GABY BARBERSHOP-Free Safer Sex Products
718-443-1437,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Norbert's Pizza-Free Safer Sex Products
347-270-3486,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Darlyn Unisex Corp.-Free Safer Sex Products
212-227-8401 X,9:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located at reception at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,Betances Health Center-Free Safer Sex Products
347-915-0220,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Sujey Salon-Free Safer Sex Products
212-571-2888,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Medilane Pharmacy Corp-Free Safer Sex Products
646-712-4025,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,13 Magnum Tattoos-Free Safer Sex Products
7182631963,7:30 AM - 8:00 PM,True,Find free safer sex products at this physician.Last Updated: 9/26/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,7:30 AM - 8:00 PM,womens health pavilion-Free Safer Sex Products
718-294-0700,9:00 AM - 5:00 PM,True,Find free safer sex products inside a bowl located at the front desk at this physician. Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,UNIVERSITY MEDICAL AND DENTAL CENTER-Free Safer Sex Products
7182178600,10:00 AM - 7:00 PM,True,Find free safer sex products at this clinical facility.Last Updated: 9/25/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,2:00 PM - 4:00 PM,Better Medical Care PC-Free Safer Sex Products
646-833-7795,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Dimension Barber Shop-Free Safer Sex Products
718-953-3037,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Rose African Hair Braiding-Free Safer Sex Products
718-975-4484,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Trendsettas Too Salon-Free Safer Sex Products
347-988-5762,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Siata's Hair Braiding-Free Safer Sex Products
212-740-3737,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Heidi Pharmacy-Free Safer Sex Products
718-346-0508,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,African Professional Hair Salon-Free Safer Sex Products
917-828-5144,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,D'Flaco Barber Shop-Free Safer Sex Products
718-367-8461,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Villa Unisex Beauty Salon-Free Safer Sex Products
347-750-7373,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Vp Universal Salon-Free Safer Sex Products
718-808-1360,8:00 AM - 5:00 PM,True,Find free safer sex products inside a clear draws located prevention office at this community center. Last Updated: 11/23/2021 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Pride Center of Staten Island-Free Safer Sex Products
,,True,Find free safer sex products inside a fishbowl located in the front near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,MC Bar at Land of Plenty-Free Safer Sex Products
212-781-8888,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Health Rite Pharmacy-Free Safer Sex Products
