latitude,thursday,wednesday,longitude-saturday
40.731884,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-74.0031807-8:00 AM - 5:00 PM
40.7605435,,,-73.9666288-nan
40.757048,,,-73.9207546-nan
40.8407682,,,-73.9168915-nan
40.6669146,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,-73.8998363-nan
40.7943967,,,-73.9429398-nan
40.650809,,,-73.9495841-nan
40.7466825,,,-73.9962173-10:00 PM - 3:00 AM
40.7494116,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.9950831-nan
40.6599813,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,-73.9325378-nan
40.7066848,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.8019519-8:00 AM - 5:00 PM
40.720732,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.984202-8:00 AM - 5:00 PM
40.7333936,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-74.0056193-8:00 AM - 5:00 PM
40.7489861,,,-73.8695769-nan
40.680585,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.93758-8:00 AM - 5:00 PM
40.683014,6:00 PM - 4:00 AM,6:00 PM - 4:00 AM,-73.911791-6:00 PM - 4:00 AM
40.7015416,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.8836304-8:00 AM - 5:00 PM
40.747563,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.884666-8:00 AM - 5:00 PM
40.6555256,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9438938-nan
40.7422529,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,-73.9984147-4:00 PM - 4:00 AM
40.7333573,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-74.0023353-8:00 AM - 5:00 PM
40.6812494,,,-73.8809264-nan
40.812108,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.950141-8:00 AM - 5:00 PM
40.8157001,9:30 AM - 6:00 PM,9:30 AM - 6:00 PM,-73.9073462-10:30 AM - 3:00 PM
40.8496112,,,-73.917133-nan
40.8435994,,,-73.8880614-nan
40.7157524,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,-74.002517-nan
40.744959,,,-73.998719-nan
40.8344707,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.9450749-8:00 AM - 5:00 PM
40.8182444,,,-73.9189664-nan
40.7216835,7:30 AM - 8:00 PM,7:30 AM - 8:00 PM,-73.8419116-7:30 AM - 2:00 PM
40.6853835,,,-73.9202983-nan
40.701296,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.764941-8:00 AM - 5:00 PM
