inspection_type,status
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Non-Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Inactive
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Inactive
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Inactive
Cycle,Inactive
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Non-Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
Cycle,Active
