point_x,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,congdist,stsendist,femafldz
1001373.87743,39,21,13,31,X
1006678.58279,39,22,13,31,X
987268.393459,50,7,12,28,X
989665.857446,48,55,8,25,X
987320.323439,50,7,12,28,X
996757.229681,38,57,12,18,X
1031917.27011,3,67,6,16,X
1001000.28178,39,21,13,31,X
1019037.50096,31,26,15,32,X
1022406.49298,21,68,14,13,X
1012131.95951,34,62,7,15,X
1014369.8506,22,31,15,34,X
985748.514755,32,2,7,26,X
998473.575571,23,19,13,"30,31",X
987410.268516,38,54,7,25,X
1016329.62636,5,73,"6, 14","12, 13",X
1006584.8559,17,46,9,20,X
1053752.32826,20,69,3,11,X
1015289.9746,40,34,13,33,X
1047977.57251,6,71,5,14,X
996952.158821,38,57,7,59,X
987604.107466,51,8,12,28,X
988956.909487,38,54,8,25,X
981345.676408,32,1,10,26,AE
998394.153646,30,57,12,18,X
1027996.66828,12,28,14,34,X
986734.608122,32,4,7,26,X
1006775.53155,33,66,7,12,X
987555.553307,38,54,7,26,X
988206.901235,10,8,12,28,X
987818.630882,51,8,12,28,X
1009367.28591,30,62,7,12,X
986781.223876,50,5,10,27,X
986547.546464,10,8,"10,12",31,X
998580.669184,33,66,12,12,X
1009628.97884,17,46,9,20,X
982045.151449,32,1,10,26,X
1006932.67263,43,23,15,32,X
994777.491906,48,55,8,25,X
988953.994487,50,7,12,28,X
994268.545058,48,55,8,25,X
997948.738474,1,11,12,28,X
941562.447446,13,75,11,23,"AE,X"
1003712.79663,39,22,13,31,X
985946.176795,38,54,7,26,"AE,X"
1000087.01317,39,21,13,31,X
994892.346557,11,44,9,21,X
990163.093688,27,39,9,"20, 17",X
1022181.31958,41,60,8,"12,19",X
1052698.37139,47,59,5,10,X
987970.917039,38,54,8,25,X
1001057.83359,36,16,13,30,X
995146.760954,11,44,9,20,X
1008794.45679,37,53,7,"18,12",X
999182.779853,49,51,8,25,X
997404.061123,36,18,13,30,X
1005236.57398,33,66,7,12,X
1009886.0108,17,46,8,25,X
983513.89393,32,2,10,27,X
983356.237581,32,2,10,27,X
998664.400663,26,43,9,21,X
1015038.58498,5,73,14,13,X
1016689.59897,25,47,8,19,X
1001314.22334,33,66,7,59,X
994308.969983,30,56,7,18,X
1006793.25266,37,53,7,18,X
990051.725177,27,39,10,21,X
1005461.14592,35,27,15,29,X
1017264.99024,34,62,6,15,X
986838.579984,50,7,"10, 12","27, 28",X
997091.207101,23,19,13,31,X
984391.672151,10,3,10,27,X
990319.772467,51,8,12,"28,27",X
1013510.02833,22,34,13,33,X
1004250.99133,39,22,13,31,X
1000633.59341,30,56,7,18,X
991031.976889,48,55,8,25,X
1014143.69182,5,73,14,"13,16",X
997468.490008,38,57,12,18,AE
1052544.46875,47,59,5,10,X
999028.299267,33,66,12,12,X
993020.504733,48,55,8,25,X
986668.316449,50,5,12,27,X
994048.854365,48,49,8,25,X
981695.381119,32,1,10,26,X
987889.085512,32,4,12,26,X
982623.059778,10,3,10,47,X
984818.376659,32,2,7,26,X
989326.568965,51,10,12,28,X
990353.785369,51,8,12,28,X
