point_y,femafldt,assemdist
247536.052803,AREA OF MINIMAL FLOOD HAZARD,72
254376.739627,AREA OF MINIMAL FLOOD HAZARD,72
209759.443067,AREA OF MINIMAL FLOOD HAZARD,"74, 75"
190141.781661,AREA OF MINIMAL FLOOD HAZARD,57
209838.600317,AREA OF MINIMAL FLOOD HAZARD,75
199492.482854,AREA OF MINIMAL FLOOD HAZARD,50
216383.40382,AREA OF MINIMAL FLOOD HAZARD,40
244950.967373,AREA OF MINIMAL FLOOD HAZARD,72
241428.454652,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,85
212438.808668,AREA OF MINIMAL FLOOD HAZARD,39
194549.809748,AREA OF MINIMAL FLOOD HAZARD,37
252854.03708,AREA OF MINIMAL FLOOD HAZARD,78
199841.105637,AREA OF MINIMAL FLOOD HAZARD,65
239576.420012,AREA OF MINIMAL FLOOD HAZARD,71
191513.168036,AREA OF MINIMAL FLOOD HAZARD,52
213934.82574,AREA OF MINIMAL FLOOD HAZARD,"39, 30, 34"
182847.001484,AREA OF MINIMAL FLOOD HAZARD,55
219415.753307,AREA OF MINIMAL FLOOD HAZARD,26
260778.102846,AREA OF MINIMAL FLOOD HAZARD,81
192986.202168,AREA OF MINIMAL FLOOD HAZARD,29
202681.56177,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,50
212492.968995,AREA OF MINIMAL FLOOD HAZARD,75
190698.378158,AREA OF MINIMAL FLOOD HAZARD,52
195571.01999,,65
200715.5803,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",50
245519.350515,AREA OF MINIMAL FLOOD HAZARD,82
199592.621663,AREA OF MINIMAL FLOOD HAZARD,65
210047.893399,AREA OF MINIMAL FLOOD HAZARD,37
195485.938829,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",52
215309.287108,AREA OF MINIMAL FLOOD HAZARD,75
213753.707635,AREA OF MINIMAL FLOOD HAZARD,75
194300.430341,AREA OF MINIMAL FLOOD HAZARD,38
205260.740893,AREA OF MINIMAL FLOOD HAZARD,66
212723.083971,AREA OF MINIMAL FLOOD HAZARD,75
212608.807856,AREA OF MINIMAL FLOOD HAZARD,37
182852.19074,AREA OF MINIMAL FLOOD HAZARD,55
197102.345831,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",65
236439.908828,AREA OF MINIMAL FLOOD HAZARD,84
187979.832042,AREA OF MINIMAL FLOOD HAZARD,57
209046.059163,AREA OF MINIMAL FLOOD HAZARD,75
191964.451287,AREA OF MINIMAL FLOOD HAZARD,57
224020.488308,AREA OF MINIMAL FLOOD HAZARD,73
171400.111631,",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",61
249208.977176,AREA OF MINIMAL FLOOD HAZARD,72
195323.725383,",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",52
246218.01823,AREA OF MINIMAL FLOOD HAZARD,71
177969.867715,AREA OF MINIMAL FLOOD HAZARD,43
173490.236607,AREA OF MINIMAL FLOOD HAZARD,44
186781.478029,AREA OF MINIMAL FLOOD HAZARD,"54,23"
159162.081133,AREA OF MINIMAL FLOOD HAZARD,23
193973.61712,AREA OF MINIMAL FLOOD HAZARD,52
232461.999625,AREA OF MINIMAL FLOOD HAZARD,68
180821.93194,AREA OF MINIMAL FLOOD HAZARD,43
194231.080699,AREA OF MINIMAL FLOOD HAZARD,"38,53"
187196.618228,AREA OF MINIMAL FLOOD HAZARD,56
230259.151571,AREA OF MINIMAL FLOOD HAZARD,70
210278.578762,AREA OF MINIMAL FLOOD HAZARD,37
182892.575272,AREA OF MINIMAL FLOOD HAZARD,55
198337.838755,AREA OF MINIMAL FLOOD HAZARD,65
198985.923406,AREA OF MINIMAL FLOOD HAZARD,65
169750.869807,AREA OF MINIMAL FLOOD HAZARD,42
213994.493505,AREA OF MINIMAL FLOOD HAZARD,34
182053.386279,AREA OF MINIMAL FLOOD HAZARD,60
210423.264083,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD, AREA OF MINIMAL FLOOD HAZARD",37
198098.264484,AREA OF MINIMAL FLOOD HAZARD,50
193911.912385,AREA OF MINIMAL FLOOD HAZARD,53
172646.558659,AREA OF MINIMAL FLOOD HAZARD,44
240600.901353,AREA OF MINIMAL FLOOD HAZARD,"77,84"
194992.898138,AREA OF MINIMAL FLOOD HAZARD,38
207667.49295,AREA OF MINIMAL FLOOD HAZARD,"66, 74"
238535.789989,AREA OF MINIMAL FLOOD HAZARD,70
206686.995998,AREA OF MINIMAL FLOOD HAZARD,66
213529.727203,AREA OF MINIMAL FLOOD HAZARD,73
253407.839839,AREA OF MINIMAL FLOOD HAZARD,78
254752.806677,AREA OF MINIMAL FLOOD HAZARD,"72,71"
195609.765908,AREA OF MINIMAL FLOOD HAZARD,53
189549.271917,AREA OF MINIMAL FLOOD HAZARD,57
211476.038261,AREA OF MINIMAL FLOOD HAZARD,"34,39"
200630.122794,,50
159539.176532,AREA OF MINIMAL FLOOD HAZARD,31
210918.111927,AREA OF MINIMAL FLOOD HAZARD,37
188538.502387,AREA OF MINIMAL FLOOD HAZARD,57
204566.62022,AREA OF MINIMAL FLOOD HAZARD,66
187271.424187,AREA OF MINIMAL FLOOD HAZARD,57
200097.174491,AREA OF MINIMAL FLOOD HAZARD,66
200821.719828,AREA OF MINIMAL FLOOD HAZARD,65
208894.903615,AREA OF MINIMAL FLOOD HAZARD,66
199552.685297,AREA OF MINIMAL FLOOD HAZARD,65
218750.658834,AREA OF MINIMAL FLOOD HAZARD,75
213173.877906,AREA OF MINIMAL FLOOD HAZARD,73
