objectid,partner,borocode,tostreet,hrcevac
32,"Community League of the Heights, Inc. (CLOTH)",1,Wadsworth Avenue,
63,NYC Department of Transportation,"3,4",Gates Avenue,
5,Flatiron NoMad Partnership,1,29 Street,
44,Alliance for Downtown New York,1,Pearl Street,1
27,Grace Church School,1,,
56,Downtown Brooklyn Partnership,3,Pearl Street,
46,Asian Americans for Equality,1,Division Street,
65,Lower East Side Business Improvement District,1,Ludlow Street,
33,NYC Department of Parks and Recreation,1,138 Street,
68,Fulton Area Business (FAB) Alliance Business Improvement District,3,Fulton Street,
76,VOREA Group,4,44 Avenue,"4,5"
13,Sunnyside Shines Business Improvement District,4,,
80,Youth Ministries for Peace and Justice,2,Westchester Avenue,5
26,Baruch College,1,Lexington Avenue,
30,161st Street Business Improvement District,2,Grand Concourse,
87,Kensington Stewards,3,East 2 Street,
89,Inwood Merchants Association,1,10 Avenue,5
88,North Brooklyn Parks Alliance,3,Banker Street,2
43,NYC Department of Transportation,3,,3
50,NYC Department of Transportation,"3,4",Drew Street,4
38,Myrtle Avenue Business Improvement District Queens,4,Cooper Avenue,
28,NYC Department of Parks and Recreation/Central Park Conservancy,1,59 Street,
81,Friends of Bogardus Plaza,1,Reade Street,3
14,Addisleigh Park Civic Association,4,Dead End,
24,NYC Department of Parks and Recreation,4,Northern Boulevard,
61,SL Green,1,43 Street,
54,Downtown Brooklyn Partnership,3,Fulton Mall,
51,Bed Stuy Gateway Business Improvement District,3,Fulton Street,
17,James Baldwin Outdoor Learning Center,2,,X
41,North Brooklyn Parks Alliance,3,Union Avenue,3
34,NYC Department of Transportation,2,3 Avenue,
59,Flatbush Avenue Parkside/Empire Merchants Association,3,,
79,Dyckman Gardens,1,Seaman Avenue,"5,6"
1,I Am Caribbeing,3,Sterling Street,
74,The Brotherhood Sister Sol,1,Amsterdam Avenue,
73,Friends of James Cagney Plaza,1,3 Avenue,
20,NYC Department of Transportation,1,,"4, 6, 5"
25,NYC Department of Transportation,4,104 Street,
69,Douglaston LDC,4,,1
70,NYC Department of Transportation,4,74 Street,
11,34th Avenue Open Street Coalition,4,94 Street,
40,NYC Economic Development Corp.,3,Varet Street,5
3,Village Alliance,1,Cooper Square,
47,DUMBO Business Improvement District,3,Front Street,2
42,Aesthetic Urban Works,3,South 6 Street,
78,Rockaway East Merchants Association,4,,1
35,NYC Department of Parks and Recreation,5,Van Pelt Avenue,"0,1"
4,Gotham Park,1,Avenue of the Finest,"5, 6"
86,Fulton Area Business (FAB) Alliance Business Improvement District,3,Vanderbilt Avenue,
72,NYC Department of Transportation,2,East Tremont Avenue,"2,5"
15,LaGuardia Community College,4,Skillman Avenue,"2, 3, 4, 5, 6"
37,Myrtle Avenue Business Improvement District,4,Myrtle Avenue,
29,Third Avenue Business Improvement District,2,Willis Avenue,6
64,NYC Department of Parks and Recreation,2,,
77,MoMA PS1,4,,3
45,Federal Reserve Bank of New York,1,Maiden Lane,2
9,NYC Department of Parks and Recreation/Union Sq Partnership,1,East 19 Street,
19,Garment District Alliance,1,41 Street,X
53,Downtown Brooklyn Partnership,3,Hudson Street,
48,DUMBO Business Improvement District,3,Anchorage Place,"2,3,4"
21,Grand Central Partnership (GCP),1,East 42 Street,X
23,Flushing BID,4,39 Avenue,X
31,Uptown Grand Central,1,125 Street,"5,6"
83,Vornado/34th Street Partnership,1,8 Avenue,
57,Brownsville Community Justice Center,3,,
12,Sunnyside Shines Business Improvement District,4,,
39,NYC Department of Transportation,3,Greene Avenue,
75,NYC Department of Transportation,3,Metropolitan Avenue,4
52,Myrtle Avenue Bkln Partnership (MARP),3,Emerson Place,
49,NYC Department of Transportation,3,New Lots Avenue,4
55,NYC Department of Transportation,3,Manhattan Bridge,
84,Chinatown Partnership,1,Bowery,
85,Prospect Heights Neighborhood Development Council,3,Pacific Street,
67,Fulton Area Business (FAB) Alliance Business Improvement District,3,Fulton Street,
22,Village Alliance BID,1,Christopher Street,4
62,Myrtle Avenue Business Improvement District Queens,4,St. Nicholas Avenue,
60,Naturally Occuring Cultural Districts,3,Church Avenue,
7,34th Street Partnership,1,36 Street,
58,NYC Department of Parks and Recreation/Pitkin Avenue Business Improvement District,3,East New York Avenue,
16,Flatbush Nostrand Junction Business Improvement District,3,Kennilworth Place,"6, 5"
82,NYC Department of Parks and Recreation/Madison Square Park Conservancy,1,25 Street,
66,Lower East Side Business Improvement District,1,Clinton Street,6
6,Meatpacking Improvement District,1,West 15 Street,"4, 5, 6"
2,Brownsville Community Justice Center,3,Dead End,
36,Rockaway Development and Revitalization Corp,4,Mott Avenue,1
10,NYC Department of Transportation,1,W 166 Street,
8,Times Square Alliance,1,53 Street,
71,Columbia University Medical Center,1,169 Street,
18,Yeshiva University,1,Amsterdam Avenue,X
