coordinates,new_name,limits,:@computed_region_yeji_bk3q
"{'type': 'Point', 'coordinates': [-74.00531000199999, 40.629227986000046]}","Tony ""The Barber"" Nobile Way",The northwest corner of the intersection of 64th Street and 11th Avenue,2.0
"{'type': 'Point', 'coordinates': [-74.14019468899994, 40.60980317600007]}",Angela Padavano Way,Underneath the Martin Avenue street sign at the southwest corner of Purdy Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.82048308599997, 40.84850263900006]}",Joe DeSimone Way,At the intersection of Middletown Road and Stadium Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.92334177799995, 40.743685113000026]}",Benjamin Wheeler Place,At the intersection of 41st Street and Queens Boulevard,3.0
"{'type': 'Point', 'coordinates': [-74.15283216499995, 40.62732778900005]}",Clement A. Fumando Way,The southeast corner of the intersection of Wenlock Street and Simonson Avenue,1.0
"{'type': 'Point', 'coordinates': [-74.00545299699996, 40.732449992000056]}",Larry Selman Way,At the southeast corner of Bedford Street and Grove Street,4.0
"{'type': 'Point', 'coordinates': [-73.94382158999997, 40.835243759000036]}",Margarita “Margot” Correa Santana Way,At the intersection of 159th Street and Broadway,4.0
"{'type': 'Point', 'coordinates': [-74.10602426799994, 40.64140171300005]}",Sgt. Doreen Scrimenti Place,NW corner of Kissel Avenue and Linden Street,1.0
"{'type': 'Point', 'coordinates': [-74.19600520299997, 40.540585157000066]}",Paul J. Simon Avenue,The intersection of Huguenot Avenue and Rensselaer Avenue,1.0
"{'type': 'Point', 'coordinates': [-74.12786362799994, 40.61261885700003]}",Frank J. Reali III’s Way,At the intersection of Gansevoort Avenue at the southwest corner of Victory Boulevard,1.0
"{'type': 'Point', 'coordinates': [-73.82650558699999, 40.83100358000007]}",Tina Zaffuto Square,The intersection of East Tremont Avenue and Barkley Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.76171881899995, 40.69519026100005]}",Rev. Walter A. & Doris L. Jones Way,At the northside of 115th Road and Farmers Boulevard,3.0
"{'type': 'Point', 'coordinates': [-73.85826421299998, 40.67812821200005]}",Mary Ann Carey Way,At the intersection of Glenmore Avenue and 79th Street,3.0
"{'type': 'Point', 'coordinates': [-73.89913151599995, 40.82570283900003]}",Msgr. John A. Steltz Square,The intersection of East 166th Street and Prospect Avenue,5.0
"{'type': 'Point', 'coordinates': [-74.12884173399993, 40.60402290600007]}",Firefighter Anthony Rodriguez Avenue,The intersection of Livingston Avenue and Holden Boulevard,1.0
"{'type': 'Point', 'coordinates': [-74.10992000899995, 40.62986792600003]}",Jody Haggerty Way,At the southeast corner of Forest Avenue and Oakland Avenue,1.0
