new_name,introduced_by_council_members,enactment_year,borough
New York Irish Center Place,Won,2025-01-01T00:00:00.000,Queens
Ludie Brown Way,Riley,2022-07-16T00:00:00.000,Bronx
John William Perry Way,Ayala,2025-09-18T00:00:00.000,Manhattan
Police Officer Randolph Holder Way,Ayala,2022-07-15T00:00:00.000,Manhattan
Carolyn D. Faulkner Way,Barron,2024-06-27T00:00:00.000,Brooklyn
Eden II Lane,Rose,2013-07-29T00:00:00.000,Staten Island
Cathy LeBlanc Way,Brooks-Powers,2022-07-15T00:00:00.000,Queens
Gibbs “Big Gibbs” Seraphin Way,Joseph and Louis,2024-08-07T00:00:00.000,Brooklyn
Mothers on the Move/MOM Way,"Salamanca, Jr.",2024-06-27T00:00:00.000,Bronx
Hon. Sy Gerschwer Way,Narcisse,2025-09-18T00:00:00.000,Brooklyn
SVA Way,Rivera,2024-06-28T00:00:00.000,Manhattan
Julius J. Deak,"Cerullo III. Fusco, Castaneira-Colon, Dear, and O'Donovan",1993-01-01T00:00:00.000,Staten Island
Bobby Bello Field,"Golden and Nelson, also Council Member Clarke",2002-08-22T00:00:00.000,Brooklyn
Gaetano Vincent Mangano Street,Lanza,2006-08-19T00:00:00.000,Staten Island
Grace Nichilo Place,"Recchia, Jr.",2007-08-01T00:00:00.000,Brooklyn
Ret. NYPD Capt. Carmine Cantalino Way,Matteo,2018-07-12T00:00:00.000,Staten Island
Big Apple Corner,"Duane, O'Donovan. Foster. Fisher, Linares, Robinson, Warden, Eristoff, Ruiz and Robles",1997-07-15T00:00:00.000,Manhattan
Lucas Yoaldy Silverio Mendoza Way,Torres,2020-07-08T00:00:00.000,Bronx
Arthur C. Leahy Jr. Way,Carr,2025-09-18T00:00:00.000,Staten Island
Firefighter Jimmy Lanza Way,Constantinides,2017-07-22T00:00:00.000,Queens
Guru Tegh Bahadur Marg Ji Way,Schulman,2025-01-01T00:00:00.000,Queens
