:@computed_region_f5dn_yrer,present_name,Intersection with biographical_information,Park with biographical_information,Playground with biographical_information
26.0,,"Father Murray was ordained as a Roman Catholic priest on May 29, 1965.  He was an alcoholic who struggled with the disease for years and decided to seek help.  He joined Alcoholics Anonymous (AA) and later became a leader of the local chapter.  Over the",,
34.0,,"Monsignor John A. Steltz was born January 5, 1922, in Kingston, New York. Monsignor Steltz attended grammar school in Kingston and later attended Cathedral Preparatory Seminary in New York City. He went on to attend Cathedral College and St. Joesph's Sem",,
45.0,,Carolyn D. Faulkner was very active in her community. She helped found and operate a community based nonprofit organization known as Community Alliance for Youth Action (CAYA). She was able to advocate for youth offenders on several different occasions.,,
30.0,,Awaiting Biographical Information,,
4.0,,"Sgt. Doreen Scrimenti was a native of New Brighton, attended St. Paul’s Elementary School and graduated from Moore Catholic High School.  She earned a BA in 1988 from John Jay College of Criminal Justice.  She was a member of the college’s Police Cad",,
57.0,,"Larry Selman lived on Bedford Street for nearly 50 years and was a member of the Bedford Barrow Commerce Block Association (BBC) for over 35 years.  As a member of the BBC, he was involved in many charitable events and was involved in many fundraisers fo",,
18.0,,"Geraldine Daniels spent the majority of her life and career serving the Harlem community.  She was a member of the New Era Democratic Club, executive member of the Martin Luther King Jr. Democratic Club of Central Harlem and later served as Assemblywoman",,
23.0,,George R. Connelly served with the NYPD for eleven years. He died in the line of duty when he suffered a heart attack while rescuing a heat-stricken individual from the fourth floor of a building during a heat wave.,,
26.0,,Awaiting Biographical Information.,,
51.0,,This co-naming will commemorate St. John’s Episcopal Hospital serving the Rockaway community for over 100 years.,,
4.0,,Doris Allen always loved children and became a crossing guard in 1986 and was an active crossing guard until the age of 78.  She was said to have treated each child as if they were her own and received a certificate of service achieving 20 years as a cro,,
53.0,,"Anthony Mazzarella was a boxing enthusiast and an avid fundraiser for people with cancer.  He owned the Crab House restaurant, known for its seafood and sports and boxing memorabilia.  He donated to the precinct council, which used such donations to feed",,
7.0,,"Johnnie Mae Johnson was elected District Leader from the 70th Assembly District, Part A due to her strong community ties and tireless work in the community.  She was instrumental in getting a pedestrian bridge constructed into Harlem River Park where bef",,
4.0,,Awaiting Biographical Information.,,
30.0,,Jonathan M. Acierno graduated from Wagner College in 2002 with a B.A. in Sociology and a Minor in Religion.  He was president of the Wagner College Rotary Club and tutored amputee refugees from Sierra Leone and succeeded with securing Wagner College Scho,,
24.0,,"This co-naming will recognize the culture and heritage of the Mexican population in the Bronx.  Cinco de Mayo commemorates the Mexican Army’s victory over French forces at the Battle of Puebla on May 5, 1862.",,
18.0,,"Sylvia P. Woods was known as “The Queen of Soul Food.”  She worked at various jobs, including a beauty shop, hat factory and from 1954 to 1962, she worked in a restaurant.  In 1962, she bought her own restaurant with an initial total capacity limited",,
53.0,,"Benjamin Wheeler was born in New York City and lived in Sunnyside, Queens for the first year of his life before moving to Connecticut. He just six years old when he was killed in the massacre at Sandy Hook Elementary School in Newtown, Connecticut. Benja",,
24.0,,"Johnny Pacheco cofounded Fania Records in 1964, which exposed many talented Latin artists. He was a songwriter, arranger and leader of the Fania All Stars, salsa’s first supergroup. He was the recipient of numerous awards and honors both in the Dominic",,
4.0,,Lisa Moudatsos was a lifelong Staten Islander who worked as a second-grade teacher for 12 years at St. Peter's Elementary School until she was appointed principal in 2000.  She was praised for her caring and selflessness and her capacity for working with,,
56.0,,"David Dinkins was an American politician, who served as the first African American mayor of New York City from 1990 until 1993. After graduating from high school in 1945, he attempted to enlist in the United States Marine Corps but was told that th",,
53.0,,"Alejandro Nino was a member of the City Volunteer Corps and also served as a full time volunteer.  He was also a therapy aide at Coler Memorial Hospital, providing care and attention to developmentally challenged residents, a teacher’s aide at the Cora",,
22.0,,"Marine Corporal Ramon was killed in Iraq on July 20, 2006.  At the time of his death, Corporal Ramon was on his second tour of duty Iraq.  He had lived at 137-60 45th Avenue since immigrating to the United States from Colombia at the age of 4.  He attend",,
8.0,,Jose Collazo Sr. served with the NYPD for 20 years in both the 30th and 41st Precincts. He worked at Ground Zero as part of the search and rescue efforts after the terrorist attacks on 9/11. He died as a result of 9/11 related illness.,,
58.0,,Reverend Dr. Jerry Mosby was the Pastor for the Fellowship Covenant Church in the Bronx and a very active member of the community.  He also served as the Community Chaplain for the 43rd Precinct and was a retired Pastor for the Bronx Network Health and H,,
63.0,,"Cathy Frances Clare LeBlanc owned her own businesses and was an active member of her community. She joined the Girl Scouts, helping and feeding underprivileged youth, and becoming an advocate for individuals with substance abuse. She moved to Queens in 1",,
39.0,,"Giuseppa Vendome was born in Italy in 1923, and later migrated to the United States. Over her life, she worked as a chocolate candy maker, a tailor and owner and manager of real estate and restaurants. Shortly after the 9/11 terrorist attacks, she opened",,
35.0,,"Lucas Yoaldy Silverio Mendoza was killed when he rushed into a building fire to tray and save a three-year-old girl from the blaze. Sadly, both he and the toddler died from their injuries a few days later.",,
10.0,,Arthur Schack was known as a “champion for the little guy” in foreclosure cases. He was a former teacher at Bay Ridge High School and a Troop 20 leader who later became a judge when he was elected to the Kings County Criminal Court. He served as lega,,
39.0,,"James Lanza served in the United States Navy during the Vietnam War who later became a member of FDNY’s Engine 53, Ladder 43, known as ‘El Barrio’s Bravest.’  On September 11th, He and other firefighters pulled 16 people out of the rubble alive.",,
12.0,,"This legislation will name the unnamed northeastern corner of the intersection of West
Forty-Second Street and Twelfth Avenue, Tiananmen Square Corner.
This legislation is designed to bring attention to the barbaric action by the government of the People",,
54.0,,"This law seeks to officially name an existing sitting area that has been used for numerous functions, such as parades and speeches, by the residents of the Maspeth Community. The sitting area, which is located near the intersection of Grand Avenue and 69",,
43.0,,"This legislation will name a presently unnamed triangle, formed by the intersection of Randal Avenue, Calhoun Avenue and the service road of the Cross Bronx Expressway, John McNamara Square.

John McNamara was born on December 22, 1912 in the Melrose sec",,
5.0,,"Sy Gerschwer  was a graduate of Brooklyn College and St. John's University School of Law, he was elected as a Civil Court Judge in 1984 and served as a Criminal Court Judge and Acting Supreme Court Justice in Brooklyn for the entirety of his ten-year t",,
