fy_1995,fy_1998,fy_2005,fy_2003,fy_1992,fy_2010,fy_1994,fy_1999,fy_1983,fy2017
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"1,253,976",- 0
(632),"(44,220)",- 0,- 0,"(429,013)",- 0,"(11,040)","(12,490)",(21),(256)
- 0,- 0,- 0,- 0,"(37,801)",- 0,- 0,- 0,- 0,- 0
"1,729,867,547","2,147,972,454","3,951,113,752","3,292,058,955","1,447,339,473","6,016,700,310","1,750,029,205","2,317,069,525","637,919,711","8,942,853,138"
"6,177,095,045","6,762,667,312","9,920,069,998","9,488,931,926","5,317,732,743","12,481,804,758","5,850,728,123","7,309,327,461","2,605,939,550","14,565,184,862"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"81,844,699","41,355,315","56,338,879","54,057,657","70,997,349","66,591,069","73,291,152","51,883,268","32,943,172","93,403,874"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,"(50,000)",- 0,- 0,"(285,480)",- 0,- 0,- 0,"(663,500)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"1,890,627","1,646,087","2,318,851","1,879,327","1,798,958","3,707,464","1,880,034","1,854,855","747,098","4,618,742"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"1,066,876",- 0
,,,,,,,,,
- 0,- 0,"3,925,122","968,761",- 0,"9,654,889",- 0,- 0,- 0,"14,365,161"
,,,,,,,,,
"3,880,586","4,021,055","3,113,074","3,427,924","3,971,470","4,013,150","4,198,914","4,133,573","1,753,716","4,030,371"
"46,875,826","10,030,218","11,487,927","11,411,038","36,284,908","14,413,616","38,077,089","12,267,729","8,972,698","27,442,317"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(7,356)","(2,891)",- 0,"(1,408,526)","(33,001)","(52,000)",(881),"(219,566)",(11),"(120,660)"
,,,,,,,,,
- 0,- 0,"5,178,948","5,661,303",- 0,"17,568,674",- 0,- 0,- 0,"33,029,952"
"49,786,016","72,070,399","114,271,121","94,039,792","25,374,336","162,269,794","35,656,485","78,891,552","20,011,333","232,133,305"
"1,480,733","1,613,678","1,525,923","1,581,532",- 0,"1,695,665","1,057,562","1,135,088",- 0,"3,548,725"
,- 0,- 0,- 0,,- 0,,- 0,,"229,105"
"1,403,491","1,425,784","916,547","617,028","1,381,623","438,894","1,513,559","1,287,262","394,719","1,051,660"
,,,,,,,,,
"2,038,648,069","2,595,222,684","3,756,723,907","3,448,353,393","1,688,028,105","4,420,305,519","1,838,639,405","2,845,151,283","864,317,471","5,312,163,257"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"2,054,838","1,675,776","2,339,340","2,602,298","2,025,692","4,884,730","2,101,127","1,640,989","1,736,573","11,837,032"
"6,537,440",- 0,- 0,- 0,"1,954,603",- 0,"3,884,679",- 0,"176,351",- 0
"(666,117)",- 0,- 0,- 0,"(653,056)",- 0,"(666,117)",- 0,"(625,892)",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"47,926,202","55,256,792","102,625,355","94,764,993","32,722,288","58,319,593","48,362,192","59,144,010","31,721,643","103,745,183"
"(7,992,246)","(10,001,129)","(56,520,309)","(27,206,229)","(1,879,615)","(45,685,131)","(7,025,242)","(9,250,077)",- 0,"(90,335,356)"
"599,241","625,879","1,192,662","738,527","450,506","1,691,140","532,026","602,172",- 0,"2,653,619"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"565,805",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"896,115","1,148,434","775,948","433,641","755,639","686,262","899,020","1,063,654","480,407","732,422"
"62,920,727","33,388,671","20,229,762","40,304,264","70,571,580","20,441,485","73,428,154","35,698,282","39,530,054","25,706,180"
,- 0,- 0,- 0,,- 0,,- 0,,- 0
,,,,,,,,,
"13,113,101","14,208,945","14,945,715","16,966,054","15,009,338","16,638,443","13,795,421","15,454,235","2,189,479","28,115,581"
,,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,,
- 0,"(5,040)",- 0,"(6,295)","(36,024)",(520),(148),"(10,228)",- 0,- 0
- 0,"232,240",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"3,016,754","4,921,299","8,249,664","7,293,732",- 0,"8,395,438","2,400,857","6,009,077",- 0,"11,680,809"
"(7,800,782)","(7,396,968)","(14,047,923)","(9,086,954)","(4,788,784)","(27,212,471)","(7,607,229)","(7,162,505)","(5,296,477)","(45,480,741)"
"(12,880)",- 0,- 0,- 0,"(1,250,456)",- 0,"(557,509)",- 0,"(3,350)",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"(1,568,613)"
"2,086,666","2,358,146","4,116,453","3,229,145","2,114,353","4,976,668","2,311,937","2,458,377",- 0,"6,658,462"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"46,573,869","54,045,785","98,780,588","90,170,511","35,697,882","57,187,528","46,136,225","57,177,369","32,538,569","105,158,908"
(817),(580),(305),(123),"(3,430)","(2,325)","(3,233)","(15,686)",(4),- 0
"(899,024)",- 0,- 0,- 0,"(337,905)",- 0,"(291,301)",- 0,"(158,125)",- 0
,,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"35,606,978","38,203,982","45,128,267","43,558,820","34,938,315","53,242,916","36,057,139","39,776,278","24,025,480","66,174,867"
"7,615,782",- 0,- 0,- 0,"8,209,220",- 0,"8,283,204",- 0,"5,028,564",- 0
"1,923,207,160","2,449,846,902","3,645,225,317","3,335,225,401","1,608,152,180","4,322,456,517","1,740,774,601","2,700,300,477","819,349,774","5,011,389,444"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"633,548",- 0
"16,458,611","15,533,329","20,931,827","19,190,681","17,401,673","25,855,692","16,680,580","15,901,138","12,111,168","36,212,265"
"(212,854)","(212,854)","(270,054)","(212,854)","(208,680)","(270,054)","(212,854)","(159,681)","(203,924)","(212,854)"
"4,641,237",- 0,- 0,- 0,"4,986,713",- 0,"5,125,984",- 0,"2,310,425",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"266,327",- 0
,,,,,,,,,
