fy_1986,fy2015,fy_2000,agency_expenditures,fy_1980,fy_1985
"1,660,761",- 0,- 0,TOTAL DEPT.,"926,570","1,435,949"
"49,410",(111),"(13,060)",prior year adjustments,"(73,422)","(4,858)"
"(2,388)",- 0,- 0,less: intra-city,"(110,000)",- 0
"873,448,993","7,606,758,795","2,810,385,838",Other Than Personal Services,"515,118,759","808,503,467"
"3,538,795,983","13,392,606,600","7,945,930,690",Personal Services,"2,105,738,469","3,209,400,680"
- 0,- 0,- 0,Personal Services,- 0,- 0
"48,416,949","86,239,337","55,846,638",TOTAL DEPT.,"23,358,602","41,183,980"
- 0,- 0,- 0,Personal Services,- 0,- 0
- 0,"(663,212)",- 0,less: intra-city,- 0,- 0
- 0,- 0,- 0,less: intra-city,- 0,- 0
"1,122,512","4,261,058","1,971,567",TOTAL DEPT.,"386,844","1,056,307"
"1,684,606",- 0,- 0,TOTAL DEPT.,"428,394","1,473,479"
,,,Civilian Complaint Review Board,,
- 0,"11,601,381",- 0,Personal Services,- 0,- 0
,,,Office of the Comptroller,,
"2,330,293","3,775,599","4,122,208",Personal Services,"1,399,422","2,121,246"
"18,187,620","27,175,215","14,668,755",Other Than Personal Services,"5,742,733","15,006,296"
- 0,- 0,- 0,less: intra-city,"(19,000)",- 0
"(119,864)","(69,413)",- 0,prior year adjustments,"(626,114)",(47)
,,,Office of the Actuary,,
- 0,"23,436,956",- 0,Other Than Personal Services,- 0,- 0
"22,134,071","217,656,108","90,352,329",Other Than Personal Services,"14,071,940","22,397,085"
- 0,"2,785,668","1,196,455",Other Than Personal Services,- 0,- 0
,- 0,- 0,Other Than Personal Services,,
"604,945","889,615","1,142,281",Other Than Personal Services,"295,658","538,107"
,,,Police Department,,
"1,189,186,298","4,896,334,549","3,085,518,027",TOTAL DEPT.,"704,174,580","1,092,200,331"
- 0,- 0,- 0,prior year adjustments,"(140,771)",- 0
"2,999,481","3,538,038","1,835,693",Other Than Personal Services,"13,057,339","2,426,300"
"213,076",- 0,- 0,Other Than Personal Services,"232,266","207,447"
"(625,892)",- 0,- 0,less: intra-city,"(625,892)","(625,892)"
