public_speaking_identified,user_centered_research_engaged,event_engagement_produced,public_speaking_shared_open,year,storytelling_published_a_1,communication_engagement
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,1
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
1,0,0,0,2021,0,0
1,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,4,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
1,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
1,0,0,0,2022,0,0
0,1,0,0,2020,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
2,0,0,0,2022,0,0
0,0,0,0,2022,0,0
1,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
1,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
1,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,1,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,1
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,0
1,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
1,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
1,0,0,0,2020,0,0
0,0,0,0,2021,0,1
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
1,1,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
2,0,0,0,2022,0,0
1,0,0,0,2022,0,0
0,0,0,0,2022,0,0
1,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
1,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
1,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,1,0
0,0,0,0,2020,0,0
1,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,1
0,0,0,0,2021,0,1
0,0,0,0,2020,0,1
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
1,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
1,0,0,0,2022,1,0
1,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
1,0,0,0,2020,0,0
1,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
1,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2020,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,1
0,0,0,0,2021,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,1,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2021,0,0
0,0,0,0,2022,0,0
0,1,0,0,2022,0,0
0,0,0,0,2020,0,0
0,0,0,0,2022,0,0
0,0,0,0,2022,0,0
0,0,0,0,2021,0,0
