data_set_description,data_set_name,year
The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain information from all police reported motor vehicle collisions in NYC.,Motor Vehicle Collisions- Crashes,2025
NYC DOT's bike racks provide free sidewalk bicycle parking  throughout the five boroughs. The data contains locations of all bike parking.,Bicycle Parking,2025
Information from DYCD evaluation and monitoring reports,Evaluation and Monitoring System data,2025
Budget worksheets submitted by proposers to the Transportation RFP,Individual Budget Worksheets for Transportation Proposals,2025
List of DCWP Operation Padlock to Protect Violations,Operation Padlock to Protect Violations,2025
"This table is the primary table for information about work orders, and contains general information - including a description of the work, assigned title, request date and completion date - about each work order. Each row represents a single work order. The primary key field is EVT_CODE. The EVT_OBJECT field can be joined to the Assets table on OBJ_CODE to know which asset the work order was for.",Asset Management Parks System (AMPS) - Work Orders,2025
Childcare program permits and inspections,Childcare,2025
Number of complaints received during FY24 by business category.,Complaints by Business Category,2025
"Includes mobile food vending permits that were active on 7/1 of each year. Only includes trucks, not carts. Counts permits if they had "" ice"" or ""softee"" in the ""Doing Business As"" field OR if they had a cuisine description of ""Ice Cream, Gelato, Yogurt, Ices"". Note, neither of these descriptive fields are very reliable (relies on permit holder self-selecting during application), so ice cream trucks may be under or over counted.",Active Ice Cream Trucks as of July 1st,2025
Tracking of applications for work involving  NYC Parks trees,Forestry Permits and Plan Review,2025
Copies of Board Decisions,Resolutions,2025
"Complaints that captured key words related to ""pedicabs""",Pedicab Related Complaints,2025
List of Dealers in Products for the Disabled licensees with ownership information,Licensed Dealers in Products for the Disabled Ownership Information,2025
"Deidentified dataset of admissions to Department of Correction by zip code of residence, including race, ethnicity, and gender information.",Admissions Data,2025
"Pursuant to Local Law 93 of 2015, DOE reports the total count of disciplinary responses by school broken down in various categories such as race/ethnicity, gender, grade level, IEP status, ELL, STH and others. In addition, we report out a total count of EMS transports and EMS transports for emotional/psychological conditions for students by district broken down by race, IEP, and age.",Local Law 93 of 2015 - Biannual Report 2023-2024,2025
List of licensed Tobacco Retail Dealers and Electronic Retail Dealers,Licensed Tobacco Retail Dealers and Electronic Retail Dealers,2025
Application Filings - DOB NOW,Application Filings - DOB NOW,2025
Full Fire Investigation Report from FDNY's Bureau of Fire Investigation,Fire Marshal Report,2025
Tracks maintenance and inspections of pavement markings.,Design Markings,2025
Employee Attendance Record,CHARMS Database,2025
List of Paid Sick Leave enforcement actions,Paid Sick Leave Enforcement Actions,2025
List of Dealers in Products for the Disabled licensees with contact information,Licensed Dealers in Products for the Disabled w. Contact Information,2025
"List of proposers for the GMH request for proposals, including proposer name, competition pool, proposed budget, total average score, result, and award basis",GMH RFP Summary Rating Sheet,2025
This DOS-based system was used to track forestry work before approximately 2008.,Tree Manager,2025
"This dataset contains immediate attention hazards. These include unacceptable situations that may be potentially hazardous, as well as graffiti that depicts profanity or hate speech. Each row represents a single ""immediate attention.""",Parks Inspection Program - Daily Immediate Attentions,2025
"Detailed reporting relating to vehicles, assignments and history.",SMART- Equipment,2025
List of licensed Home Improvement Contractors with contact information,Licensed Home Improvement Contractors w. Contact Information,2025
List of Pedicab Driver and Business complaints,Pedicab Driver and Business Complaints,2025
DOT Street Light and Traffic Signal Work Orders service requests available in 311 Service Request from 2010 to Present.,DOT Street Lights and Traffic Signals (311 Service Requests from 2010 to Present),2025
List of Pedicab Business complaints,Pedicab Business Complaints,2025
