planned_release_date,agency
2026-06-30T00:00:00.000,Department of Citywide Administrative Services (DCAS)
2025-10-31T00:00:00.000,Office of Labor Relations (OLR)
2025-12-31T00:00:00.000,Department of Transportation (DOT)
2026-06-30T00:00:00.000,Department of Citywide Administrative Services (DCAS)
2025-12-31T00:00:00.000,Department of Environmental Protection (DEP)
2026-03-31T00:00:00.000,Mayor's Office of Immigrant Affairs (MOIA)
2025-10-31T00:00:00.000,Mayor's Office of Contract Services (MOCS)
2025-12-31T00:00:00.000,Queens Borough President (QBP)
2026-06-30T00:00:00.000,NYC Emergency Management (NYCEM)
2026-06-30T00:00:00.000,Department of Finance (DOF)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2026-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2027-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-10-31T00:00:00.000,Department of Citywide Administrative Services (DCAS)
2026-06-30T00:00:00.000,Department of Youth and Community Development (DYCD)
2026-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-12-31T00:00:00.000,Equal Employment Practices Commission (EEPC)
2025-10-31T00:00:00.000,Independent Budget Office (IBO)
2025-10-31T00:00:00.000,Department of City Planning (DCP)
2026-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-10-31T00:00:00.000,Brooklyn Borough President (BPBK)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2025-12-31T00:00:00.000,Department of Social Services (DSS) - Department of Homeless Services (DHS)
2025-10-31T00:00:00.000,Office of Labor Relations (OLR)
2026-01-31T00:00:00.000,Police Department (NYPD)
2025-12-31T00:00:00.000,Department of Social Services (DSS) - Department of Homeless Services (DHS)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2025-10-31T00:00:00.000,Mayor's Office of Contract Services (MOCS)
2025-10-31T00:00:00.000,Mayor's Office of Contract Services (MOCS)
2028-12-31T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-10-31T00:00:00.000,Department of Correction (DOC)
2025-10-31T00:00:00.000,Brooklyn Borough President (BPBK)
2027-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2028-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-12-31T00:00:00.000,Department of Citywide Administrative Services (DCAS)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2025-12-31T00:00:00.000,Department of Buildings (DOB)
2026-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2026-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-12-31T00:00:00.000,Department of Environmental Protection (DEP)
2026-12-31T00:00:00.000,Department of Parks and Recreation (DPR)
2026-06-30T00:00:00.000,Department of Finance (DOF)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2025-12-31T00:00:00.000,Department of Parks and Recreation (DPR)
2026-12-31T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-12-31T00:00:00.000,Mayor's Office for People with Disabilities (MOPD)
2027-06-30T00:00:00.000,Department of Health and Mental Hygiene (DOHMH)
2025-12-31T00:00:00.000,Department of Correction (DOC)
2026-03-31T00:00:00.000,Mayor's Office of Immigrant Affairs (MOIA)
2026-06-30T00:00:00.000,Taxi and Limousine Commission (TLC)
2025-12-31T00:00:00.000,Equal Employment Practices Commission (EEPC)
2025-10-31T00:00:00.000,Mayor's Office of Contract Services (MOCS)
2025-12-31T00:00:00.000,Department of City Planning (DCP)
2026-05-31T00:00:00.000,NYC Emergency Management (NYCEM)
2025-10-31T00:00:00.000,Brooklyn Borough President (BPBK)
2026-12-31T00:00:00.000,Department of Parks and Recreation (DPR)
2025-12-31T00:00:00.000,Queens Borough President (QBP)
