cy,dataset
2025,Electric vehicles in the citywide fleet
2025,Employee Health Plan Rates
2025,Electric Vehicle (EV) Charging Stations
2025,Accidents involving the public in DCAS-managed properties
2025,Release Levels
2025,U and T Visa Certification Requests Processed
2025,Performance Evaluations
2025,Community Board Appointments
2025,HHC Events Table
2025,Name and Address
2025,Local Law 28
2025,For-Hire Vehicle Initial Inspection Schedule
2025,Supermarket Discounts
2025,Drowning Deaths at Permitted NYC Beaches
2025,Building Auditing Report
2025,SYEP Participant Data
2025,MFV commissary  inspections
2025,Local Law 13 of 2019  Report
2025,NYC IBO Expense Adjustments
2025,Greater Transit Zone
2025,COVID-19 Data by Neighborhood
2025,Community Affairs Reporting Sheet
2025,NYS DMV Revoked Suspended Drivers Licenses
2025,Local Law 95 of 2023 Quarterly LGBTQ homeless receiving DHS/DYCD services
2025,Retiree Health Plan Rates
2025,Consent to Search Reports
2025,Local Law 34 of 2024 Quarterly Interagency Reporting on Encampment Cleanups and Aided Removals
2025,Current Paratransit Vehicles
2025,Current Related Entities Report
2025,PASSPort contracts
2025,Child care sites
2025,DOC Work Release
2025,BP Appointments - DYCD Neighborhood Advisory Board (NABs)
2025,Transportation-related Injuries
2025,NYC Infectious Syphilis Cases
2025,Workforce Profile Report
2025,Current Insurance
2025,DOB NOW: Licensing
2025,COVID-19 Vaccines
2025,Farm Box Discounts
2025,Mold Post Remediation Assessment Form & Certification Submissions
2025,Forest Restoration Treatment Tracking
2025,Recorded Leaseholds (RPTT)
2025,Current Unaffiliated Vehicles
2025,NYC Parks Volunteer Directory
2025,Sexual Health Services
2025,NYC Digital Accessibility Report
2025,Active Hookah Permits in NYC
2025,Drug Contraband Recovered
2025,Immigration Legal Support Hotline
2025,Medallion Transfers Prices
2025,EEPC Jurisdiction - Audit Reports
2025,Complete Entity Summary Report
2025,Base Flood Elevation - 2015 PFIRMS (Elevation Above Grade)
2025,NYC Cooling Centers
2025,BP Appointments - Community Education Councils (CECs)
2025,Let's Green NYC
2025,Capital Grant Awards
2025,Smoking and Vaping
2025,Punitive Segregation Report
2025,Natality and Mortality Microdatasets
2025,Local Law 115 of 2017 Report on Mental Health Services in Shelters
2025,Inspections - Elevator
2025,COVID-19 death data
2025,PASSPort Local Law 18 of 2012 contracts
2025,Discretionary Grant Awards
2025,Businesses Engagement and Outreach Events
2025,Hepatitis
2025,Headcount report
2025,Meeting Requests
2025,Retroactivity
2025,Short-Term Rental Prohibited Buildings List
2025,Local Law 57 - Shelter Census Information
2025,Principals Report
2025,Local Law 26 Report on Children in Shelter
2025,Vital Parks Area Stats
2025,Current Paratransit Bases
2025,BIS Lookup Tables
2025,Building Profiles: Inspections
2025,Local Law 143 of 2021: Annual Report on Emergency and Non-Emergency Transfers from DHS Shelters
2025,Competitive Sealed Proposals Cycle Time
2025,Mold Remediation Work Plan & Notification Form Submissions
2025,Current Taxicab Brokers
2025,Dining Out NYC Locations
2025,HHS Timeliness
2025,COVID Rates by Vaccination Status
2025,EEPC Meetings
2025,NYC Immunization Data
2025,NYC HRA CAPS Local Law 3 Reporting On Coordinated Assessment And Placement System
2025,Limit of Moderate Wave Action (LiMWA) - 2015 PFIRMs
2025,Use of Force Incidents
2025,English Learning & Support Centers
2025,CCHR Inquiries
2025,LGBTQ Health Services
2025,STD Case Data
2025,Citi Bike Data
2025,List of Partition Installers and Camera Installation Facilities
2025,Local Law 97 Report on Pets Whose Owners Enter Homeless Shelters
2025,NYC Department of Health Correspondence
2025,Influenza data
2025,Community Board Demographics
2025,MOIA Constituency Services
2025,Childcare programs
2025,Immigrant Welcome Center Case Management Report
2025,Gas Certification
2025,Local Law 4 of 2012: Foreclosure Notification Quarterly Report
2025,List of Installers for Partitions
2025,Future Floodplain 2100 (100 yr)
2025,Current Commuter Van Authorizations
2025,Supplemental Homicide Report
2025,SADC/SC ( Senior Adult Day Care/Senior Centers ) Inspections
2025,Parks Correspondence to Office of the Commissioner
2025,PASSPort solicitations
2025,NYC Restaurant Permits
2025,Future flood risk maps
2025,Mobile Food Vending Inspections
2025,Polio Vaccination data
2025,Authorized Meter Manufacturers
2025,Supermarket Needs Index (SNI)
2025,Syndromic Surveillance Data
2025,Dental Services
2025,Childhood at risk blood lead level data
2025,M/WBE Disparity Within Disparity
2025,NYC Congenital Syphilis Cases
2025,Person in Custody Infractions
2025,Juvenile  Rearrest Rate (cumulative)
2025,Self-Closing Door Proactive Inspection Buildings
2025,Transit Zones
2025,Forestry Permits and Plan Review
2025,2023 NYC Housing Vacancy Survey (NYCHVS)
2025,Other Names Report
2025,Mobile Food Vending Waiting Lists
2025,Required Items
2025,Grievances
2025,Rent Freeze Program Report
2025,Local Law 114 of 2017 Report on Medical Health Services in Shelters
2025,NYC Disability Service Facilitators Contact Information
2025,Abandoned Parcels
2025,Number of nightlife organizations who have requested a Narcan kit
2025,"Census Block Equivalency, 1990 to 2000 NYC"
2025,Current Medallion Agents
2025,Natural Area Management Tracking
2025,Press Cards
2025,Nursery Report
2025,School Safety
2025,Housing Connect Lotteries
2025,Complete Report of Accounts (surplus funds)
2025,Drug and Alcohol Services
2025,EEPC Annual Reports
2025,Transportation And Walkability Rankings for Queens Community Districts
2025,Land use items
2025,Current Commuter Vans
2025,Uniform Staff Discipline Report
2025,List of OACs that serve Kosher and/or Halal meals
2025,Tuberculosis
2025,7A Administrator Program
2025,Green Fast Track Lots
2025,Updated list of all licensed restaurants
2025,Vaccines
2025,Local Law 171 of 2018—PA/PTA Fundraising Report
2025,Patterns of Attrition and Retention in the Build it Back Program
2025,Sexual Abuse and Sexual Harassment Report
2025,Appointments
2025,"NYC Active ""Smoke-Free Air Act"" Registrations"
2025,Car Seat Provider List
2025,Know Your Rights Workshops (KYR)
2025,NYC IBO Tax & Revenue Forecast
2025,Local Law 225 of 2017: DSS Resident Training Plan
2025,Capital Projects
2025,Complaint Data on unsafe construction practices in common areas
2025,Cable Franchisee Pedestal Requests
2025,Elevator Device Lookup
2025,Working Horse Licenses
2025,Returnable Grant Fund
2025,Adult Rearrest Rate (cumulative)
2025,Board Member Votes
2025,MOIA Legal Support Centers
2025,Office Legislation -Passed
2025,BP Appointments - Solid Waste Advisory (SWAB)
2025,Tow Report
2025,Programs Report
2025,Future Floodplain 2080 (100 yr)
2025,Short-Term Rental Registrations
2025,DYFJ Quarterly Headcount Report to City Council
2025,Mobile Food Vendor Supervisory Waitlist
2025,Historical Property Master Data with Remissions
2025,Notice of Property Value (NOPV)
2025,EEPC Symposium 2024
2025,Weapon Contraband Recovered
2025,Performance Evaluation Report
2025,NYC 2020 Census Data
2025,Archives Assessment Rolls [Years 1993 to 2008]
2025,Local Law 4 of 2012: Foreclosure Notification Monthly Report
2025,LockerNYC Reservations
2025,PASSport vendors
2025,Parking Structures
2025,FY 2022 and 2023 Capital Allocations
2025,Number of apiaries
2025,421-a (1-15) Report
2025,Mentally Ill Incarcerated Individuals and Recidivism Report
