gispropnum,borough,features_1,scooter_pe
Q373,Q,Bank Ramp,
Q099,Q,Handrail,Yes
X179,X,,
B219,B,,
Q004,Q,Ledge,
X104,X,Quarter Pipe,
B057,B,Funbox,
R008,R,,
M071,M,Half-Pipe,
B131,B,,
R046,R,Funbox,Yes
B145,B,Ledge,
B066,B,Bowl/Pool,
X092,X,,
B268,B,,
Q510,Q,,
M047,M,,
B096,B,,
B008,B,,
X034,X,Funbox,
Q015,Q,Funbox,Yes
B118A,B,Half-Pipe,
X002,X,Quarter Pipe,
X348,X,Funbox,Yes
X138,X,,
Q163,Q,Half-Pipe,
B548,B,,
B018,B,Ledge,
B127,B,Ledge,
X183,X,Funbox,
Q108,Q,,
M019,M,Funbox,
B111A,B,Funbox,
B141,B,Bank Ramp,
Q162J,Q,Ledge,Yes
B025,B,,
Q007,Q,Funbox,
Q128,Q,Funbox,Yes
B243,B,,
B012,B,,
B380,B,Quarter Pipe,
B058,B,Handrail,No
X148C7,X,,
M037,M,Bank Ramp,
