the_geom,elevation,status,sub_code
"{'type': 'Point', 'coordinates': [-73.92520340491374, 40.61957070088203]}",43.04,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92839435852474, 40.61957877076688]}",29.94,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93110338493209, 40.6195894296732]}",45.64,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91281393265947, 40.619614699394425]}",38.95,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91921685285261, 40.619590495672696]}",11.74436978,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92809812237206, 40.695022304175694]}",55.01399999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91849967411798, 40.61965246669666]}",36.21,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9311018111284, 40.619648633467826]}",44.71,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.853121237949, 40.661770118358625]}",9.19951919,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92330770475931, 40.61961819881657]}",42.96,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.89355118991288, 40.69499553579667]}",101.721989942,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94321980918922, 40.674835477637956]}",74.8286292976,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93781351752949, 40.61965210979947]}",18.24349999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9159356731005, 40.61963132666971]}",9.54084999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92839186500831, 40.61965361960122]}",29.18,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91269412613188, 40.619615569324225]}",37.17,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.90353571610491, 40.61955602693216]}",6.34210302,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91879521343714, 40.61963395671476]}",36.13,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85309722431055, 40.672674320058825]}",14.79272007,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.86343221019402, 40.69496373763518]}",79.4097,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9178127190981, 40.6950154187453]}",30.2451,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90692161692199, 40.6196283321978]}",31.66,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.90727521845773, 40.69500741127859]}",66.50149999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85312350497581, 40.660740513529205]}",8.5196,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93788860456802, 40.61959933935604]}",18.24524999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.87602064736615, 40.69497798612687]}",132.65219999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93253968250318, 40.61963282570821]}",40.38,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92865265777283, 40.619577866952525]}",46.32579513,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85311681235666, 40.66377997673219]}",9.93155023,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90383382983599, 40.61959312782365]}",34.59,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92717813737957, 40.69502172573589]}",55.69509999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92769291108245, 40.61962109563543]}",36.27,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.86678508294865, 40.6949676674261]}",109.00999999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9213273104422, 40.695017874927196]}",43.4977,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90344973142156, 40.61955595474766]}",6.3436712,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91299762443602, 40.61959938562387]}",39.1,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92869301893482, 40.61963813413444]}",43.59,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94321003120652, 40.68631855051778]}",59.5365710259,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94034997201862, 40.61961795719013]}",51.24,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91287699330118, 40.61959643961296]}",38.93,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9223818679258, 40.619638026456975]}",41.66,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91887094446557, 40.619651961168465]}",34.78,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91167670985185, 40.695010873314374]}",52.20089999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85310136501214, 40.6707943503509]}",14.6477,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85312589664038, 40.659654267967774]}",7.2483,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.8758659180843, 40.69497781934036]}",132.683,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91041694814439, 40.619544105311405]}",8.0133,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92849789516139, 40.61960205604107]}",29.76,Unchanged,302000
