shape_leng,shape_area,status
73.8242384386,281.699489684,Unchanged
83.5558467706,356.672867822,Updated
213.959481731,1656.02377364,Updated
1328.30655744,21341.7593978,Updated
1482.72718117,6840.91421345,Unchanged
365.6849774,7396.93115249,Updated
209.60694875,788.179314789,Updated
516.992055095,6145.25224908,Unchanged
230.181881678,3300.76890448,Updated
155.041051297,1500.54100468,Unchanged
120.13741581,605.771674525,Updated
236.497791946,2023.73600132,Updated
37.7557525069,65.110260648,Updated
534.288361831,10193.2332637,Unchanged
2066.82347012,25815.8549768,New
467.680487374,2684.68474348,Unchanged
316.661599183,2399.68242405,Updated
90.5977568029,193.895678353,Updated
295.892270745,3371.67601284,Unchanged
915.703927573,12690.8728991,Unchanged
775.019650645,10141.7137496,Unchanged
523.705381663,7594.30527929,Unchanged
371.105047701,1053.09590953,Updated
176.014703062,1482.57203993,Updated
410.775052894,6579.02872797,Updated
132.306675232,1078.96476358,Updated
349.948070582,5483.5006169,Unchanged
101.342285815,126.443868839,Updated
252.0195668,1353.59605484,Updated
9835.87351222,127718.071957,Updated
98.1411924459,399.718221951,Unchanged
86.9214511915,347.97194569,Unchanged
190.487945277,964.053818152,Updated
80.1146614748,281.222205237,Updated
1264.54444633,9007.46009688,Unchanged
271.481888024,2421.44107724,Updated
589.476159669,9339.08802182,Updated
231.522851589,2832.95775611,Updated
225.306675029,900.276805343,Updated
212.932993389,677.069751204,Updated
378.638351751,3293.67829806,Updated
391.211943625,5421.33142541,Updated
130.888976621,1062.38459481,Updated
179.665428392,2005.00980186,Unchanged
283.374278754,2890.39181545,Unchanged
41.6282054782,21.702056268,Updated
911.975750922,14523.8010164,Updated
342.993395341,6825.74695185,Updated
344.377168426,996.288150084,Updated
562.21823751,10227.1737102,Unchanged
312.703398398,4577.45932185,Updated
2133.51692619,43086.1426385,Updated
3476.29405581,76506.0562899,Updated
438.716396527,3150.30107049,Unchanged
98.0085969925,497.648695429,Updated
543.564084555,8514.22669172,Updated
104.214458994,368.193989342,Unchanged
170.525796826,540.894173497,Updated
126.134320964,724.062021235,Unchanged
181.911964609,2060.43375748,Updated
129.366106152,673.56457497,Updated
7.48319085118,1.7961190347,Unchanged
34.3164830236,1.86726382376,Updated
120.353921942,420.632527648,Updated
549.973060406,10150.3788036,Unchanged
261.77768918,1654.64303381,New
561.89914174,8987.09459945,Unchanged
286.657157439,2675.5577381,Unchanged
194.497484695,1210.82393922,Updated
178.018953595,1969.01723073,Unchanged
93.2178065208,196.681641075,Updated
304.111724506,4815.42643424,Updated
219.424259648,756.127545388,Updated
1449.21249987,12826.6332338,Updated
156.017709402,1517.8804479,Unchanged
591.397178623,11329.6601911,Updated
202.836215397,1648.11170817,Updated
96.9000377694,432.680722508,Updated
516.910533165,7255.05888912,Unchanged
386.410673618,3626.53845131,Unchanged
154.900872365,494.889175473,Updated
345.746914855,3015.56396222,Updated
258.366192995,3161.80947862,Updated
225.37838397,941.411986142,Updated
367.721935082,2426.59596159,New
175.860504583,460.170314493,Updated
48.7057886591,139.210556673,Updated
338.954141482,3365.06999992,Updated
197.312624226,741.733250239,Updated
269.238156389,4221.42892571,Updated
131.160023377,617.246928689,Updated
138.544799234,302.729235465,Updated
162.095898962,833.668088484,Updated
239.379246716,3464.29058412,Unchanged
121.752129218,751.59403898,Unchanged
161.396222582,469.398604165,Updated
161.280288302,291.230290012,Updated
213.538951129,305.987863431,Updated
73.4515199503,306.633161553,Unchanged
193.542419719,2163.35737709,Updated
422.98482081,8454.95781655,Updated
1017.28884704,6785.55272465,Updated
119.022118653,765.151322916,Unchanged
125.369269745,455.580035621,Updated
158.380785531,495.871810209,Updated
