jogger,cyc_helmet_greenwy,cycfemale_greenwy,cyclists_male,rllrbld_scootr
1333,1359.0,,,57.0
704,1504.0,731.0,1453.0,25.0
1757,1626.0,804.0,2087.0,60.0
1853,1715.0,1008.0,2128.0,129.0
122,22.0,,,9.0
1650,2018.0,1041.0,2705.0,85.0
362,1055.0,,,59.0
465,53.0,,,4.0
542,684.0,,,67.0
382,54.0,,,3.0
498,133.0,,,17.0
573,1282.0,608.0,1283.0,38.0
461,84.0,41.0,139.0,9.0
605,1410.0,529.0,1502.0,28.0
767,1237.0,478.0,1285.0,15.0
262,604.0,,,101.0
381,126.0,,,16.0
398,70.0,,,1.0
563,179.0,91.0,206.0,7.0
484,143.0,87.0,166.0,9.0
1211,184.0,,,22.0
488,121.0,66.0,131.0,2.0
785,1235.5,312.0,779.0,34.5
597,750.75,,,95.0
728,246.0,,,10.0
1403,1414.0,780.0,1583.0,78.0
502,117.0,,,11.0
1014,1673.0,,,99.0
932,190.0,,,6.0
507,848.0,,,34.0
112,776.0,,,13.0
1370,1531.0,,,93.0
1190,1052.0,,,103.0
1065,103.0,,,19.0
89,694.0,218.0,773.0,8.0
1395,240.0,157.0,777.0,35.0
1490,2140.0,1212.0,2675.0,66.0
470,213.0,107.0,231.0,14.0
576,1232.0,,,23.0
243,843.0,,,71.0
1670,173.0,118.0,474.0,16.0
137,15.0,,,6.0
594,121.0,58.0,165.0,4.0
557,1434.0,502.0,1564.0,25.0
508,107.0,51.0,144.0,2.0
61,296.0,,,11.0
2166,1534.0,,,315.0
62,221.0,,,8.0
1407,204.0,105.0,847.0,54.0
646,155.0,,,20.0
111,648.0,,,18.0
64,691.0,220.0,771.0,4.0
1317,144.0,84.0,378.0,35.0
1415,1604.0,,,219.0
478,1000.0,,,70.0
665,1089.0,414.0,1103.0,27.0
412,460.0,,,36.0
51,294.0,,,5.0
440,779.0,,,28.0
467,979.0,,,15.0
1010,927.0,,,113.0
388,989.0,,,32.0
1796,1117.0,,,73.0
404,741.0,,,36.0
1444,1261.0,782.0,1713.0,64.0
1600,216.0,124.0,675.0,25.0
113,730.0,250.0,811.0,5.0
1356,85.0,56.0,453.0,25.0
853,1037.0,,,106.0
537,145.0,,,19.0
493,86.0,33.0,136.0,1.0
320,518.0,,,17.0
1255,1138.0,,,77.0
90,739.0,232.0,818.0,7.0
1837,1363.0,,,113.0
1894,1231.0,838.0,1531.0,68.0
121,430.0,,,14.0
552,55.0,,,1.0
414,204.0,,,10.0
383,99.0,,,8.0
343,114.0,,,6.0
865,1258.0,524.0,1224.0,17.0
386,702.0,,,14.0
364,703.0,,,35.0
629,185.0,,,12.0
1561,1543.0,661.0,1703.0,52.0
1411,155.0,96.0,444.0,24.0
417,56.0,,,2.0
828,98.0,68.0,300.0,24.0
