cyclists_all,cyc_greenway_only,location
2143.0,2136,Route 9A at 11th St.
2184.0,2184,Route 9A Greenway at 80th St.
2912.0,2826,Route 9A at 11th St.
3139.0,3120,Route 9A at 11th St.
120.0,120,East River Greenway at E90th St.
3749.0,3738,Route 9A at 11th St.
1780.0,1780,Route 9A at 11th St.
120.0,120,East River Greenway at E90th St.
1244.0,1244,Route 9A Greenway at 80th St.
125.0,125,East River Greenway at E90th St.
426.0,426,East River at E Houston St.
1891.0,1891,Route 9A Greenway at 80th St.
180.0,180,East River Greenway at E90th St.
2031.0,2031,Route 9A Greenway at 80th St.
1763.0,1763,Route 9A Greenway at 80th St.
1239.0,1239,Route 9A at 11th St.
239.0,239,East River Greenway at E90th St.
161.0,161,East River Greenway at E90th St.
297.0,297,East River Greenway at E90th St.
253.0,253,East River Greenway at E90th St.
499.0,284,East River at E Houston St.
197.0,197,East River Greenway at E90th St.
1802.5,1802,Route 9A Greenway at 80th St.
1395.0,1395,Route 9A Greenway at 80th St.
460.0,460,East River at E Houston St.
2365.0,2350,Route 9A at 11th St.
315.0,315,East River at E Houston St.
2588.0,2588,Route 9A Greenway at 80th St.
474.0,474,East River Greenway at E90th St.
1174.0,1174,Route 9A Greenway at 80th St.
1171.0,1171,Route 9A Greenway at 125th St.
2546.0,2531,Route 9A at 11th St.
1961.0,1947,Route 9A at 11th St.
444.0,215,East River at E Houston St.
991.0,991,Route 9A Greenway at 125th St.
1052.0,557,East River at E Houston St.
3891.0,3875,Route 9A at 11th St.
338.0,338,East River Greenway at E90th St.
1841.0,1841,Route 9A Greenway at 80th St.
1357.0,1357,Route 9A at 11th St.
685.0,388,East River at E Houston St.
79.0,79,East River Greenway at E90th St.
223.0,223,East River Greenway at E90th St.
2066.0,2066,Route 9A Greenway at 80th St.
195.0,195,East River Greenway at E90th St.
595.0,595,Route 9A Greenway at 125th St.
3292.0,3292,Route 9A at 11th St.
346.0,346,Route 9A Greenway at 125th St.
1098.0,502,East River at E Houston St.
197.0,197,East River Greenway at E90th St.
926.0,926,Route 9A Greenway at 125th St.
991.0,991,Route 9A Greenway at 125th St.
551.0,281,East River at E Houston St.
2982.0,2977,Route 9A at 11th St.
1944.0,1944,Route 9A Greenway at 80th St.
1517.0,1517,Route 9A Greenway at 80th St.
715.0,715,East River at E Houston St.
436.0,436,Route 9A Greenway at 125th St.
1247.0,1247,Route 9A Greenway at 80th St.
1456.0,1456,Route 9A Greenway at 80th St.
1304.0,1304,Route 9A at 11th St.
1733.0,1733,Route 9A Greenway at 80th St.
1992.0,1984,Route 9A at 11th St.
1222.0,1222,Route 9A Greenway at 80th St.
2509.0,2476,Route 9A at 11th St.
920.0,495,East River at E Houston St.
1061.0,1061,Route 9A Greenway at 125th St.
631.0,210,East River at E Houston St.
1881.0,1881,Route 9A Greenway at 80th St.
377.0,377,East River at E Houston St.
169.0,169,East River Greenway at E90th St.
863.0,863,Route 9A Greenway at 80th St.
2008.0,1985,Route 9A at 11th St.
1050.0,1050,Route 9A Greenway at 125th St.
2212.0,2185,Route 9A at 11th St.
2374.0,2351,Route 9A at 11th St.
651.0,651,Route 9A Greenway at 125th St.
128.0,128,East River Greenway at E90th St.
357.0,357,East River at E Houston St.
175.0,175,East River Greenway at E90th St.
205.0,205,East River Greenway at E90th St.
1748.0,1748,Route 9A Greenway at 80th St.
1239.0,1239,Route 9A Greenway at 80th St.
1292.0,1292,Route 9A Greenway at 80th St.
451.0,451,East River at E Houston St.
2364.0,2363,Route 9A at 11th St.
650.0,271,East River at E Houston St.
108.0,108,East River Greenway at E90th St.
454.0,218,East River at E Houston St.
