recreation_unit,map,acres,status
East Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Brook.pdf'},73.1,Open
Ashokan Day Use Area,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Ashokan_Day_Use_Area.pdf'},54.73,Open
Chipmunk Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Chipmunk_Hollow.pdf'},101.79,Open
Covered Bridge,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Covered_Bridge.pdf'},21.82,Open
Cross River Outlet,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cross_River_Outlet.pdf'},60.43,Open
East Branch Outlet,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Branch_Outlet.pdf'},125.64,Open
Case Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Case_Road.pdf'},314.03,Open
Hawk Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hawk_Hollow.pdf'},42.86,Open
Bungalow Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bungalow_Brook.pdf'},41.73,Open
Buffalo Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Buffalo_Hollow.pdf'},346.32,Open
Brower Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Brower_Hill.pdf'},99.45,Open
Dean Pond,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dean_Pond.pdf'},198.31,Open
Allaben,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Allaben.pdf'},15.16,Open
Diamond Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Diamond_Road.pdf'},146.34,Open
Griffin Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Griffin_Hill.pdf'},141.9,Open
Campbell Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Campbell_Road.pdf'},244.62,Open
Carriage House,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Carriage_House.pdf'},98.29,Open
