lastmodifi,county,town
2020-09-18T09:46:00.000,Delaware,Andes
2014-12-10T15:07:00.000,Delaware,Hamden
2023-10-25T12:04:00.000,Schoharie,Conesville
2023-05-15T12:27:00.000,Delaware,Delhi
2020-09-10T15:14:00.000,Greene,Prattsville
2017-03-30T11:34:00.000,Greene,Prattsville
2024-09-17T09:37:00.000,Putnam,Kent
,Ulster,Shandaken
2020-07-29T14:01:00.000,Delaware,Andes
2020-07-08T09:26:00.000,Delaware,Kortright
2024-03-01T11:34:00.000,Delaware,Andes
,Greene,Ashland
2015-12-08T10:00:00.000,Greene,Windham
2023-05-15T11:34:00.000,Delaware,Walton
2020-12-01T09:28:00.000,Delaware,Middletown
,Greene,Windham
2016-12-29T14:05:00.000,Greene,Halcott
2023-11-24T09:27:00.000,Putnam,Kent
2015-01-06T11:50:00.000,Schoharie,Conesville
2019-12-06T12:25:00.000,Westchester,Bedford
2016-09-15T16:23:00.000,Sullivan,Neversink
2020-08-14T10:43:00.000,Delaware,Roxbury
2017-05-17T15:23:00.000,Ulster,Wawarsing
2020-04-29T00:00:00.000,Ulster,Shandaken
2019-12-06T12:26:00.000,Putnam,Kent
2023-07-24T14:03:00.000,Delaware,Roxbury
,Delaware,Andes
2023-07-12T13:48:00.000,Greene,Prattsville
2017-09-28T12:32:00.000,Delaware,Colchester
2018-01-02T12:09:00.000,Ulster,Denning
2017-05-17T15:21:00.000,Putnam,Southeast
2024-02-06T10:27:00.000,Putnam,Carmel
2020-07-08T09:24:00.000,Delaware,Andes
,Sullivan,Neversink
2017-05-17T16:02:00.000,Ulster,Shandaken
2024-09-10T14:26:00.000,Delaware,Middletown
2017-05-17T15:10:00.000,Westchester,Bedford
,Ulster,Wawarsing
2023-08-02T11:22:00.000,Ulster,Hurley
2018-03-12T11:09:00.000,Ulster,Olive
2023-10-19T11:52:00.000,Delaware,Hamden
2023-11-24T11:01:00.000,Greene,Prattsville
,Greene,Jewett
2023-10-02T10:05:00.000,Delaware,Andes
,Delaware,Roxbury
2025-01-06T10:59:00.000,Delaware,Andes
2020-11-02T10:45:00.000,Delaware,Meredith
,Delaware,Hancock
2017-05-10T11:25:00.000,Sullivan,Neversink
2017-09-28T12:32:00.000,Schoharie,Conesville
2018-07-18T09:38:00.000,Delaware,Middletown
2024-01-26T11:37:00.000,Delaware,Tompkins
2017-05-17T15:24:00.000,Delaware,Tompkins
2017-05-10T11:22:00.000,Westchester,North Castle
2020-07-29T14:03:00.000,Delaware,Delhi
,Delaware,Walton
2020-07-08T09:17:00.000,Delaware,Kortright
2024-01-26T11:35:00.000,Delaware,Middletown
2020-10-07T13:16:00.000,Delaware,Roxbury
,Schoharie,Gilboa
2020-10-28T13:11:00.000,Delaware,Colchester
2019-08-09T10:08:00.000,Delaware,Bovina
,Delaware,Delhi
2020-10-08T14:39:00.000,Dutchess,East Fishkill
2021-09-08T12:02:00.000,Delaware,Middletown
2017-05-17T15:11:00.000,Putnam,Carmel
2018-11-19T10:29:00.000,Delaware,Bovina
2017-05-17T15:24:00.000,Delaware,Hamden
2019-08-09T11:22:00.000,Schoharie,Conesville
,Greene,Hunter
2019-07-10T09:22:00.000,Greene,Hunter
2020-09-18T09:44:00.000,Delaware,Stamford
2023-12-12T13:26:00.000,Delaware,Middletown
2020-10-13T13:44:00.000,Delaware,Delhi
,Greene,Ashland
,Delaware,Andes
2017-05-17T16:02:00.000,Delaware,Delhi
2015-06-19T09:42:00.000,Delaware,Middletown
2020-09-10T15:18:00.000,Delaware,Roxbury
2020-10-28T00:00:00.000,Delaware,Bovina
2023-11-17T13:26:00.000,Delaware,Tompkins
2019-09-05T11:52:00.000,Greene,Ashland
2017-10-26T10:20:00.000,Ulster,Olive
2020-09-18T09:48:00.000,Delaware,Roxbury
2017-05-17T15:12:00.000,Ulster,Denning
2020-09-18T08:50:00.000,Delaware,Roxbury
,Greene,Hunter
,Delaware,Walton
,Greene,Halcott
2018-04-06T08:33:00.000,Greene,Hunter
2017-09-28T12:32:00.000,Delaware,Walton
,Greene,Jewett
2023-05-16T09:10:00.000,Delaware,Andes
2017-09-28T12:32:00.000,Delaware,Hamden
2017-05-17T15:08:00.000,Delaware,Delhi
,Delaware,Masonville
2023-05-16T13:50:00.000,Delaware,Hamden
2023-12-12T13:25:00.000,Greene,Lexington
2023-05-16T10:17:00.000,Delaware,Meredith
2017-05-17T16:01:00.000,Putnam,Kent
,Greene,Lexington
2020-07-29T14:05:00.000,Delaware,Walton
2024-09-09T13:05:00.000,Putnam,Southeast
2022-12-14T10:47:00.000,Ulster,Shandaken
2018-03-12T11:08:00.000,Ulster,Olive
2020-10-08T00:00:00.000,Greene,Windham
2024-02-15T15:48:00.000,Putnam,Kent
2017-06-09T08:57:00.000,Greene,Windham
2024-08-14T12:40:00.000,Delaware,Bovina
2020-10-13T14:47:00.000,Delaware,Bovina
,Delaware,Colchester
,Putnam,Carmel
2020-08-14T10:47:00.000,Delaware,Roxbury
2015-06-24T15:04:00.000,Greene,Windham
2015-11-23T09:54:00.000,Delaware,Franklin
2017-09-28T12:32:00.000,Ulster,Olive
2019-07-17T15:18:00.000,Greene,Windham
,Delaware,Tompkins
2023-10-02T14:13:00.000,Delaware,Hamden
2024-08-20T07:37:00.000,Greene,Halcott
,Ulster,Olive
,Ulster,Olive
2022-12-06T10:06:00.000,Sullivan,Neversink
2020-09-18T09:50:00.000,Delaware,Middletown
2017-09-28T12:32:00.000,Delaware,Franklin
2017-05-17T15:21:00.000,Putnam,Southeast
2016-12-02T16:35:00.000,Greene,Halcott
2017-05-10T11:25:00.000,Delaware,Tompkins
2021-10-15T09:53:00.000,Delaware,Kortright
,Delaware,Tompkins
2020-11-02T10:43:00.000,Sullivan,Neversink
2018-07-11T08:57:00.000,Greene,Lexington
2024-09-16T09:45:00.000,Schoharie,Conesville
,Delaware,Colchester
2016-03-16T11:50:00.000,Ulster,Olive
2021-10-05T00:00:00.000,Greene,Prattsville
2017-05-17T16:03:00.000,Ulster,Woodstock
2024-08-27T12:34:00.000,Putnam,Kent
,Schoharie,Conesville
2023-07-14T09:25:00.000,Greene,Jewett
2021-09-22T15:01:00.000,Ulster,Shandaken
,Delaware,Bovina
,Delaware,Delhi
2024-09-09T13:04:00.000,Westchester,Somers
2016-11-16T14:02:00.000,Delaware,Walton
2023-10-02T11:32:00.000,Greene,Ashland
,Delaware,Delhi
,Sullivan,Neversink
2020-07-20T09:11:00.000,Delaware,Tompkins
2017-05-10T11:17:00.000,Westchester,Somers
2023-10-02T13:35:00.000,Delaware,Roxbury
2021-03-18T12:28:00.000,Ulster,Olive
2021-09-08T11:51:00.000,Sullivan,Neversink
2018-03-12T11:13:00.000,Sullivan,Neversink
2022-01-05T10:43:00.000,Schoharie,Conesville
2020-04-08T00:00:00.000,Delaware,Middletown
2023-11-20T09:44:00.000,Delaware,Masonville
2017-09-06T09:40:00.000,Westchester,Bedford
2024-02-06T10:30:00.000,Dutchess,East Fishkill
2017-05-10T11:23:00.000,Ulster,Hurley
,Delaware,Walton
,Delaware,Kortright
2017-05-17T15:09:00.000,Delaware,Middletown
2024-09-10T12:52:00.000,Delaware,Masonville
2024-03-01T11:22:00.000,Delaware,Andes
2019-12-06T11:55:00.000,Westchester,Somers
,Ulster,Shandaken
2024-02-06T10:11:00.000,Delaware,Stamford
2024-02-23T09:35:00.000,Putnam,Southeast
2023-12-01T10:55:00.000,Putnam,Carmel
2020-05-01T10:33:00.000,Delaware,Middletown
2016-02-02T16:23:00.000,Delaware,Delhi
2020-07-20T09:15:00.000,Delaware,Delhi
2023-05-26T07:43:00.000,Putnam,Kent
2024-09-11T08:55:00.000,Delaware,Andes
,Ulster,Wawarsing
2022-08-25T12:03:00.000,Sullivan,Neversink
2015-04-06T11:33:00.000,Westchester,Somers
2017-05-10T11:24:00.000,Delaware,Middletown
,Greene,Prattsville
2024-08-27T12:34:00.000,Putnam,Kent
2024-09-19T09:27:00.000,Schoharie,Conesville
2023-08-02T11:33:00.000,Schoharie,Conesville
2024-02-16T08:24:00.000,Delaware,Delhi
,Ulster,Hurley
,Delaware,Stamford
2017-05-17T16:01:00.000,Putnam,Southeast
2017-05-17T16:07:00.000,Ulster,Olive
2020-08-21T09:35:00.000,Delaware,Meredith
2015-11-24T10:11:00.000,Delaware,Tompkins
2025-01-09T12:57:00.000,Delaware,Delhi
2016-11-21T16:01:00.000,Delaware,Andes
2015-07-16T13:26:00.000,Ulster,Olive
2023-05-16T14:21:00.000,Delaware,Andes
,Ulster,Shandaken
2023-10-13T07:34:00.000,Greene,Jewett
2024-02-16T08:22:00.000,Delaware,Middletown
2017-05-10T11:20:00.000,Ulster,Woodstock
,Greene,Ashland
2020-10-13T13:46:00.000,Delaware,Middletown
