agep,lanx,totalworkhrs_pu,nycgov_income,ten,famtype_pu,rel,wkhp,ssip_adj
32,2.0,3,48371.6665409768,3,1,1,0,0.0
27,2.0,2,25380.8645762176,3,1,1,0,0.0
31,2.0,3,38080.38682965,3,8,0,45,0.0
32,2.0,3,64869.876963,1,1,0,0,0.0
29,2.0,2,25380.8645762176,3,1,0,47,0.0
82,1.0,3,58171.944807828,3,6,6,0,0.0
59,1.0,5,25093.9025964745,3,8,0,0,0.0
31,2.0,1,72346.587308694,3,1,9,40,0.0
0,,3,48371.6665409768,3,1,2,0,0.0
54,2.0,1,61122.2366141,1,2,1,40,0.0
61,2.0,1,167185.305057319,1,2,1,0,0.0
7,1.0,2,56876.25936313,1,1,2,0,0.0
31,1.0,1,72346.587308694,3,1,2,0,0.0
67,2.0,2,76675.289034908,3,2,1,0,0.0
21,2.0,1,67379.03668809,1,6,2,20,0.0
48,1.0,3,43643.24356684,3,1,0,35,0.0
33,2.0,1,177765.75209188,1,1,13,37,0.0
76,2.0,5,21112.6909377398,3,2,1,0,0.0
28,2.0,3,32893.23393705,3,6,2,0,0.0
57,2.0,4,5659.521827,1,8,0,35,0.0
31,1.0,1,82130.5300170965,3,2,13,50,0.0
15,1.0,3,43643.24356684,3,1,2,0,0.0
42,2.0,1,82130.5300170965,3,2,0,60,0.0
28,2.0,1,87823.153177548,3,2,0,40,0.0
33,1.0,2,32403.5684815,3,7,12,62,0.0
10,1.0,3,48371.6665409768,3,1,2,0,0.0
26,2.0,3,33981.72114224,3,7,0,40,0.0
17,2.0,1,67838.876963,1,1,2,0,0.0
20,1.0,1,82267.1330331,3,2,2,20,0.0
73,2.0,5,28172.68294,3,8,0,0,0.0
33,1.0,5,21896.7134672166,3,4,0,0,0.0
65,1.0,3,39769.0543191,3,2,0,40,0.0
34,2.0,1,77398.62768352,3,1,1,40,0.0
21,1.0,4,25567.4579260796,3,1,1,28,0.0
64,2.0,3,124854.99292912,1,2,1,37,0.0
52,1.0,1,67379.03668809,1,6,0,40,0.0
4,,1,72346.587308694,3,1,7,0,0.0
15,2.0,1,108405.39981732,1,1,2,0,0.0
22,1.0,1,44744.250935603,3,4,2,50,0.0
33,2.0,2,58361.7593876,3,7,0,50,0.0
69,1.0,5,50753.83092586,2,2,1,0,0.0
2,,1,86462.50613916,3,1,7,0,0.0
62,2.0,1,100797.930807561,3,2,1,40,0.0
64,1.0,3,40005.9983757263,2,2,0,40,0.0
57,1.0,4,5188.9121315,3,2,0,0,0.0
19,1.0,2,101699.586541035,3,1,2,0,0.0
53,1.0,1,86462.50613916,3,1,0,40,0.0
1,,3,64869.876963,1,1,2,0,0.0
76,2.0,1,138993.287397997,1,2,1,0,0.0
23,2.0,3,40005.9983757263,2,2,2,0,0.0
15,2.0,2,39990.019136575,1,1,2,0,0.0
11,2.0,3,48371.6665409768,3,1,2,0,0.0
60,2.0,5,38041.66435189,1,8,0,0,0.0
47,2.0,3,45948.39605988,3,8,0,35,0.0
22,1.0,1,100797.930807561,3,2,2,0,0.0
58,1.0,1,67379.03668809,1,6,10,40,0.0
68,2.0,5,92781.616957042,3,2,1,0,0.0
0,,1,72346.587308694,3,1,2,0,0.0
65,1.0,2,146008.3801244,2,2,1,16,0.0
54,1.0,1,85741.736923056,1,2,1,40,0.0
70,1.0,1,18440.212882632,1,2,0,40,0.0
67,2.0,5,34703.5326648396,3,2,0,0,0.0
46,1.0,1,100797.930807561,3,2,0,25,0.0
32,2.0,1,61122.2366141,1,2,2,40,0.0
61,1.0,1,18440.212882632,1,2,1,40,0.0
26,1.0,4,5188.9121315,3,2,2,0,0.0
24,2.0,4,21602.4045725,3,4,0,35,0.0
56,1.0,1,67838.876963,1,1,1,40,0.0
51,1.0,5,18223.5168536464,3,8,0,0,9192.8837
34,2.0,4,18991.4044851892,3,8,0,35,0.0
50,1.0,4,20427.5386859705,3,8,0,35,0.0
13,2.0,3,43643.24356684,3,1,2,0,0.0
48,1.0,1,72346.587308694,3,1,0,0,0.0
45,2.0,3,40269.4210984,3,8,0,40,0.0
70,2.0,5,29905.0239459619,3,6,0,0,10304.1114
72,2.0,5,34110.79598384,3,8,0,0,0.0
80,1.0,3,58171.944807828,3,6,6,0,6061.242
38,2.0,1,177765.75209188,1,1,0,70,0.0
16,1.0,2,101699.586541035,3,1,2,0,0.0
56,2.0,2,76675.289034908,3,2,0,55,0.0
44,2.0,2,55958.5483766005,2,8,0,50,0.0
27,1.0,1,44744.250935603,3,4,2,20,0.0
77,2.0,5,40061.71938821,1,8,0,0,0.0
56,2.0,1,61122.2366141,1,2,0,40,0.0
82,2.0,3,69708.6086131651,1,6,6,0,0.0
7,1.0,1,24199.78209142,3,1,2,0,0.0
58,1.0,1,61117.0172156487,2,2,0,40,0.0
50,1.0,1,82267.1330331,3,2,1,40,0.0
34,1.0,3,48371.6665409768,3,1,0,40,0.0
19,1.0,1,77398.62768352,3,1,14,30,0.0
69,2.0,3,124854.99292912,1,2,0,0,0.0
71,2.0,4,69856.4932872211,1,8,0,13,0.0
27,1.0,1,86462.50613916,3,1,2,40,0.0
52,1.0,2,101699.586541035,3,1,0,40,0.0
69,1.0,3,50377.9421815,1,6,6,0,0.0
53,1.0,1,86462.50613916,3,1,1,40,0.0
8,1.0,3,48371.6665409768,3,1,2,0,0.0
26,1.0,1,167185.305057319,1,2,2,40,0.0
67,2.0,2,146008.3801244,2,2,0,35,0.0
81,2.0,5,61920.9337094327,2,2,1,0,0.0
85,2.0,5,26330.1304,3,8,0,0,0.0
33,2.0,1,87823.153177548,3,2,13,50,0.0
38,1.0,1,95900.1014486875,1,1,0,40,0.0
27,1.0,1,72346.587308694,3,1,2,37,0.0
42,1.0,2,39990.019136575,1,1,0,40,0.0
54,1.0,1,82267.1330331,3,2,0,40,0.0
5,1.0,1,95900.1014486875,1,1,3,0,0.0
26,2.0,3,23063.0856286,3,7,11,40,0.0
65,2.0,3,60498.654893822,2,8,0,35,0.0
55,1.0,1,72346.587308694,3,1,1,45,0.0
36,2.0,1,77398.62768352,3,1,0,38,0.0
26,1.0,2,19143.038153,3,7,0,60,0.0
50,1.0,1,44744.250935603,3,4,0,20,0.0
60,1.0,2,101699.586541035,3,1,1,12,0.0
70,1.0,5,50753.83092586,2,2,0,0,0.0
54,1.0,3,23235.641710582,3,6,0,40,0.0
22,2.0,4,7360.24233565,3,7,0,30,0.0
45,1.0,3,43643.24356684,3,1,13,0,4950.0143
52,2.0,3,69708.6086131651,1,6,0,40,0.0
0,,5,21896.7134672166,3,4,2,0,0.0
1,,1,44744.250935603,3,4,7,0,0.0
57,2.0,4,22009.0944859705,3,8,0,22,0.0
60,1.0,2,62406.972764,3,8,0,50,0.0
32,1.0,1,86462.50613916,3,1,2,0,0.0
71,2.0,3,45182.2779124839,1,2,1,40,0.0
37,1.0,1,95900.1014486875,1,1,1,40,0.0
38,2.0,3,64869.876963,1,1,1,40,0.0
36,1.0,4,31060.9903162637,4,6,2,20,6061.242
76,2.0,5,61920.9337094327,2,2,0,0,0.0
29,1.0,1,44744.250935603,3,4,2,25,0.0
25,2.0,1,100797.930807561,3,2,2,40,0.0
2,,4,21602.4045725,3,4,2,0,0.0
