law_section_number,jurisdiction_code,y_coordinate_cd,x_coordinate_cd,precinct_of_occur,latitude,:@computed_region_yeji_bk3q
1227,0,175002,995870,70,40.647019,2.0
CFR 49,0,186687,983296,76,40.67908936081597,2.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
64-B,0,170393,946531,121,40.634295,1.0
140.05,0,180854,1008949,73,40.663054,2.0
1212,0,175206,1013476,69,40.647528384404325,2.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
270,0,203313,988146,9,40.724731,4.0
24-163,0,254896,1006293,34,40.866287,4.0
1227,0,176656,1002359,67,40.651547,2.0
105-10(B),0,185436,1056865,116,40.675367,3.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
10-125,0,212526,986650,14,40.750021,4.0
10-125,2,180751,1009904,73,40.662769,2.0
1227,0,186566,1006703,81,40.678728818777344,2.0
CFR 49,0,165614,937394,121,40.6211247015789,1.0
1227,0,175002,995870,70,40.647019,2.0
10-133(C),0,257766,1021551,47,40.87410365282775,5.0
9999,1,210557,1003370,108,40.7445956,3.0
240.20-7,0,201020,984103,5,40.71843015224279,4.0
240.20,2,238733,1010967,42,40.821912,5.0
270,0,158511,1002291,61,40.60173396926155,2.0
10-125(2B),0,211662,1016281,110,40.747591,3.0
240.20(2),0,250274,1011750,46,40.853586,5.0
16-118(6),0,218129,988210,18,40.765399,4.0
245.01,0,186349,980325,76,40.6781608085568,2.0
240.20,0,267952,1025287,47,40.90204439801025,5.0
240.20-1,0,181533,1057829,116,40.664646,3.0
24-236(B),0,190280,1003592,81,40.688939,2.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
CFR 49,0,203048,1001547,94,40.72397961334044,2.0
16-118,0,149122,986860,60,40.575992,2.0
140.05,0,259779,1021777,47,40.879639,5.0
512,0,241001,1005852,44,40.8281415,5.0
CFR 49,0,202014,1000101,94,40.7211442432271,2.0
9999,0,201978,987181,7,40.72107,4.0
10-125,0,213077,985927,14,40.75152348693427,4.0
19-506,0,194576,1037559,103,40.70058232906593,3.0
1227,0,192097,1002071,81,40.693929,2.0
10-125,0,212195,986465,14,40.74910250120088,4.0
19-506,0,209104,982113,6,40.740628,4.0
24-163,0,254896,1006293,34,40.866287,4.0
10-125,0,187056,999790,79,40.68008859282327,2.0
240.20,0,182443,1005414,77,40.667425,2.0
402,0,240738,1008354,44,40.827422,5.0
512,0,224509,999788,19,40.78288786400435,4.0
20-453,0,212883,986848,14,40.75099078334884,4.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
181.17,2,190845,995619,79,40.690505,2.0
16-118,2,183837,1004579,77,40.671254,2.0
CFR 49,0,205996,1004948,108,40.732063847604,3.0
10-108(D),0,206948,987039,13,40.734711,4.0
1050.7,1,160979,1035360,100,40.60838992,3.0
10-125,0,213077,985927,14,40.75152348693427,4.0
16-118,0,255072,1006208,34,40.86676095527201,4.0
240.20(1),0,179945,1013888,75,40.660544,2.0
114-6,0,181533,1057829,116,40.664646,3.0
512,0,181030,1008365,73,40.6635293738978,2.0
10-131,0,164939,962004,120,40.619379,1.0
1212,0,231385,1003297,25,40.80175375791676,4.0
1227,0,170710,945207,121,40.63515000646484,1.0
270,0,258612,1019197,52,40.87643529399719,5.0
