profile_id,name,shield
49bf2c1f-47a9-4755-a00b-fd81b04b1083,"ALEXANDER, LENA",3679.0
84f00672-47c2-40d5-8549-abf995e51c2c,"VERRELLI, NICHOLAS D",22954.0
8a92fb82-d02e-426f-93e1-0ce6f8e8a2b7,"AVILES, ASHLEY C",11122.0
aa7bd243-fd83-4a6d-9424-f906db59bb70,"GILMORE, ALEXANDER R",5586.0
72b55271-acd9-45b8-869c-a630ae03b3ea,"SIEDMAN, RICHARD J",
0ce5c171-3afa-4f06-9bae-0e5d3dde5b5b,"GONZALEZ, MARICELYS",6933.0
6a799392-eaf6-402a-b123-07cc946b0c76,"REYES, WILLIAM",778.0
fc23e959-768f-47ca-8618-2f69624537a2,"RIDGE, LIAM M",15090.0
cb9fe22a-486b-44c9-b87a-62bb85eb6d82,"TOLENTINOACEVEDO, RAFAELA Y",9819.0
dd5164a9-9a98-474d-9cb1-b308ce662901,"RILEY, MERRITT R",2806.0
15f2d563-cc92-4479-91b5-f1222cb1fc13,"MARSHALL, OBIEKA W",15720.0
0902be95-bd19-42b1-bb70-44fcb6c94166,"MATOSLUGO, DALIZA L",
bea7cd01-e269-4961-9ed5-b4b37fba9366,"DEVINE, MATTHEW J",1254.0
2abec343-73d3-4505-85e1-2251ca184ce0,"VEGA, AMANDA M",6187.0
9f4b7f6c-5297-473b-b657-9e1bfb4579c0,"DONES, CRYSTAL L",6022.0
f1c5b320-5f72-455d-8156-770eca9b5f77,"NEGRON, JOSHUA J",21130.0
0d80e5d0-d5b6-4c4f-b26e-1fe7fa31bf32,"WITHERSPOON, FLORE",3224.0
11fa4ec3-1bcd-4fcf-817d-91c078dd4886,"SFERRAZZA, JOSEPH C",5408.0
cab8e0c0-a8ba-4b22-a880-f5aa0a81d25c,"LJULJA, NAIM",24169.0
781f54f2-997f-49d7-ac7c-b3ad0ac409bc,"MALDONADO, RAMON A",10534.0
d5eb1134-8da6-4122-a4b3-67c65b6acb3d,"MICHELS, CRAIG T",4601.0
7a592276-44bd-422a-8f6d-f254fff751d2,"HAYNES, DERRICK A",11169.0
0b9e8746-bbca-428b-bb2e-2e7fbfd3ab87,"SANTIAGO, THALIA L",2867.0
d93edebb-a962-488c-b4f4-940433d7899d,"MCDERMOTT, KRISTIN A",5076.0
fe77451d-9102-4d85-b63c-dfb8f141bb5d,"MELHADO, DARYL L",
97a45dde-4b51-458e-ab14-7e506b74c3a0,"VILLABEDOYA, BRANDON A",29601.0
907aec04-0369-401c-ad28-540f2b176984,"GAZZA, CHRISTOPHER M",4807.0
16802c01-e44b-4223-8db1-708895920c55,"LACHOWSKI, PAWEL",
b298b935-c8d3-4551-8a63-1773e198fe1b,"SHAHID, SHAHRIA A",13929.0
197391ea-be6e-42de-90d9-27028c74df12,"MASHRIQI, LATIFA",5155.0
7346bc38-f358-4a99-ba05-08a6af50f6b7,"PHRANER, ROBERT J",17444.0
4c8492ff-7913-47a7-89bf-ba28dfe0c5ce,"ALLEN, AYNE T",13993.0
69bc9c39-e164-4657-96ea-91e39ef679b0,"IBRAHIM, WAFFAA A",7043.0
1a76409c-2882-4067-bdde-aa4c864ee988,"ZEITOUN, ROBERT S",3552.0
6b8d1aa1-6025-415b-a762-01593c9e4388,"MAHARAJ, ARUNA",3988.0
bb9d152d-3ffd-42f4-959e-e835c7123c64,"ESTIME, BERVELY",10586.0
13fa6c3b-4720-40a8-8be8-9952d59f0596,"HERNANDEZ, JEREMY",20444.0
d755db0f-ed6f-441a-8ac2-7e2ea8bbf484,"JUMAN, ARSHAD",562.0
5af607f2-f05f-442c-a084-70fa16b33cf9,"GUEVARA, OTILIA M",21963.0
91a8e2dd-8aeb-4d11-89c6-3a8b857ed066,"WALSH, CONNOR P",3267.0
852ec419-272a-4eed-9de9-7b4430f4d880,"MCCARTHY, MOLLY K",29211.0
1e3ba9ee-0936-408b-8583-16baa2b14ecd,"ZHENG, MEILIN",18040.0
7306548a-a86a-4d14-81fb-79d03b3fca9a,"GRABER, ERICK",24232.0
adf18ed5-bec5-45af-a5a1-176c4870ffd7,"FREIREPEREZ, ERIK S",24946.0
eb67e705-8b5c-4adf-8ec7-ad8e8bc80b83,"GARCIA, FERNANDO",
c7dbb458-064d-48f0-a3be-6234c7be55b8,"MALAVE, JESSICA",11699.0
94a321b7-89b9-46da-8dce-cb5fadfab8ae,"ESPINALBLANCO, ROSSIBEL",883.0
45e5563e-0b19-4135-a842-8611d6531861,"MUSSO, SERGIO B",7520.0
b229550a-127c-40bd-bfa5-a386f6352493,"HIRALDO, EDUARDO L",12872.0
bb461eb8-1859-4060-add4-5c9f901926fe,"MCKENNA, CHRISTOPHER B",3320.0
