member_gender,race
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
MALE,HISPANIC
