omppropid,site_name,district,borough
B082-ZN05,Shore Park And Parkway-Shore Road Park Zone 5,B-10,B
B126-ZN03,Red Hook Recreation Area-Red Hook Park Zone 3,B-06,B
B210I,Gonzalo Plasencia Playground,B-07,B
B018-ZN04,Canarsie Park Zone 4,B-18,B
B255H,Thomas J. Cuite Park,B-07,B
B073-ZN21,Prospect Park-Peninsula,B-19,B
B251-ZN03,Manhattan Beach Park-Manhattan Beach Zone 3,B-15,B
B056,Martin Luther King Jr. Playground,B-05,B
B087,Sunset Park,B-07,B
B057-ZN04,Marine Park Zone 4,B-18,B
B054-ZN01,Lincoln Terrace Park / Arthur S. Somers-Lincoln Terr Pk/Arthur S Somers Zone 1,B-08,B
B058-ZN01,McCarren Park Zone 1,B-01,B
B070,Machate Circle,B-14,B
B058-ZN03,McCarren Park Zone 3,B-01,B
B052-02,Leif Ericson Park-Leif Ericson Park,B-10,B
B049,Irving Square Park,B-04,B
B058-ZN03,McCarren Park Zone 3,B-01,B
B052-03,Leif Ericson Park-Leif Ericson Park,B-10,B
B029-ZN02,Eastern Parkway Mall Zone 2,B-08,B
B126-ZN03,Red Hook Recreation Area-Red Hook Park Zone 3,B-06,B
B073-ZN26,Prospect Park-Prospect Lake Near West Island,B-19,B
B042,Gravesend Park,B-12,B
B057-ZN03,Marine Park Zone 3,B-18,B
B042,Gravesend Park,B-12,B
B018-ZN05,Canarsie Park Zone 5,B-18,B
B255L,Captain John McKenna IV Park,B-07,B
B135,Newtown Barge Playground,B-01,B
B233,Concord St Nassau St & Flatbush Ave Ext,B-02,B
B113A,Cadman Plaza Park,B-02,B
B057-ZN02,Marine Park Zone 2,B-18,B
B166E,Sixteen Lindens Triangle,B-15,B
B018-ZN06,Canarsie Park Zone 6,B-18,B
B166C-ZN02,Six Diamonds Zone 2,B-13,B
B080,Asser Levy Park,B-13,B
B051,Kelly Park Playground,B-15,B
B032-ZN02,Fort Greene Park Zone 2,B-02,B
B065-ZN09,Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 9,B-13,B
B057-ZN01,Marine Park Zone 1,B-18,B
B065-ZN08,Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 8,B-15,B
B032-ZN01,Fort Greene Park Zone 1,B-02,B
B065-ZN05,Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 5,B-12,B
B057-06,Marine Park-Seba Playground,B-18,B
B054-ZN01,Lincoln Terrace Park / Arthur S. Somers-Lincoln Terr Pk/Arthur S Somers Zone 1,B-08,B
B073-ZN13,Prospect Park-Upper Long Meadow,B-19,B
B082-ZN02,Shore Park And Parkway-Shore Road Park Zone 2,B-10,B
B141,City Line Park,B-05,B
B058-ZN04,McCarren Park Zone 4,B-01,B
B247,Breukelen Ballfields,B-18,B
B129-ZN02,Leon S Kaiser Park-Kaiser Park Zone 2,B-13,B
B018-ZN06,Canarsie Park Zone 6,B-18,B
B073-ZN28,Prospect Park-East Parade Grounds,B-19,B
B247,Breukelen Ballfields,B-18,B
B164,Bath Beach Park,B-11,B
B073-ZN10,Prospect Park-Willink Hill,B-19,B
B028-ZN02,Dyker Beach Park Zone 2,B-10,B
B028-ZN01,Dyker Beach Park Zone 1,B-10,B
B329,Lindower Park,B-18,B
B058-ZN05,McCarren Park Zone 5,B-01,B
B073-ZN28,Prospect Park-East Parade Grounds,B-19,B
B057-ZN04,Marine Park Zone 4,B-18,B
B025,Cooper Park,B-01,B
B018-ZN05,Canarsie Park Zone 5,B-18,B
B079,Saratoga Park,B-03,B
B221,Steuben Playground,B-02,B
B026,Cuyler Gore Park,B-02,B
B223IB,Bar and Grill Park,B-02,B
B073-ZN22,Prospect Park-Breeze Hill,B-19,B
