prevelance,q_9,q_6
Upper 95% CI 2018,77.9,19.0
Prevalence 2018,76.8,17.8
Lower 95% CI 2010,77.8,
Prevalence 2019,76.6,18.9
Upper 95% CI 2012,79.9,20.9
Prevalence 2016,78.0,17.0
Prevalence 2014,77.8,16.5
Lower 95% CI 2019,75.2,17.6
Upper 95% CI 2016,79.1,18.1
Lower 95% CI 2011,76.7,16.4
Upper 95% CI 2011,79.6,19.6
Prevalence 2011,78.2,17.9
Upper 95% CI 2014,78.9,17.7
Lower 95% CI 2018,75.6,16.7
Prevalence 2013,76.9,18.2
Lower 95% CI 2017,75.7,16.2
Lower 95% CI 2015,76.3,16.1
Upper 95% CI 2015,78.4,18.3
Prevalence 2015,77.4,17.2
Prevalence 2020,80.8,16.6
Prevalence 2012,78.7,19.6
Lower 95% CI 2013,75.7,17.0
Upper 95% CI 2019,77.9,20.2
Lower 95% CI 2016,76.8,15.9
Prevalence 2017,76.8,17.3
Lower 95% CI 2020,79.6,15.5
Upper 95% CI 2020,82.0,17.8
Prevalence 2010,79.1,
Upper 95% CI 2017,77.9,18.4
Upper 95% CI 2010,80.3,
Lower 95% CI 2012,77.5,18.2
Lower 95% CI 2014,76.6,15.4
Upper 95% CI 2013,78.0,19.4
