record_title,instances_container_profile,instances_instances_container
Commissioner Idilio Gracia Peña records,,Folder 513
Commissioner Idilio Gracia Peña records,,Folder 485
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 506
New Amsterdam records,,Volume 2
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 6
Commissioner Idilio Gracia Peña records,,Folder 511
Commissioner Idilio Gracia Peña records,,Folder 476
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 5
Commissioner Idilio Gracia Peña records,,Folder 502
Commissioner Idilio Gracia Peña records,,Folder 500
Almshouse ledgers collection,,
Almshouse ledgers collection,,
Almshouse ledgers collection,,
Almshouse ledgers collection,,
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 487
Commissioner Idilio Gracia Peña records,,Folder 486
New Amsterdam records,,Volume 2
Almshouse ledgers collection,,
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 488
New Amsterdam records,,Volume 2
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 456
Commissioner Idilio Gracia Peña records,,Folder 450
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 501
Commissioner Idilio Gracia Peña records,,Folder 462
New Amsterdam records,,Volume 2
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 466
New Amsterdam records,,Volume 2
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 10
Almshouse ledgers collection,,
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 474
Commissioner Idilio Gracia Peña records,,Folder 516
Almshouse ledgers collection,,
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 472
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 499
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 447
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 411
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 509
Almshouse ledgers collection,,
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 9
Commissioner Idilio Gracia Peña records,,Folder 498
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 11
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 12
Almshouse ledgers collection,,
Commissioner Idilio Gracia Peña records,,Folder 449
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 413
New Amsterdam records,,Volume 2
Mayor Seth Low records,Classic half-size legal detached lid archival storage box,Folder 14
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 477
Commissioner Idilio Gracia Peña records,,Folder 495
Commissioner Idilio Gracia Peña records,,Folder 458
New Amsterdam records,,Volume 2
Commissioner Idilio Gracia Peña records,,Folder 480
Commissioner Idilio Gracia Peña records,,Folder 445
