_total_attendance,circulation_adult,young_adult_program,_total_program,_reference_transactions_young_adult
17553.0,402.0,5.0,400.0,442.0
53715.0,4058542.0,45.0,1833.0,6175.0
0.0,0.0,0.0,0.0,0.0
15743.0,49336.0,119.0,913.0,20098.0
5444.0,27667.0,162.0,456.0,5265.0
11702.0,55142.0,145.0,573.0,23595.0
13439.0,236267.0,105.0,573.0,7527.0
25531.0,129885.0,289.0,1291.0,13702.0
14832.0,170872.0,124.0,715.0,9113.0
13352.0,228111.0,90.0,548.0,19591.0
0.0,0.0,0.0,0.0,0.0
2531.0,50460.0,24.0,176.0,7423.0
0.0,0.0,0.0,0.0,0.0
11509.0,3901733.0,7.0,180.0,0.0
4929.0,49258.0,73.0,221.0,5954.0
6326.0,56939.0,57.0,356.0,11232.0
11878.0,250528.0,74.0,531.0,5694.0
11566.0,167522.0,365.0,1052.0,18005.0
346773.0,2456870.0,4241.0,18887.0,623873.0
1613.0,366734.0,5.0,148.0,1781.0
13452.0,232290.0,119.0,665.0,8645.0
11671.0,112121.0,154.0,627.0,1911.0
7824.0,143693.0,30.0,468.0,10465.0
11089.0,58124.0,177.0,686.0,28145.0
98602.0,1128045.0,985.0,4934.0,218296.0
53715.0,4058542.0,45.0,1833.0,6175.0
9574.0,201905.0,185.0,469.0,5902.0
7281.0,35981.0,139.0,402.0,9295.0
7618.0,70993.0,88.0,423.0,10439.0
17285.0,173164.0,69.0,701.0,3861.0
1168.0,40387.0,7.0,106.0,3159.0
0.0,170.0,0.0,0.0,0.0
12322.0,280124.0,53.0,546.0,10504.0
10267.0,79132.0,26.0,701.0,6448.0
10609.0,63087.0,85.0,533.0,21320.0
24031.0,54993.0,307.0,1047.0,44538.0
13084.0,49208.0,186.0,685.0,15327.0
3066.0,322828.0,30.0,236.0,1534.0
89.0,0.0,0.0,2.0,0.0
7623.0,77833.0,75.0,282.0,3471.0
8067.0,230928.0,5.0,281.0,7774.0
3459.0,251736.0,200.0,285.0,2782.0
9906.0,60629.0,60.0,432.0,9074.0
7052.0,123762.0,61.0,310.0,17732.0
5417.0,72512.0,45.0,383.0,4654.0
50.0,830.0,0.0,2.0,0.0
6958.0,340058.0,0.0,369.0,0.0
5401.0,62767.0,37.0,246.0,32253.0
10627.0,43227.0,198.0,753.0,8138.0
20368.0,231221.0,207.0,978.0,38454.0
6930.0,67313.0,94.0,425.0,256360.0
9150.0,42777.0,99.0,429.0,8138.0
12020.0,173087.0,80.0,550.0,3497.0
0.0,0.0,0.0,0.0,0.0
18364.0,77381.0,220.0,1165.0,17810.0
767.0,693328.0,0.0,4.0,3952.0
6778.0,96645.0,82.0,361.0,5694.0
187217.0,1065207.0,2475.0,10478.0,278450.0
9748.0,41377.0,256.0,820.0,6760.0
8616.0,118246.0,159.0,632.0,18941.0
12460.0,92228.0,28.0,668.0,9711.0
4664.0,48450.0,106.0,324.0,7462.0
181757.0,2687403.0,1449.0,8592.0,418405.0
10625.0,286668.0,188.0,564.0,9841.0
5166.0,59150.0,129.0,337.0,23218.0
13287.0,251584.0,10.0,418.0,4745.0
98513.0,1128045.0,985.0,4932.0,218296.0
11579.0,257047.0,38.0,321.0,1170.0
12493.0,61924.0,186.0,826.0,93028.0
5240.0,98731.0,44.0,288.0,15652.0
12074.0,125685.0,72.0,611.0,77844.0
14737.0,51164.0,157.0,713.0,16029.0
8928.0,43650.0,109.0,459.0,6422.0
172313.0,3478204.0,1572.0,8844.0,138268.0
40723.0,354231.0,201.0,1332.0,78494.0
8823.0,58898.0,37.0,477.0,6357.0
5064.0,43431.0,44.0,275.0,8112.0
9960.0,69446.0,152.0,601.0,20215.0
354070.0,6165607.0,3021.0,17436.0,556673.0
955.0,115953.0,5.0,63.0,26.0
4456.0,145599.0,16.0,201.0,21697.0
5886.0,258937.0,35.0,291.0,23517.0
9611.0,59069.0,44.0,372.0,8684.0
5098.0,65998.0,43.0,335.0,16770.0
12932.0,135807.0,79.0,863.0,2067.0
159556.0,1391663.0,1766.0,8409.0,345423.0
3679.0,45516.0,46.0,371.0,8632.0
15368.0,68168.0,82.0,480.0,6318.0
6276.0,21461.0,129.0,489.0,3666.0
7975.0,61941.0,223.0,560.0,11726.0
,,,,
5588.0,106265.0,114.0,391.0,7787.0
8220.0,66296.0,44.0,466.0,8827.0
864669.0,17710797.0,8299.0,43270.0,1405017.0
10103.0,162657.0,133.0,510.0,3302.0
3621.0,32774.0,50.0,229.0,6282.0
33782.0,2676002.0,35.0,1281.0,0.0
2128.0,18657.0,30.0,167.0,4875.0
0.0,0.0,0.0,0.0,0.0
7807.0,182624.0,28.0,297.0,6214.0
5343.0,135638.0,11.0,259.0,3510.0
0.0,322076.0,0.0,0.0,0.0
11271.0,152390.0,58.0,376.0,5291.0
7950.0,110572.0,94.0,384.0,30212.0
14987.0,165179.0,129.0,612.0,8333.0
3732.0,78945.0,14.0,208.0,26910.0
89.0,0.0,0.0,2.0,0.0
6236.0,54853.0,47.0,206.0,17173.0
10163.0,100420.0,132.0,508.0,18499.0
