circulation_adult,_reference_transactions,weekly_hours_of_public_service,_reference_transactions_juvenile,young_adult_attendance
402.0,26546.0,55.0,4069.0,164.0
4058542.0,565669.0,276.0,5265.0,1136.0
0.0,0.0,0.0,0.0,0.0
49336.0,80730.0,46.0,24817.0,2314.0
27667.0,41392.0,44.0,14937.0,869.0
55142.0,106041.0,46.0,35932.0,1796.0
236267.0,50154.0,44.0,6019.0,1245.0
129885.0,57980.0,62.0,20540.0,4200.0
170872.0,52091.0,44.0,13767.0,1544.0
228111.0,100542.0,50.0,9503.0,1710.0
0.0,0.0,0.0,0.0,0.0
50460.0,50037.0,46.0,9009.0,201.0
0.0,0.0,0.0,0.0,0.0
3901733.0,0.0,0.0,0.0,415.0
49258.0,27716.0,46.0,5317.0,1595.0
56939.0,34307.0,46.0,9347.0,1156.0
250528.0,57616.0,46.0,3978.0,1096.0
167522.0,100555.0,62.0,19461.0,2862.0
2456870.0,2901678.0,1672.0,848564.0,59898.0
366734.0,119041.0,42.0,676.0,191.0
232290.0,51753.0,42.0,10205.0,1070.0
112121.0,50167.0,42.0,6942.0,820.0
143693.0,78429.0,42.0,17056.0,358.0
58124.0,135538.0,46.0,27079.0,2380.0
1128045.0,1180062.0,506.0,285753.0,10746.0
4058542.0,565669.0,276.0,5265.0,1136.0
201905.0,46930.0,44.0,6474.0,3284.0
35981.0,36218.0,46.0,8528.0,2649.0
70993.0,57070.0,46.0,10608.0,1593.0
173164.0,33332.0,42.0,3887.0,530.0
40387.0,23075.0,46.0,7267.0,42.0
170.0,0.0,0.0,0.0,0.0
280124.0,65689.0,50.0,24063.0,478.0
79132.0,37778.0,44.0,7111.0,224.0
63087.0,79079.0,48.0,27053.0,1164.0
54993.0,170781.0,48.0,55705.0,4426.0
49208.0,101894.0,46.0,33787.0,4341.0
322828.0,41808.0,46.0,2366.0,128.0
0.0,0.0,0.0,0.0,0.0
77833.0,25298.0,42.0,6903.0,1036.0
230928.0,70330.0,44.0,12688.0,44.0
251736.0,22243.0,44.0,78.0,2614.0
60629.0,57603.0,42.0,9126.0,1412.0
123762.0,235755.0,46.0,38844.0,563.0
72512.0,25467.0,46.0,3835.0,413.0
830.0,0.0,0.0,0.0,0.0
340058.0,90649.0,46.0,0.0,0.0
62767.0,145886.0,46.0,38038.0,420.0
43227.0,38103.0,46.0,10595.0,2153.0
231221.0,209053.0,50.0,68172.0,2929.0
67313.0,866229.0,42.0,282750.0,1432.0
42777.0,37141.0,43.0,10205.0,1590.0
173087.0,75049.0,42.0,5343.0,884.0
0.0,0.0,0.0,0.0,0.0
77381.0,79508.0,50.0,17238.0,2450.0
693328.0,102752.0,40.0,520.0,0.0
96645.0,37180.0,46.0,6825.0,1066.0
1065207.0,1236716.0,854.0,364925.0,33570.0
41377.0,43927.0,46.0,13910.0,2802.0
118246.0,84903.0,54.0,13182.0,1676.0
92228.0,65494.0,44.0,21281.0,450.0
48450.0,26507.0,46.0,7566.0,1828.0
2687403.0,2020902.0,801.0,475696.0,20017.0
286668.0,66651.0,50.0,8034.0,2995.0
59150.0,86671.0,46.0,37232.0,1531.0
251584.0,49504.0,43.0,7020.0,663.0
1128045.0,1180062.0,506.0,285753.0,10746.0
257047.0,173381.0,48.0,20332.0,977.0
61924.0,284271.0,46.0,94263.0,2166.0
98731.0,71292.0,44.0,18941.0,400.0
125685.0,329342.0,46.0,98735.0,873.0
51164.0,70551.0,48.0,26494.0,2044.0
43650.0,34073.0,46.0,8840.0,1130.0
3478204.0,1240226.0,803.0,235781.0,17977.0
354231.0,506012.0,78.0,173134.0,4324.0
58898.0,61425.0,42.0,17472.0,266.0
43431.0,47190.0,46.0,11609.0,506.0
69446.0,107276.0,48.0,25116.0,2022.0
6165607.0,3261128.0,1604.0,711477.0,37994.0
115953.0,9256.0,39.0,0.0,15.0
145599.0,123136.0,42.0,30706.0,471.0
258937.0,128622.0,50.0,22516.0,507.0
59069.0,59475.0,42.0,20982.0,287.0
65998.0,72410.0,46.0,20267.0,570.0
135807.0,39650.0,42.0,4004.0,530.0
1391663.0,1664962.0,818.0,483639.0,26328.0
45516.0,43511.0,42.0,11479.0,345.0
68168.0,36478.0,42.0,10764.0,1005.0
21461.0,18226.0,46.0,4095.0,1268.0
61941.0,47996.0,50.0,11102.0,2108.0
,,,,
106265.0,48243.0,48.0,9178.0,1733.0
66296.0,48113.0,48.0,12831.0,694.0
17710797.0,7908537.0,4058.0,1851059.0,110189.0
162657.0,48646.0,46.0,10595.0,1397.0
32774.0,28899.0,46.0,8049.0,632.0
2676002.0,295867.0,88.0,0.0,781.0
18657.0,18889.0,42.0,4355.0,318.0
0.0,0.0,0.0,0.0,0.0
182624.0,140920.0,44.0,11206.0,102.0
135638.0,32773.0,46.0,5070.0,503.0
322076.0,21463.0,51.0,0.0,0.0
152390.0,76401.0,42.0,4134.0,426.0
110572.0,142870.0,44.0,35412.0,1138.0
165179.0,43355.0,44.0,13858.0,2691.0
78945.0,89726.0,43.0,27339.0,117.0
0.0,0.0,0.0,0.0,0.0
54853.0,70187.0,46.0,16991.0,591.0
100420.0,82420.0,46.0,16302.0,1456.0
