newsrackstatusdate,lastinspectionresult,onstreetname,newsrackstatustype
2019-02-20T12:35:48.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-02-07T14:32:13.000,Removed By DOT,13 AVENUE,Inspection Status
2019-03-01T14:53:24.000,NOV Issued,EAST  116 STREET,Inspection Status
2015-10-01T17:01:38.000,Removed By DOT,4 AVENUE,Inspection Status
2019-02-06T10:02:53.000,Removed By DOT,5 AVENUE,Inspection Status
2019-04-29T16:21:54.000,Newsrack Not Found,KNICKERBOCKER AVENUE,Inspection Status
2019-02-20T09:11:37.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-09-12T11:42:50.000,Newsrack Not Found,39 AVENUE,Inspection Status
2019-02-20T15:40:25.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2021-04-13T13:32:21.000,Newsrack Not Found,5 AVENUE,Inspection Status
2019-02-06T15:22:35.000,Removed By DOT,5 STREET,Inspection Status
2022-08-03T13:36:55.000,Removed By DOT,MAIN STREET,Inspection Status
2019-02-20T15:17:33.000,NOV Issued,13 AVENUE,Inspection Status
2019-02-20T10:06:16.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-02-20T12:30:48.000,NOV Issued,13 AVENUE,Inspection Status
2019-02-20T16:49:36.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-03-01T14:42:50.000,Newsrack Not Found,EAST  116 STREET,Inspection Status
2019-07-12T09:44:31.000,Removed By DOT,HENRY HUDSON PARKWAY,Inspection Status
2019-03-30T14:43:41.000,Newsrack Not Found,3 AVENUE,Inspection Status
2019-02-20T15:20:23.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-07-12T09:53:02.000,Removed By DOT,INDEPENDENCE AVENUE,Inspection Status
2019-02-20T16:50:28.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2023-08-03T12:19:23.000,Inspected/In Compliance,QUEENS BOULEVARD,Inspection Status
2019-03-01T15:00:39.000,NOV Issued,EAST  111 STREET,Inspection Status
2019-07-08T14:57:04.000,Newsrack Not Found,EAST  170 STREET,Inspection Status
2019-03-01T16:22:16.000,NOV Issued,7 AVENUE,Inspection Status
2020-01-07T13:28:39.000,Inspected/In Compliance,AMSTERDAM AVENUE,Inspection Status
2023-07-01T10:17:57.000,Removal Pending,5 AVENUE,Inspection Status
2019-07-10T09:56:53.000,Not Registered Publication,5 AVENUE,Inspection Status
2020-01-28T11:04:19.000,Removed By DOT,8 AVENUE,Inspection Status
2019-03-30T15:12:10.000,NOC/Violations Found,BROADWAY,Inspection Status
2019-02-01T15:53:37.000,Newsrack Not Found,ROOSEVELT AVENUE,Inspection Status
2019-02-07T11:20:55.000,Removed By DOT,OLIVER STREET,Inspection Status
2019-02-06T10:45:56.000,Removed By DOT,3 STREET,Inspection Status
2019-07-12T10:11:25.000,Removed By DOT,INDEPENDENCE AVENUE,Inspection Status
2019-02-06T14:19:15.000,Removed By DOT,3 STREET,Inspection Status
2019-02-06T10:53:38.000,Removed By DOT,4 STREET,Inspection Status
2019-02-20T15:19:07.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2023-10-13T12:06:00.000,NOC/Violations Found,ATLANTIC AVENUE,Inspection Status
2019-03-19T16:27:43.000,Inspected/In Compliance,BRIDGE STREET,Inspection Status
2019-02-21T13:24:39.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-03-01T16:19:08.000,NOV Issued,7 AVENUE,Inspection Status
2020-01-03T09:14:55.000,Inspected/In Compliance,7 AVENUE,Inspection Status
2020-01-03T09:23:34.000,Inspected/In Compliance,7 AVENUE,Inspection Status
2019-02-20T15:58:07.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2019-07-09T10:49:50.000,Newsrack Not Found,11 AVENUE,Inspection Status
2019-02-20T15:41:32.000,Inspected/In Compliance,13 AVENUE,Inspection Status
2025-05-09T08:52:29.000,NOC/Violations Found,BEDFORD AVENUE,Inspection Status
2019-05-21T16:07:10.000,NOV Issued,CLINTON STREET,Inspection Status
2023-10-17T10:27:19.000,NOC/Violations Found,FT WASHINGTON AVENUE,Inspection Status
