local_market_value,major_industry_name
121400.0,CORPORATE
3536053.2,CORPORATE
443955.2,CORPORATE
624448.65,YANKEE
354494.88,CORPORATE
424415.25,CORPORATE
1137212.0,CORPORATE
4280299.2,CORPORATE
756673.65,BANK LOAN
485888.1,CORPORATE
54749.1,CORPORATE
542149.65,YANKEE
307104.6,CORPORATE
3488842.5,CORPORATE
210010.0,CORPORATE
668375.4,CORPORATE
1352900.52,CORPORATE
1075056.9,YANKEE
6710268.25,CORPORATE
1327900.0,CORPORATE
2143494.9,CORPORATE
30577421.7,CORPORATE
1817564.85,CORPORATE
1625241.14,CORPORATE
1456710.0,CORPORATE
1679091.65,YANKEE
4784609.45,CORPORATE
1303291.75,CORPORATE
130746.5,CORPORATE
303647.5,CORPORATE
438830.0,CORPORATE
1074212.0,CORPORATE
1079451.4,CORPORATE
727316.41,CORPORATE
487009.2,YANKEE
504024.0,CORPORATE
4606052.45,YANKEE
3308460.0,CORPORATE
3159633.0,CORPORATE
411492.5,CORPORATE
162312.0,CORPORATE
165964.0,CORPORATE
2763652.0,CORPORATE
2903140.0,CORPORATE
659980.8,CORPORATE
1234321.3,CORPORATE
1290899.95,CORPORATE
375654.4,CORPORATE
674572.5,CORPORATE
283566.5,CORPORATE
491552.65,CORPORATE
522427.05,CORPORATE
950950.0,CORPORATE
3259405.7,CORPORATE
786677.7,YANKEE
116724.0,CORPORATE
202890.0,CORPORATE
176939.4,CORPORATE
1419112.85,CORPORATE
973770.0,CORPORATE
686332.5,CORPORATE
5454022.0,YANKEE
657367.34,CORPORATE
2969769.0,CORPORATE
5742055.3,YANKEE
755478.94,CORPORATE
364406.25,CORPORATE
408717.18,YANKEE
481870.62,CORPORATE
418342.4,CORPORATE
6446034.0,YANKEE
309812.8,CORPORATE
419892.45,CORPORATE
231026.04,CORPORATE
1640407.68,CORPORATE
1354619.5,CORPORATE
135483.25,CORPORATE
239804.19,CORPORATE
294750.0,CORPORATE
977233.96,YANKEE
5413554.0,CORPORATE
936769.9,CORPORATE
1913766.0,CORPORATE
2622240.0,CORPORATE
712374.53,CORPORATE
1074445.0,CORPORATE
1909107.2,CORPORATE
256147.5,CORPORATE
2724236.64,CORPORATE
205967.85,CORPORATE
434512.82,CORPORATE
403864.75,CORPORATE
3047918.0,CORPORATE
416170.51,BANK LOAN
3892777.3,YANKEE
231875.0,CORPORATE
498880.64,CORPORATE
6594556.35,YANKEE
431680.0,CORPORATE
954679.77,CORPORATE
177735.74,CORPORATE
1165031.25,CORPORATE
2520383.3,CORPORATE
971750.0,CORPORATE
742000.0,CORPORATE
194772.0,CORPORATE
407137.5,CORPORATE
2911102.8,YANKEE
1239837.5,CORPORATE
629850.0,CORPORATE
277472.0,CORPORATE
622363.5,CORPORATE
4336856.75,CORPORATE
69151.5,CORPORATE
424836.63,CORPORATE
357272.0,CORPORATE
545431.25,CORPORATE
75333.5,CORPORATE
258115.0,CORPORATE
4958560.8,CORPORATE
2541726.0,YANKEE
1421612.01,CORPORATE
73618.16,CORPORATE
981452.85,CORPORATE
1507444.68,CORPORATE
6060256.75,YANKEE
965059.75,CORPORATE
735420.0,CORPORATE
2115147.8,YANKEE
764056.5,CORPORATE
1039772.5,CORPORATE
162038.0,CORPORATE
225103.55,CORPORATE
1180639.75,CORPORATE
449435.35,CORPORATE
400393.7,CORPORATE
99648.03,CORPORATE
1505544.04,YANKEE
4248438.04,YANKEE
1528632.0,CORPORATE
5864361.3,CORPORATE
770603.61,BANK LOAN
398458.51,BANK LOAN
3310197.0,CORPORATE
9859865.6,CORPORATE
1589803.2,CORPORATE
658746.0,CORPORATE
450113.94,CORPORATE
483402.15,CORPORATE
3655672.14,CORPORATE
456237.5,CORPORATE
1964710.75,CORPORATE
949205.0,CORPORATE
1720175.0,CORPORATE
179546.0,CORPORATE
1253070.0,CORPORATE
233575.0,CORPORATE
1932780.0,YANKEE
2909670.75,CORPORATE
493751.5,CORPORATE
357390.0,CORPORATE
1541036.8,CORPORATE
206727.75,CORPORATE
241072.0,YANKEE
1859984.96,CORPORATE
1019856.9,CORPORATE
458066.5,BANK LOAN
1656251.43,YANKEE
896850.0,CORPORATE
6844440.06,CORPORATE
532638.0,CORPORATE
627897.25,CORPORATE
1170171.9,CORPORATE
304560.0,CORPORATE
110205.0,CORPORATE
6206980.0,YANKEE
716656.2,CORPORATE
596750.0,CORPORATE
352956.45,CORPORATE
2177440.0,CORPORATE
287469.0,CORPORATE
7801149.6,CORPORATE
577742.87,YANKEE
236883.0,YANKEE
1031998.5,CORPORATE
142036.8,CORPORATE
527376.52,YANKEE
146485.5,CORPORATE
1217340.0,CORPORATE
1237952.0,CORPORATE
471115.2,CORPORATE
866305.0,CORPORATE
2184738.5,CORPORATE
991634.9,CORPORATE
608507.8,CORPORATE
3938869.15,CORPORATE
121125.0,CORPORATE
1780446.45,CORPORATE
616638.0,CORPORATE
340540.2,CORPORATE
