base_market_value,period_end_date,investment_type_name,asset_class,original_face,local_accrued_interest
43241.04,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,45838.52,0.0
125592.45,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,124987.47,0.0
71872.71,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,67662.73,0.0
356459.7,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,409999.75,0.0
84940.91,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,77806.71,0.0
527320.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2937.5
123283.38,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,125228.98,0.0
440344.81,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,400000.0,0.0
706398.11,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,950000.0,0.0
832495.32,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,745566.0,0.0
388531.59,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,326935.73,0.0
162398.96,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,148784.99,0.0
1043966.48,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1001746.21,0.0
502827.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,0.0
1355493.75,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,16427.07
1137052.08,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,3820558.0,0.0
26368.72,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,67250.0,0.0
5292.75,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,30903.69,0.0
33163.87,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,29562.51,0.0
1155709.8,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,18268.75
235796.25,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,529.67
503125.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,12930.93
108099.07,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,119650.0,0.0
1006658.86,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,937499.99,0.0
120895.29,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,107875.0,0.0
100483.97,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,99999.94,0.0
919186.29,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,918609.25,0.0
86586.48,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,84999.97,0.0
180735.69,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,186249.95,0.0
74167.62,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,58000.03,0.0
477954.82,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,500000.0,0.0
252489.17,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,262499.97,0.0
122444.62,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,122500.02,0.0
61714.61,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,84999.92,0.0
805496.42,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,836932.78,0.0
144505.6,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,3082.0
309000.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2156.25
971231.25,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2181.67
410526.04,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,365750.0,0.0
1512359.94,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1251915.78,0.0
181246.54,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,148012.51,0.0
6638564.8,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,18986.64
153009.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,705.0
406885.57,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,376284.66,0.0
23702.77,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,51450.49,0.0
307329.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2016.67
89762.02,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,97585.12,0.0
165307.8,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,137280.5,0.0
