local_unrealized_gain_loss,s_and_p_quality_rating,shares_par_value,trade_country_name,minor_industry_name
6983.09,,36257.95,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
18939.59,,106652.86,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
11106.36,,60766.35,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
53257.05,,303202.65,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
14729.54,,70211.37,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
54035.0,A-,500000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
14217.97,,109065.41,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
93299.01,,347045.8,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
109186.17,,597211.94,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
180120.95,,652374.37,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
89215.58,,299316.01,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
24550.36,,137848.6,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
182789.45,,861177.03,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
12175.0,B,487000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
28281.25,BB-,1245000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
94955.55,,1041688.03,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
1852.67,,24516.05,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
350.81,,4941.94,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
6661.7,,26502.17,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
8283.8,BBB-,1110000.0,UNITED STATES OF AMERICA (THE),OTHER YANKEE
8796.25,BB-,227000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
46232.5,BB-,575000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
11951.38,,96147.69,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
127281.2,,879377.66,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
19199.22,,101696.07,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
11784.07,,88699.9,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
132572.63,,786613.66,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
11319.09,,75267.39,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
19352.65,,161383.04,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
21371.26,,52796.36,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
104268.12,,376660.92,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
22563.74,,229925.43,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
12503.6,,109941.02,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
8326.66,,53387.95,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
101642.74,,703853.68,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
