omoid,omonumber,buildingid,omocreatedate,boro_id,housenumber,census_tract,netchangeorders
5371519,EO08654,809554,2023-09-28T00:00:00.000,3,726,1110.0,0
5159031,EM00826,140006,2021-07-11T00:00:00.000,3,5501,240.0,0
5277764,EN04200,92773,2022-08-16T00:00:00.000,2,1945,24502.0,0
5125048,EL22503,108467,2021-05-05T00:00:00.000,2,2300,255.0,0
5266070,EM27424,152047,2022-06-27T00:00:00.000,3,664,96.0,0
5285500,EN07579,108500,2022-09-27T00:00:00.000,2,2647,269.0,0
5376822,EO10465,43026,2023-10-16T00:00:00.000,1,452,24301.0,0
5186928,EM04488,424632,2021-08-31T00:00:00.000,4,86-01,279.0,0
5378106,EO10821,842702,2023-10-18T00:00:00.000,2,2111,373.0,0
5259509,EM24963,60275,2022-05-19T00:00:00.000,2,3230,374.0,0
5227910,EM15202,372268,2022-01-20T00:00:00.000,3,233,523.0,0
5349105,EO01643,809072,2023-07-19T00:00:00.000,3,3100,35602.0,0
5195708,EM05803,332786,2021-09-17T00:00:00.000,3,112,54.0,0
5266577,EM27549,215971,2022-06-29T00:00:00.000,3,222,493.0,0
5381750,EO11713,60132,2023-10-30T00:00:00.000,2,2517,330.0,0
5267309,EN00105,8378,2022-07-01T00:00:00.000,1,4996,303.0,0
5281654,EN05959,117077,2022-09-08T00:00:00.000,2,2381,23702.0,0
4988088,EL02052,42918,2020-08-07T00:00:00.000,1,574,245.0,0
5225809,EM14312,317226,2022-01-07T00:00:00.000,3,415,267.0,0
5399720,EO17716,21308,2023-12-27T00:00:00.000,1,54,22102.0,0
5376325,EO10288,117194,2023-10-13T00:00:00.000,2,2965,413.0,0
5169289,EM02134,804359,2021-07-29T00:00:00.000,1,3,28.0,0
5263496,EM26406,806116,2022-06-09T00:00:00.000,1,450,139.0,0
5310979,EN16479,43603,2023-01-11T00:00:00.000,1,558,277.0,0
5374698,EO09719,28028,2023-10-10T00:00:00.000,1,1571,279.0,0
5231769,DM00397,425622,2022-02-03T00:00:00.000,4,136-11,871.0,0
5241479,EM19272,66570,2022-03-10T00:00:00.000,2,789,393.0,0
5023388,EL06858,121528,2020-10-22T00:00:00.000,2,226,283.0,0
4988609,EL02110,209823,2020-08-08T00:00:00.000,3,2409,792.0,0
5132848,EL23575,213192,2021-05-18T00:00:00.000,3,3085,61004.0,0
5254390,EM23538,334375,2022-04-29T00:00:00.000,3,133,269.0,0
4981568,EL01325,284638,2020-07-28T00:00:00.000,3,888,970.0,0
4988169,DL00071,507427,2020-08-07T00:00:00.000,4,143-31,208.0,0
5382057,EO11778,808963,2023-10-30T00:00:00.000,3,1405,782.0,0
5349450,EO01807,373056,2023-07-20T00:00:00.000,3,2,241.0,0
5287028,DN00188,297216,2022-10-04T00:00:00.000,3,1065,227.0,0
5350197,EO02117,633173,2023-07-21T00:00:00.000,4,512,964.0,0
5403115,EO18891,79837,2024-01-08T00:00:00.000,2,4360,434.0,0
5271959,EN02147,60503,2022-07-21T00:00:00.000,2,2353,253.0,0
5159711,EM00920,41883,2021-07-13T00:00:00.000,1,133,232.0,0
4984550,EL01687,118980,2020-08-03T00:00:00.000,2,3209,372.0,0
5068617,EL13693,693458,2021-01-29T00:00:00.000,4,143-45,855.0,0
5102989,EL19288,5801,2021-03-29T00:00:00.000,1,2153,249.0,0
5302682,EN13579,248060,2022-12-08T00:00:00.000,3,1284,538.0,0
5216729,EM10470,117076,2021-11-16T00:00:00.000,2,2363,38301.0,0
5277001,EN03858,67070,2022-08-12T00:00:00.000,2,236,40501.0,0
4955328,EK25154,654186,2020-04-30T00:00:00.000,4,145-36,306.0,0
5376509,EO10401,885252,2023-10-16T00:00:00.000,4,112-02,381.0,0
4988728,EL02119,424497,2020-08-10T00:00:00.000,4,34-15,55.0,0
5302073,EN13360,373784,2022-12-07T00:00:00.000,3,1545,357.0,0
5027912,EL07415,89061,2020-11-03T00:00:00.000,2,1419,21302.0,0
5231752,DM00394,371279,2022-02-03T00:00:00.000,3,681,1132.0,0
5402376,EO18633,64090,2024-01-05T00:00:00.000,2,729,79.0,0
5278308,EN04426,222903,2022-08-18T00:00:00.000,3,515,199.0,0
4987908,EL02038,5836,2020-08-07T00:00:00.000,1,2304,261.0,0
4817368,EK02451,241800,2019-08-07T00:00:00.000,3,1493,442.0,0
4986688,EL01933,247557,2020-08-06T00:00:00.000,3,1970,558.0,0
5271147,EN01788,99948,2022-07-18T00:00:00.000,2,593,33.0,0
4955188,EK25140,126332,2020-04-29T00:00:00.000,2,1610,204.0,0
5243454,EM20009,43157,2022-03-18T00:00:00.000,1,709,255.0,0
5120069,EL21778,119640,2021-04-27T00:00:00.000,2,1088,185.0,0
5246997,EM21167,87861,2022-03-31T00:00:00.000,2,741,93.0,0
4988109,EL02055,29055,2020-08-07T00:00:00.000,1,84,263.0,0
5270264,EN01378,60336,2022-07-13T00:00:00.000,2,1933,359.0,0
5248149,EM21565,62216,2022-04-06T00:00:00.000,2,1441,211.0,0
5256358,EM24126,332220,2022-05-09T00:00:00.000,3,292,800.0,0
5299952,EN12739,21527,2022-11-29T00:00:00.000,1,97,285.0,0
5370669,EO08257,676757,2023-09-27T00:00:00.000,4,64-36,61301.0,0
4807069,EK01057,281981,2019-07-18T00:00:00.000,3,233,882.0,0
4980331,EL01181,26197,2020-07-26T00:00:00.000,1,55,273.0,0
5336619,EN27020,42537,2023-05-12T00:00:00.000,1,465,23501.0,0
5246990,EM21162,8160,2022-03-31T00:00:00.000,1,3900,245.0,0
5380391,EO11385,48245,2023-10-25T00:00:00.000,2,1991,395.0,0
2605407,EB15520,42019,2010-11-22T00:00:00.000,1,225,234.0,0
5401150,EO18198,812538,2024-01-02T00:00:00.000,5,260,4003.0,0
5350196,EO02116,694083,2023-07-21T00:00:00.000,4,7-11,101002.0,0
5228749,DM00361,366702,2022-01-24T00:00:00.000,3,127,413.0,0
5298709,DN00265,23447,2022-11-22T00:00:00.000,1,186,200.0,0
4985268,EL01760,297545,2020-08-04T00:00:00.000,3,1593,273.0,0
5305931,EN14672,104356,2022-12-21T00:00:00.000,2,1451,151.0,0
5271174,EN01794,121212,2022-07-18T00:00:00.000,2,69,251.0,0
5077612,EL15293,684673,2021-02-13T00:00:00.000,4,147-15,1163.0,0
5266492,EM27523,374870,2022-06-28T00:00:00.000,3,575,221.0,0
5280809,EN05652,60500,2022-09-02T00:00:00.000,2,2344,239.0,0
5272679,EN02302,335825,2022-07-25T00:00:00.000,3,333,441.0,0
4956486,EK25430,706059,2020-05-05T00:00:00.000,4,68-12,71303.0,0
5273079,EN02513,120666,2022-07-26T00:00:00.000,2,2735,40502.0,0
4956441,EK25398,806197,2020-05-05T00:00:00.000,2,1892,23301.0,0
5246510,EM21001,576299,2022-03-29T00:00:00.000,4,90-16,462.0,0
5381828,EO11718,79847,2023-10-30T00:00:00.000,2,4382,434.0,0
5263773,EM26548,109910,2022-06-11T00:00:00.000,2,756,372.0,0
4956443,EK25400,58962,2020-05-05T00:00:00.000,2,628,67.0,0
5216389,EM10290,91591,2021-11-15T00:00:00.000,2,1460,21601.0,0
5303423,EN13775,506654,2022-12-12T00:00:00.000,4,26-49,361.0,0
5257251,EM24439,163984,2022-05-12T00:00:00.000,3,2235,436.0,0
5283639,EN06662,108628,2022-09-19T00:00:00.000,2,1515,225.0,0
4988768,EL02125,150096,2020-08-10T00:00:00.000,3,1636,478.0,0
5227963,EM15249,327112,2022-01-20T00:00:00.000,3,1787,1132.0,0
5355228,DO00065,1009703,2023-08-08T00:00:00.000,2,211,23702.0,0
5252211,DM00527,999504,2022-04-21T00:00:00.000,4,161-22 GARAG,,0
5251310,EM22582,294967,2022-04-19T00:00:00.000,3,402,46201.0,0
5259636,EM24981,54200,2022-05-19T00:00:00.000,2,2037,300.0,0
5246471,EM20991,249525,2022-03-29T00:00:00.000,3,280,51002.0,0
5270258,EN01372,116839,2022-07-13T00:00:00.000,2,1738,21502.0,0
5271571,EN01967,365034,2022-07-19T00:00:00.000,3,986,882.0,0
4980488,EL01197,287492,2020-07-27T00:00:00.000,3,1018,353.0,0
5314762,EN18023,25929,2023-01-27T00:00:00.000,1,192,291.0,0
5271170,EN01791,81902,2022-07-18T00:00:00.000,2,2917,40701.0,0
5225338,EM14026,577067,2022-01-05T00:00:00.000,4,106-24,440.0,0
5381099,EO11581,891147,2023-10-27T00:00:00.000,2,1055,189.0,0
5259656,EM24991,283221,2022-05-19T00:00:00.000,3,279,886.0,0
5402375,EO18632,73965,2024-01-05T00:00:00.000,2,2414,204.0,0
