omonumber,latitude,longitude,omoawarddate,zip,lifecycle,servicechargeflag,omostatusreason,femaeventid
EN04896,40.860402,-73.905843,2022-09-09T00:00:00.000,10468.0,Standing Building,True,No Access,
EL01943,40.635808,-73.95831,2020-08-10T00:00:00.000,11230.0,Standing Building,False,Work Rejected,
EL01687,40.871564,-73.864272,2020-08-10T00:00:00.000,10467.0,Standing Building,False,OMO Completed,
EO30866,40.779462,-73.985803,2024-05-09T00:00:00.000,10023.0,Standing Building,True,Landlord Complied,
EN03858,40.868641,-73.890285,2022-08-17T00:00:00.000,10458.0,Standing Building,False,OMO Completed,
EO01643,40.575868,-73.968639,2023-08-02T00:00:00.000,11235.0,Standing Building,True,Landlord Complied,
EO02140,40.638882,-73.943921,2023-08-02T00:00:00.000,11210.0,Standing Building,True,Work Not Started,
EO02116,40.595996,-73.742187,2023-08-02T00:00:00.000,11691.0,Standing Building,False,OMO Completed,
EL02052,40.836135,-73.942078,2020-08-27T00:00:00.000,10032.0,Standing Building,True,Landlord Complied,
EM24981,40.853905,-73.827556,2022-08-18T00:00:00.000,10461.0,Standing Building,False,Work Partially Completed,
EK25393,40.831562,-73.894856,2020-05-13T00:00:00.000,10459.0,Standing Building,True,Owner Refused Access,
EL16320,40.84354,-73.941847,2021-03-09T00:00:00.000,10032.0,Standing Building,True,No Access,
EM21565,40.843189,-73.922963,2022-04-14T00:00:00.000,10452.0,Standing Building,False,OMO Completed,
EM18287,40.639516,-74.114279,2022-04-14T00:00:00.000,10310.0,Standing Building,True,No Access,
EM23538,40.681304,-73.941289,2022-04-30T00:00:00.000,11216.0,Standing Building,False,OMO Completed,
EN01794,40.857911,-73.907076,2022-09-24T00:00:00.000,10453.0,Standing Building,True,No Access,
EM02727,40.653911,-73.953804,2021-08-12T00:00:00.000,11226.0,Standing Building,False,Work Not Started,
EO10064,40.847708,-73.913484,2024-01-30T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EL07415,40.841653,-73.920446,2020-12-21T00:00:00.000,10452.0,Standing Building,False,OMO Completed,
EN17676,40.850131,-73.933893,2023-04-20T00:00:00.000,10033.0,Standing Building,False,OMO Completed,
EN05652,40.859887,-73.904131,2022-09-07T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EM27484,40.671784,-73.952833,2022-07-14T00:00:00.000,11216.0,Standing Building,False,OMO Completed,
EO07374,40.612677,-74.083078,2024-01-23T00:00:00.000,10304.0,Standing Building,False,OMO Completed,
EN13579,40.619284,-73.956411,2022-12-14T00:00:00.000,11230.0,Standing Building,True,No Access,
EO10821,40.849329,-73.890233,2023-11-01T00:00:00.000,10457.0,Standing Building,False,OMO Completed,
EM20713,40.853589,-73.898504,2022-04-05T00:00:00.000,10457.0,Standing Building,True,Owner Refused Access,
EO10816,40.836789,-73.864335,2023-11-01T00:00:00.000,10460.0,Standing Building,False,OMO Completed,
EO09624,40.742573,-73.866682,2023-11-01T00:00:00.000,11368.0,Standing Building,False,Work Partially Completed,
EO02117,40.595485,-73.795398,2023-08-02T00:00:00.000,11692.0,Standing Building,False,OMO Completed,
EM24974,40.854382,-73.861856,2022-07-12T00:00:00.000,10462.0,Standing Building,False,OMO Completed,
EM24991,40.659186,-73.922058,2022-08-30T00:00:00.000,11212.0,Standing Building,False,Condition Different than Stated,
EO11581,40.834382,-73.929554,2023-11-01T00:00:00.000,10452.0,Standing Building,True,No Access,
EM22582,40.629055,-73.973496,2022-07-12T00:00:00.000,11230.0,Standing Building,False,OMO Completed,
EM26827,40.861533,-73.906023,2022-07-12T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EM07898,40.803414,-73.958006,2021-11-06T00:00:00.000,10026.0,Standing Building,False,OMO Completed,
EO08654,40.660225,-73.881862,2023-11-01T00:00:00.000,11207.0,Standing Building,False,OMO Completed,
EO10288,40.871679,-73.886465,2023-11-01T00:00:00.000,10458.0,Standing Building,False,OMO Completed,
EL01126,40.840838,-73.910309,2020-08-10T00:00:00.000,10457.0,Standing Building,True,Work Done by Others,
EK01284,40.76812,-73.931682,2019-11-08T00:00:00.000,11106.0,Standing Building,True,No Access,
EO10065,40.853172,-73.898664,2024-01-30T00:00:00.000,10457.0,Standing Building,False,OMO Completed,
EK25400,40.818459,-73.918671,2020-05-13T00:00:00.000,10451.0,Standing Building,True,No Access,
EK22726,40.620361,-74.136392,2020-03-12T00:00:00.000,10314.0,Standing Building,True,No Access,
EL01197,40.668992,-73.934811,2020-08-10T00:00:00.000,11213.0,Standing Building,False,OMO Completed,
EM27549,40.708152,-73.939931,2022-07-09T00:00:00.000,11206.0,Standing Building,False,Work Not Started,
EL02125,40.633786,-73.98102,2020-08-10T00:00:00.000,11204.0,Standing Building,False,OMO Completed,
DM00394,40.65819,-73.898124,2022-03-09T00:00:00.000,11207.0,Standing Building,False,OMO Completed,
EM21167,40.81558,-73.886933,2022-04-14T00:00:00.000,10474.0,Standing Building,True,No Access,
EL21778,40.828409,-73.908494,2021-07-21T00:00:00.000,10456.0,Standing Building,False,OMO Completed,
EM03936,40.78444,-73.951988,2021-11-06T00:00:00.000,10128.0,Standing Building,False,OMO Completed,
EL15293,40.765183,-73.819104,2021-04-03T00:00:00.000,11354.0,Standing Building,False,OMO Completed,
EL02110,40.644793,-73.954578,2020-08-10T00:00:00.000,11226.0,Standing Building,False,OMO Completed,
EK25140,40.839176,-73.850142,2020-04-30T00:00:00.000,10462.0,Standing Building,False,OMO Completed,
EK01057,40.659509,-73.924876,,11212.0,Standing Building,False,Other,
DN00022,40.687747,-73.819162,2022-11-21T00:00:00.000,11419.0,Standing Building,False,OMO Completed,
EN04707,40.84878,-73.907913,2022-08-30T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EL01325,40.648017,-73.906903,2020-08-10T00:00:00.000,11236.0,Standing Building,False,OMO Completed,
DM00603,40.627768,-73.944157,2022-11-21T00:00:00.000,11210.0,Standing Building,False,OMO Completed,
EL13693,40.758515,-73.822002,2021-04-03T00:00:00.000,11355.0,Standing Building,False,OMO Completed,
EM24126,40.660777,-73.95132,2022-06-01T00:00:00.000,11225.0,Standing Building,True,Owner Refused Access,
EK25398,40.849197,-73.908169,2020-05-13T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EN01788,40.808992,-73.91464,2022-09-24T00:00:00.000,10454.0,Standing Building,True,No Access,
EM07394,40.575868,-73.968639,2021-10-23T00:00:00.000,11235.0,Standing Building,False,OMO Completed,
EO10476,40.843191,-73.888393,2024-01-30T00:00:00.000,10460.0,Standing Building,False,OMO Completed,
EM21082,40.592673,-73.799249,2022-04-21T00:00:00.000,11692.0,Standing Building,False,OMO Completed,
EL08286,40.668409,-73.759808,2020-12-01T00:00:00.000,11413.0,Standing Building,False,OMO Completed,
EO10401,40.758043,-73.857569,2023-11-01T00:00:00.000,11368.0,Standing Building,True,Owner Refused Access,
DM00373,40.761251,-73.991398,2022-07-05T00:00:00.000,10036.0,Standing Building,False,OMO Completed,
EM14312,40.684254,-73.941687,2022-01-12T00:00:00.000,11221.0,Standing Building,True,No Access,
EO08361,40.828169,-73.940567,2024-01-30T00:00:00.000,10031.0,Standing Building,False,OMO Completed,
EM24439,40.614481,-73.979336,2022-07-12T00:00:00.000,11204.0,Standing Building,True,No Access,
EO11571,40.882479,-73.880859,2023-11-01T00:00:00.000,10467.0,Standing Building,False,OMO Completed,
