bin,community_board
3097330.0,5.0
2014626.0,7.0
2013359.0,5.0
4009476.0,1.0
1062622.0,12.0
2012703.0,6.0
1060684.0,10.0
3057256.0,2.0
3032896.0,9.0
4023883.0,3.0
2017207.0,7.0
2023546.0,9.0
4218721.0,12.0
4193470.0,9.0
2013094.0,6.0
2056280.0,12.0
1064399.0,12.0
1083144.0,3.0
2049416.0,11.0
4217949.0,12.0
2000330.0,1.0
4075086.0,6.0
4449505.0,3.0
1060595.0,10.0
3011985.0,7.0
4088048.0,5.0
2003672.0,1.0
3228689.0,18.0
3031904.0,8.0
3053382.0,3.0
1061183.0,9.0
2056265.0,12.0
2001660.0,1.0
2069897.0,12.0
2114115.0,6.0
3071161.0,1.0
2051337.0,11.0
3058025.0,2.0
1064190.0,12.0
3018345.0,12.0
1063940.0,12.0
1053233.0,10.0
4281113.0,12.0
2011442.0,6.0
3105042.0,17.0
3057555.0,2.0
2014646.0,7.0
5001620.0,1.0
3180704.0,14.0
3196598.0,13.0
3011896.0,7.0
3075761.0,4.0
1013027.0,4.0
4472577.0,4.0
3115014.0,9.0
2092173.0,6.0
2047775.0,10.0
2016634.0,7.0
2014256.0,7.0
3113113.0,17.0
2017043.0,7.0
3049601.0,3.0
2014522.0,5.0
2017789.0,7.0
1061612.0,9.0
3196929.0,15.0
3170298.0,14.0
2071915.0,12.0
3245643.0,13.0
2007622.0,5.0
5004464.0,1.0
1062824.0,12.0
2028308.0,9.0
4113238.0,7.0
2042268.0,10.0
3099890.0,17.0
2008226.0,5.0
2015134.0,7.0
1063417.0,12.0
2007634.0,5.0
4042880.0,3.0
4040559.0,4.0
1064716.0,12.0
1026462.0,4.0
1060668.0,10.0
3130618.0,12.0
3207227.0,18.0
3085924.0,5.0
4112482.0,7.0
2010432.0,3.0
1064870.0,12.0
3037375.0,8.0
2015139.0,7.0
2051220.0,11.0
3037516.0,9.0
3117147.0,14.0
1055821.0,10.0
3174042.0,12.0
3327545.0,17.0
4303164.0,14.0
2015035.0,5.0
4005944.0,1.0
2001283.0,3.0
2016384.0,7.0
3064045.0,1.0
3079243.0,4.0
4298968.0,14.0
4209762.0,12.0
3208312.0,14.0
4217949.0,12.0
2013823.0,7.0
2007821.0,4.0
2056274.0,12.0
2014265.0,7.0
2013582.0,5.0
1064011.0,12.0
1063823.0,12.0
4302608.0,14.0
2016178.0,8.0
3043647.0,3.0
2028308.0,9.0
1063417.0,12.0
5109255.0,1.0
4035855.0,3.0
3172174.0,11.0
,
3255315.0,8.0
3117147.0,14.0
3324277.0,5.0
2048981.0,11.0
5106237.0,1.0
4285491.0,13.0
2008835.0,5.0
4114712.0,7.0
2008835.0,5.0
2009825.0,3.0
2042070.0,10.0
1048411.0,8.0
1063572.0,12.0
3030616.0,8.0
2017414.0,7.0
1062924.0,12.0
3155638.0,10.0
2013037.0,6.0
4087906.0,5.0
1081709.0,4.0
3327225.0,17.0
2017599.0,7.0
4032965.0,3.0
3070672.0,1.0
4002516.0,2.0
2095196.0,6.0
3063312.0,1.0
2115017.0,4.0
3100535.0,17.0
4051279.0,6.0
1060186.0,10.0
1053322.0,10.0
2008651.0,4.0
4204520.0,10.0
3117904.0,17.0
2014609.0,7.0
2008361.0,5.0
1062662.0,12.0
4303193.0,14.0
4006095.0,1.0
2014962.0,7.0
3116652.0,17.0
2009249.0,5.0
3121385.0,14.0
1030942.0,7.0
2130664.0,6.0
2004775.0,1.0
1063171.0,12.0
2003389.0,4.0
3085987.0,5.0
5011660.0,1.0
2112841.0,7.0
5106237.0,1.0
1060502.0,10.0
2006531.0,2.0
2007821.0,4.0
4214160.0,12.0
3196598.0,13.0
,
3101204.0,17.0
2005248.0,2.0
2013304.0,5.0
2018585.0,7.0
3393931.0,4.0
2055596.0,12.0
2097289.0,5.0
3155532.0,10.0
2013573.0,5.0
3126369.0,12.0
2014543.0,7.0
4003853.0,1.0
3052084.0,3.0
2069896.0,12.0
3047699.0,3.0
