summons_number,summons_image,payment_amount,penalty_amount,violation_time,license_type,precinct,issuing_agency,interest_amount
4647471883,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdjMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,11:05A,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
8151062873,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRk1VMVVRVEpOYW1jelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",178.99,60.0,10:02P,PAS,90.0,TRAFFIC,4.21
5093530487,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMTZWWHBOUkZFMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",77.77,25.0,08:59A,PAS,0.0,DEPARTMENT OF TRANSPORTATION,2.84
7031866534,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYWxWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",97.77,60.0,01:58P,PAS,48.0,TRAFFIC,2.89
8328525409,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVVOUVWWGxPVkZGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",121.11,60.0,05:36P,PAS,25.0,TRAFFIC,1.32
8286521523,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkZWNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",115.0,0.0,08:47A,PAS,18.0,TRAFFIC,0.0
5093532721,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMTZWWHBOYW1ONVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",77.62,25.0,11:40A,PAS,0.0,DEPARTMENT OF TRANSPORTATION,2.64
8752766421,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPYWxGNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",35.0,0.0,04:07P,PAS,106.0,TRAFFIC,0.0
4644236380,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNUVTWHBPYWswMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",50.0,0.0,01:14P,PAS,0.0,DEPARTMENT OF TRANSPORTATION,0.0
8622990709,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZOUkdOM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",75.0,30.0,11:13A,PAS,20.0,TRAFFIC,0.0
