building_id,boro_short_name,vacate_effective_date
16875,MN,2017-03-10T00:00:00.000
228094,BK,2014-04-29T00:00:00.000
557656,QN,2016-12-15T00:00:00.000
95026,BX,2013-07-24T00:00:00.000
25928,MN,2020-08-05T00:00:00.000
798310,SI,2018-05-08T00:00:00.000
99869,BX,2017-08-31T00:00:00.000
374367,BK,2015-10-28T00:00:00.000
248789,BK,2012-01-05T00:00:00.000
693429,QN,2012-06-21T00:00:00.000
387055,BK,2012-08-17T00:00:00.000
661475,QN,2013-04-04T00:00:00.000
811858,QN,2020-07-02T00:00:00.000
336983,BK,2019-07-02T00:00:00.000
349532,BK,2013-03-04T00:00:00.000
604369,QN,2020-11-17T00:00:00.000
301949,BK,2013-04-04T00:00:00.000
79588,BX,2018-02-02T00:00:00.000
657199,QN,2021-05-18T00:00:00.000
809024,BK,2018-01-09T00:00:00.000
529372,QN,2024-09-30T00:00:00.000
262330,BK,2020-04-01T00:00:00.000
533142,QN,2013-09-30T00:00:00.000
55768,BX,2017-11-17T00:00:00.000
845268,QN,2017-10-26T00:00:00.000
80075,BX,2012-10-11T00:00:00.000
226351,BK,2018-08-16T00:00:00.000
789516,SI,2015-07-03T00:00:00.000
158713,BK,2020-01-27T00:00:00.000
694083,QN,2014-12-02T00:00:00.000
69025,BX,2016-12-15T00:00:00.000
588333,QN,2022-02-25T00:00:00.000
347977,BK,2023-12-05T00:00:00.000
544464,QN,2013-07-03T00:00:00.000
279192,BK,2019-07-31T00:00:00.000
553507,QN,2021-01-21T00:00:00.000
119048,BX,2022-09-30T00:00:00.000
33524,MN,2018-05-10T00:00:00.000
588472,QN,2021-11-08T00:00:00.000
626005,QN,2021-07-30T00:00:00.000
955508,BX,2014-08-20T00:00:00.000
278455,BK,2017-05-03T00:00:00.000
450127,QN,2020-08-25T00:00:00.000
806247,BX,2023-07-14T00:00:00.000
362534,BK,2014-08-06T00:00:00.000
676117,QN,2017-02-15T00:00:00.000
342120,BK,2021-02-09T00:00:00.000
6138,MN,2018-06-21T00:00:00.000
67365,BX,2013-05-01T00:00:00.000
299511,BK,2023-05-05T00:00:00.000
665679,QN,2022-05-25T00:00:00.000
82036,BX,2013-06-06T00:00:00.000
41111,MN,2021-09-08T00:00:00.000
501915,QN,2017-01-13T00:00:00.000
398026,BK,2023-03-27T00:00:00.000
119312,BX,2015-03-17T00:00:00.000
503264,QN,2018-06-19T00:00:00.000
537347,QN,2023-08-08T00:00:00.000
80075,BX,2014-03-10T00:00:00.000
381018,BK,2014-07-24T00:00:00.000
43065,MN,2017-06-08T00:00:00.000
348810,BK,2019-05-29T00:00:00.000
81996,BX,2015-09-16T00:00:00.000
26850,MN,2013-07-26T00:00:00.000
81866,BX,2015-10-28T00:00:00.000
950531,SI,2014-01-27T00:00:00.000
28187,MN,2019-05-10T00:00:00.000
267635,BK,2024-02-27T00:00:00.000
95438,BX,2021-08-10T00:00:00.000
44729,BX,2024-09-16T00:00:00.000
67547,BX,2018-02-23T00:00:00.000
640696,QN,2022-02-22T00:00:00.000
618478,QN,2012-02-28T00:00:00.000
781609,SI,2014-09-03T00:00:00.000
305198,BK,2014-07-16T00:00:00.000
2700,MN,2020-05-21T00:00:00.000
362915,BK,2022-04-06T00:00:00.000
4175,MN,2013-05-15T00:00:00.000
286430,BK,2012-06-14T00:00:00.000
558703,QN,2024-08-30T00:00:00.000
394585,BK,2020-04-09T00:00:00.000
761801,SI,2015-08-10T00:00:00.000
516269,QN,2015-12-14T00:00:00.000
51799,BX,2014-03-10T00:00:00.000
439655,QN,2022-11-02T00:00:00.000
967566,BX,2024-03-04T00:00:00.000
804791,MN,2018-05-10T00:00:00.000
69064,BX,2014-01-15T00:00:00.000
124403,BX,2014-10-10T00:00:00.000
70794,BX,2022-05-13T00:00:00.000
661181,QN,2024-05-16T00:00:00.000
97403,BX,2024-10-16T00:00:00.000
81868,BX,2022-01-24T00:00:00.000
284712,BK,2023-01-24T00:00:00.000
357418,BK,2013-06-18T00:00:00.000
526940,QN,2014-09-30T00:00:00.000
68316,BX,2017-12-12T00:00:00.000
65222,BX,2014-02-26T00:00:00.000
548080,QN,2013-03-07T00:00:00.000
373443,BK,2014-05-16T00:00:00.000
514456,QN,2012-05-03T00:00:00.000
22792,MN,2023-11-17T00:00:00.000
253669,BK,2014-02-06T00:00:00.000
232353,BK,2024-07-09T00:00:00.000
833361,BX,2020-09-01T00:00:00.000
612013,QN,2022-11-15T00:00:00.000
233405,BK,2023-09-06T00:00:00.000
409431,QN,2019-03-14T00:00:00.000
141830,BK,2013-09-13T00:00:00.000
245243,BK,2012-07-24T00:00:00.000
100827,BX,2014-01-31T00:00:00.000
702795,QN,2024-01-26T00:00:00.000
75970,BX,2019-09-27T00:00:00.000
310604,BK,2022-02-08T00:00:00.000
422496,QN,2022-04-29T00:00:00.000
