latitude,longitude,nta,primary_vacate_reason
40.776752,-73.959081,Upper East Side-Carnegie Hill,Fire Damage
40.596999,-73.998333,Gravesend (West),Fire Damage
40.765867,-73.819586,Murray Hill-Broadway Flushing,Fire Damage
40.869907,-73.862449,Allerton,Illegal Occupancy
40.861829,-73.924124,Inwood,Fire Damage
40.605063,-74.070615,Rosebank-Shore Acres-Park Hill,Illegal Occupancy
40.819545,-73.86738699999998,Soundview-Clason Point,Fire Damage
40.674061,-73.929175,Crown Heights (North),Fire Damage
40.651819,-73.96029299999998,Flatbush,Fire Damage
40.755485,-73.831323,Flushing-Willets Point,Fire Damage
40.695377,-73.94269699999998,Bedford-Stuyvesant (East),Illegal Occupancy
40.74666,-73.882113,Elmhurst,Fire Damage
40.592069,-73.78671699999998,Rockaway Beach-Arverne-Edgemere,Fire Damage
40.660028,-73.95216,Prospect Lefferts Gardens-Wingate,Illegal Occupancy
40.677566,-73.94800499999998,Crown Heights (North),Fire Damage
40.713232,-73.742643,Queens Village,Illegal Occupancy
40.705532,-73.94292,East Williamsburg,Fire Damage
40.83152,-73.872065,Soundview-Bruckner-Bronx River,Illegal Occupancy
40.737584,-73.795832,Fresh Meadows-Utopia,Habitability
40.659256,-73.950488,Prospect Lefferts Gardens-Wingate,Illegal Occupancy
40.682756,-73.792181,Baisley Park,Illegal Occupancy
40.63073,-73.938761,Flatlands,Illegal Occupancy
40.678719,-73.79107999999998,Baisley Park,Illegal Occupancy
40.816478,-73.909699,Melrose,Fire Damage
40.738259,-73.921587,Sunnyside,Fire Damage
40.833211,-73.921576,Concourse-Concourse Village,Fire Damage
40.689374,-73.91631099999998,Bushwick (East),Illegal Occupancy
40.644583,-74.093351,St. George-New Brighton,Illegal Occupancy
40.644987,-74.019199,Sunset Park (West),Illegal Occupancy
40.595996,-73.742187,Far Rockaway-Bayswater,Fire Damage
40.884088,-73.861776,Williamsbridge-Olinville,Habitability
40.695507,-73.75662699999998,St. Albans,Illegal Occupancy
40.615623,-73.96885799999998,Mapleton-Midwood (West),Fire Damage
40.677636,-73.76587499999998,Springfield Gardens (North)-Rochdale Village,Illegal Occupancy
40.628588,-73.89929999999998,Canarsie,Illegal Occupancy
40.660195,-73.739012,Rosedale,Illegal Occupancy
40.840814,-73.915062,Mount Eden-Claremont (West),Fire Damage
40.762261,-73.991889,Hell's Kitchen,Illegal Occupancy
40.761086,-73.7861,Auburndale,Illegal Occupancy
40.744858,-73.706179,Glen Oaks-Floral Park-New Hyde Park,Illegal Occupancy
40.881161,-73.863095,Williamsbridge-Olinville,Habitability
40.634903,-73.907578,Canarsie,Illegal Occupancy
40.698362,-73.894806,Glendale,Habitability
40.861915,-73.906919,University Heights (North)-Fordham,Fire Damage
40.676739,-73.91090099999998,Ocean Hill,Illegal Occupancy
40.681752,-73.783513,Baisley Park,Illegal Occupancy
40.577088,-74.00133599999998,Coney Island-Sea Gate,Illegal Occupancy
40.864107,-73.928539,Washington Heights (North),Fire Damage
40.871601,-73.877263,Norwood,Fire Damage
40.687066,-73.94328899999998,Bedford-Stuyvesant (West),Fire Damage
40.735121,-73.86176,Corona,Fire Damage
40.831524,-73.916201,Concourse-Concourse Village,Fire Damage
40.816312,-73.940155,Harlem (North),Fire Damage
40.726746,-73.730973,Bellerose,Illegal Occupancy
40.653708,-73.96271,Flatbush,Fire Damage
40.825104,-73.87645999999998,Soundview-Bruckner-Bronx River,Fire Damage
40.683465,-73.847488,Ozone Park (North),Illegal Occupancy
40.699367,-73.826841,Richmond Hill,Illegal Occupancy
40.833211,-73.921576,Concourse-Concourse Village,Fire Damage
40.705718,-73.926877,East Williamsburg,Fire Damage
40.838191,-73.937179,Washington Heights (South),Fire Damage
40.580057,-74.009608,Coney Island-Sea Gate,Illegal Occupancy
40.835643,-73.91771699999998,Concourse-Concourse Village,Fire Damage
