summons_number,plate_id,vehicle_color,street_code3,date_first_observed,sub_division,unregistered_vehicle,vehicle_make,vehicle_expiration_date,issuer_squad,issue_date
1442480798,HLW1964,BLACK,48330,0,D1,0,DODGE,20180912,0,2018-07-16T00:00:00.000
1442486119,GMJ6726,WHITE,47130,0,D1,0,LEXUS,20180930,0,2018-07-09T00:00:00.000
1442485243,HDG7098,GREEN,31530,0,D1,0,HONDA,20191201,0,2018-07-17T00:00:00.000
1442481626,GTT3487,WHITE,68630,0,D1,0,CHRYS,20190120,0,2018-07-16T00:00:00.000
1442484410,GDF5058,SILVE,93230,0,D1,0,NISSA,20181110,0,2018-07-13T00:00:00.000
1442484202,GTM4351,GRY,44530,0,D1,0,NISSA,20180829,0,2018-07-13T00:00:00.000
1442484123,HEA7224,GY,69230,0,D1,0,TOYOT,20200313,0,2018-07-17T00:00:00.000
1442480981,GSV3286,WHITE,58630,0,D1,0,NISSA,20181006,0,2018-07-16T00:00:00.000
1442482990,GHS2404,BLACK,55130,0,D1,0,TOYOT,20190813,0,2018-07-19T00:00:00.000
1442484214,HYU1240,BLK,58970,0,D1,0,BMW,20200408,0,2018-07-13T00:00:00.000
1442486338,HFH4683,GRAY,93230,0,D1,0,TOYOT,20200622,0,2018-07-13T00:00:00.000
1442480506,HYH2162,BLUE,73380,0,D1,0,MITSU,20200228,0,2018-07-13T00:00:00.000
1442484524,GUU8109,GREY,54130,0,D1,0,HONDA,20190705,0,2018-07-19T00:00:00.000
1442482655,GDN7568,,19830,0,D1,0,CHRYS,20181220,0,2018-07-19T00:00:00.000
1442480555,HYV2225,WHITE,34330,0,D1,0,HYUND,20200309,0,2018-07-17T00:00:00.000
1442484330,HKJ8434,GRY,57570,0,D1,0,CHEVR,20180915,0,2018-07-18T00:00:00.000
1442481780,GVA9029,BLACK,83430,0,D1,0,ME/BE,20190203,0,2018-07-17T00:00:00.000
1442484329,GMF2837,GRY,57570,0,D1,0,AUDI,20200223,0,2018-07-18T00:00:00.000
1442486375,HRA7345,WHITE,54130,0,D1,0,SUBAR,20190702,0,2018-07-16T00:00:00.000
1442483040,HNJ4693,BLACK,19830,0,D1,0,BMW,20190312,0,2018-07-19T00:00:00.000
1442485413,HZH1662,BLACK,93230,0,D1,0,NISSA,20200427,0,2018-07-20T00:00:00.000
1442486351,GYU6251,BLUE,31530,0,D1,0,TOYOT,20190622,0,2018-07-13T00:00:00.000
1442481870,HXE5641,SILVE,50830,0,D1,0,HYUND,20191218,0,2018-07-17T00:00:00.000
1442483039,HUH6034,WHITE,73380,0,D1,0,HONDA,20200305,0,2018-07-19T00:00:00.000
1442480828,GSL3831,BLACK,57230,0,D1,0,HONDA,20180814,0,2018-07-16T00:00:00.000
1442486260,GGB4755,,40404,0,D1,0,TOYOT,20190323,0,2018-07-12T00:00:00.000
1442486326,GZY4822,BLACK,93230,0,D1,0,TOYOT,20190915,0,2018-07-13T00:00:00.000
1442485991,HZV9040,WHITE,26730,0,D1,0,DODGE,20200430,0,2018-07-09T00:00:00.000
1442481511,HTB9460,SILVE,13430,0,D1,0,NISSA,20190622,0,2018-07-17T00:00:00.000
1442483430,HVN1661,WH,69230,0,D1,0,HYUND,20191030,0,2018-07-18T00:00:00.000
1442483260,GWM1593,SILVE,57230,0,D1,0,LEXUS,20190311,0,2018-07-19T00:00:00.000
1442485218,HKM6982,WHITE,31530,0,D1,0,SMART,20180930,0,2018-07-17T00:00:00.000
1442482497,HNP1949,BLACK,18830,0,D1,0,AUDI,20190117,0,2018-07-19T00:00:00.000
1442482436,HHU8180,WHITE,68630,0,D1,0,DODGE,20180726,0,2018-07-19T00:00:00.000
1442484688,HMT9654,BLK,30230,0,D1,0,JAGUA,20181209,0,2018-07-20T00:00:00.000
1442485255,HNJ2063,BLUE,31530,0,D1,0,DODGE,20190102,0,2018-07-17T00:00:00.000
1442486340,HRT9183,GRAY,93230,0,D1,0,GMC,20190504,0,2018-07-13T00:00:00.000
1442485358,GZY4822,BLACK,31530,0,D1,0,TOYOT,20190915,0,2018-07-19T00:00:00.000
1442481043,HYY5924,BLACK,13430,0,D1,0,TOYOT,20190930,0,2018-07-16T00:00:00.000
1442483799,HYB1810,GY,0,0,D1,0,NISSA,20200305,0,2018-07-13T00:00:00.000
1442485334,HBM7289,BLUE,31530,0,D1,0,AUDI,20191027,0,2018-07-19T00:00:00.000
1442481766,HLB4101,SILVE,65130,0,D1,0,HONDA,20181117,0,2018-07-16T00:00:00.000
1442481330,HRC4509,SILVE,53935,0,D1,0,KIA,20190402,0,2018-07-16T00:00:00.000
1442481651,KMC4113,TAN,68630,0,D1,0,INFIN,0,0,2018-07-16T00:00:00.000
1442481262,HYX8506,BLUE,18830,0,D1,0,DODGE,20200423,0,2018-07-16T00:00:00.000
1442484597,HDY6571,GRY,60630,0,D1,0,FORD,20200515,0,2018-07-18T00:00:00.000
1442484494,GPT6451,BLUE,31530,0,D1,0,LEXUS,20200729,0,2018-07-13T00:00:00.000
1442481225,GHSV85,GREY,74730,0,D1,0,NISSA,0,0,2018-07-16T00:00:00.000
1442485929,HMJ4208,GRAY,54130,0,D1,0,HONDA,20190302,0,2018-07-09T00:00:00.000
1442483003,HNJ4549,BLACK,55130,0,D1,0,MITSU,0,0,2018-07-19T00:00:00.000
1442483829,HKF8928,GY,0,0,D1,0,CHRYS,20181019,0,2018-07-13T00:00:00.000
1442484433,KPK8786,BLK,31530,0,D1,0,FORD,0,0,2018-07-13T00:00:00.000
1442485231,HHY9468,BLACK,31530,0,D1,0,AUDI,20181122,0,2018-07-17T00:00:00.000
1442486077,HHA7231,BLACK,43330,0,D1,0,AUDI,20200609,0,2018-07-09T00:00:00.000
1442486387,GRN7949,GRAY,54130,0,D1,0,VOLKS,20200718,0,2018-07-16T00:00:00.000
1442484445,GVL4099,BLUE,31530,0,D1,0,FORD,20181229,0,2018-07-13T00:00:00.000
1442484184,HTL8393,BLUE,85630,0,D1,0,TOYOT,20190808,0,2018-07-13T00:00:00.000
1442486314,GTP1415,GREEN,93230,0,D1,0,FIAT,20180914,0,2018-07-13T00:00:00.000
1442480415,KPB2420,RED,74730,0,D1,0,HONDA,0,0,2018-07-13T00:00:00.000
1442485796,HTV5724,WHITE,24730,0,D1,0,CHEVR,20180930,0,2018-07-05T00:00:00.000
1442485966,HDV5133,GREY,31530,0,D1,0,LEXUS,20200301,0,2018-07-09T00:00:00.000
1442480427,KTN9364,BLACK,72030,0,D1,0,BMW,0,0,2018-07-13T00:00:00.000
1442484408,GTD6680,SILVE,31530,0,D1,0,HONDA,20180721,0,2018-07-13T00:00:00.000
1442484550,HPU7424,GREY,54130,0,D1,0,LEXUS,20190530,0,2018-07-19T00:00:00.000
1442483787,GKE9085,BL,0,0,D1,0,BMW,20190826,0,2018-07-13T00:00:00.000
1442481304,HTN5938,SILVE,82230,0,D1,0,VOLKS,20190831,0,2018-07-16T00:00:00.000
1442483921,HYB6766,RD,0,0,D1,0,FORD,20200622,0,2018-07-16T00:00:00.000
