summons_number,violation_time,street_name,days_parking_in_effect,plate_type,violation_county,to_hours_in_effect,issuing_agency,intersecting_street,house_number,violation_location,issuer_command,from_hours_in_effect,registration_state,violation_in_front_of_or,law_section,meter_number
1442480567,0936A,ROCKAWAY AVENUE,BYBBYBB,PAS,K,1030A,S,,666,73.0,KN16,0900A,NY,F,408,-
1442482400,0808A,PITKIN AVE,YYYYYYB,PAS,K,0830A,S,,1630,73.0,KN16,0800A,NY,F,408,-
1442479759,1157A,HERZL ST,BYBBYBB,PAS,K,0100P,S,,343,73.0,KN16,1130A,NY,F,408,-
1442483167,1140A,LIVONIA AVENUE,BYBBYBB,PAS,K,0100P,S,,395,73.0,KN16,1130A,NY,F,408,-
1442485875,0858A,HALL ST,YBBBBBB,PAS,K,1000A,S,,238,88.0,KN02,0830A,PA,F,408,-
1442481110,0811A,W/S SACKMAN ST,YBBYBBB,OMS,K,0930A,S,S/O HERKIMER ST,,73.0,KN16,0800A,NY,,408,-
1442480830,1216P,NEWPORT ST,YBBYBBB,PAS,K,0100P,S,,78,73.0,KN16,1130A,NY,F,408,-
1442484317,1021A,WYCKOFF ST,BYBBBBB,PAS,K,1100A,S,,252,84.0,KN02,0930A,NY,F,408,-
1442483404,0322A,N/S PARK AEV,YBYBYBB,PAS,K,0600A,S,E/OF CLERMONT AVE,,88.0,KN02,0300A,NY,,408,-
1442481948,1030A,HULL ST,BYBBYBB,PAS,K,1100A,S,,182,73.0,KN16,0930A,NY,F,408,-
1442481663,0954A,DUMONT AVE,YBBYBBB,PAS,K,1030A,S,,300,73.0,KN16,0900A,NJ,F,408,-
1442483180,1240P,POWELL ST,YBBYBBB,PAS,K,0100P,S,,457,73.0,KN16,1130A,NY,O,408,-
1442481183,0815A,MOTHER GASTON BLVD,YYYYYYB,PAS,K,0830A,S,,384,73.0,KN16,0800A,NY,F,408,-
1442484044,0334A,S/S PARK AVE,YBYBYBB,PAS,K,0600A,S,E/OF NAVY ST,,88.0,KN02,0300A,NY,,408,-
1442481080,0825A,HERKIMER ST,YBBYBBB,PAS,K,0930A,S,,1508,73.0,KN16,0800A,NY,O,408,-
1442484366,0823A,HICKS ST,BBYBBBB,OMS,K,0600P,S,,74,84.0,KN02,0800A,NY,F,408,-
1442481353,0929A,BLAKE AVE,YBBYBBB,PAS,K,1030A,S,,437A,73.0,KN16,0900A,NY,F,408,-
1442482382,0755A,PITKIN AVE,YBBYBBB,PAS,K,0800A,S,,1228,73.0,KN16,0730A,NY,O,408,-
1442483301,1220A,MOTHER GASTON BLVD,YBBYBBB,PAS,K,0100P,S,,831,73.0,KN16,1130A,NY,O,408,-
1442481808,0922A,ROCKAWAY AVE,BYBBYBB,PAS,K,1000A,S,,126,73.0,KN16,0830A,NY,F,408,-
1442481481,0836A,HERKIMER ST,BYBBYBB,PAS,K,0930A,S,,1366,73.0,KN16,0800A,NY,F,408,-
1442481365,0931A,BLAKE AVE,YBBYBBB,PAS,K,1030A,S,,423,73.0,KN16,0900A,NY,F,408,-
1442481250,0849A,SIDE OF 157 BELMONT,YBBYBBB,PAS,K,1000A,S,POWELL ST,,73.0,KN16,0830A,NY,,408,-
1442482590,0846A,BELMONT AVE,YBBYBBB,PAS,K,1000A,S,,131,73.0,KN16,0830A,PA,F,408,-
1442481274,0850A,N/SIDE BELMONT AVE,YBBYBBB,PAS,K,1000A,S,POWELL ST,,73.0,KN16,0830A,NY,O,408,-
1442483945,0316A,S/S PARK AVE,YBYBYBB,PAS,K,0600A,S,E/OF N ELLIOT PL,,88.0,KN02,0300A,NY,,408,-
1442486302,0847A,WAVERLY AVE,BBBBYBB,PAS,K,1000A,S,,117,88.0,KN02,0830A,NY,F,408,-
1442481470,0835A,HERKIMER ST,BYBBYBB,OMS,K,0930A,S,,1336,73.0,KN16,0800A,NY,F,408,-
